id,taxon,type,value
1,01g__Candida,mpre,-0.087403434
2,02g__unknown_Saccharomycetales,mpre,2.620646767
3,03g__unknown_Fungi,mpre,5.122082719
4,04s__Candida_albicans,mpre,-0.065703271
5,05s__unknown_Saccharomycetales,mpre,2.64234693
6,05s__unknown_Fungi,mpre,5.143782882
7,06ASV_2_Candida_albicans,mpre,-0.015894443
8,07ASV_5_unknown_Saccharomycetales,mpre,2.38200083
9,08ASV_4_unknown_Fungi,mpre,5.065509922
10,09ASV_8_unknown_Fungi,mpre,-0.015894443
11,01g__Candida,mpost,3.86003979
12,02g__unknown_Saccharomycetales,mpost,-0.110252124
13,03g__unknown_Fungi,mpost,3.108623701
14,04s__Candida_albicans,mpost,3.887412731
15,05s__unknown_Saccharomycetales,mpost,-0.082879183
16,05s__unknown_Fungi,mpost,3.135996642
17,06ASV_2_Candida_albicans,mpost,-0.028432415
18,07ASV_5_unknown_Saccharomycetales,mpost,-0.028432415
19,08ASV_4_unknown_Fungi,mpost,-0.028432415
20,09ASV_8_unknown_Fungi,mpost,-0.028432415
21,01g__Candida,mpost,5.089817107
22,02g__unknown_Saccharomycetales,mpost,3.04916159
23,03g__unknown_Fungi,mpost,1.012279663
24,04s__Candida_albicans,mpost,5.111251414
25,05s__unknown_Saccharomycetales,mpost,3.070595897
26,05s__unknown_Fungi,mpost,1.03371397
27,06ASV_2_Candida_albicans,mpost,-0.012521209
28,07ASV_5_unknown_Saccharomycetales,mpost,3.122973007
29,08ASV_4_unknown_Fungi,mpost,-0.012521209
30,09ASV_8_unknown_Fungi,mpost,-0.012521209
31,01g__Candida,mpre,-0.048654173
32,02g__unknown_Saccharomycetales,mpre,-0.048654173
33,03g__unknown_Fungi,mpre,5.254650735
34,04s__Candida_albicans,mpre,-0.036574517
35,05s__unknown_Saccharomycetales,mpre,-0.036574517
36,05s__unknown_Fungi,mpre,5.266730391
37,06ASV_2_Candida_albicans,mpre,-0.017766629
38,07ASV_5_unknown_Saccharomycetales,mpre,-0.017766629
39,08ASV_4_unknown_Fungi,mpre,5.063637736
40,09ASV_8_unknown_Fungi,mpre,-0.017766629
41,01g__Candida,mpost,1.793991582
42,02g__unknown_Saccharomycetales,mpost,2.792520412
43,03g__unknown_Fungi,mpost,3.818373346
44,04s__Candida_albicans,mpost,-0.114200854
45,05s__unknown_Saccharomycetales,mpost,2.830238125
46,05s__unknown_Fungi,mpost,3.85609106
47,06ASV_2_Candida_albicans,mpost,-0.023030739
48,07ASV_5_unknown_Saccharomycetales,mpost,2.92140824
49,08ASV_4_unknown_Fungi,mpost,3.410956466
50,09ASV_8_unknown_Fungi,mpost,-0.023030739
51,01g__Candida,mpre,-0.048654173
52,02g__unknown_Saccharomycetales,mpre,-0.048654173
53,03g__unknown_Fungi,mpre,5.254650735
54,04s__Candida_albicans,mpre,-0.036574517
55,05s__unknown_Saccharomycetales,mpre,-0.036574517
56,05s__unknown_Fungi,mpre,5.266730391
57,06ASV_2_Candida_albicans,mpre,-0.016717097
58,07ASV_5_unknown_Saccharomycetales,mpre,-0.016717097
59,08ASV_4_unknown_Fungi,mpre,5.077033104
60,09ASV_8_unknown_Fungi,mpre,-0.016717097
61,01g__Candida,mpost,1.004626838
62,02g__unknown_Saccharomycetales,mpost,4.734328286
63,03g__unknown_Fungi,mpost,4.223502663
64,04s__Candida_albicans,mpost,1.027961157
65,05s__unknown_Saccharomycetales,mpost,4.757662605
66,05s__unknown_Fungi,mpost,4.246836982
67,06ASV_2_Candida_albicans,mpost,1.085881718
68,07ASV_5_unknown_Saccharomycetales,mpost,4.815583166
69,08ASV_4_unknown_Fungi,mpost,1.085881718
70,09ASV_8_unknown_Fungi,mpost,-0.012730571
71,01g__Candida,mpre,-0.048654173
72,02g__unknown_Saccharomycetales,mpre,-0.048654173
73,03g__unknown_Fungi,mpre,5.254650735
74,04s__Candida_albicans,mpre,-0.036574517
75,05s__unknown_Saccharomycetales,mpre,-0.036574517
76,05s__unknown_Fungi,mpre,5.266730391
77,06ASV_2_Candida_albicans,mpre,-0.013664487
78,07ASV_5_unknown_Saccharomycetales,mpre,-0.013664487
79,08ASV_4_unknown_Fungi,mpre,4.906316439
80,09ASV_8_unknown_Fungi,mpre,-0.013664487
81,01g__Candida,mpost,-0.075624032
82,02g__unknown_Saccharomycetales,mpost,-0.075624032
83,03g__unknown_Fungi,mpost,-0.075624032
84,04s__Candida_albicans,mpost,-0.05684841
85,05s__unknown_Saccharomycetales,mpost,-0.05684841
86,05s__unknown_Fungi,mpost,-0.05684841
87,06ASV_2_Candida_albicans,mpost,-0.012394572
88,07ASV_5_unknown_Saccharomycetales,mpost,-0.012394572
89,08ASV_4_unknown_Fungi,mpost,-0.012394572
90,09ASV_8_unknown_Fungi,mpost,-0.012394572
91,01g__Candida,mpost,-0.086332626
92,02g__unknown_Saccharomycetales,mpost,1.012279663
