	F.P1.H1	F.P1.O2	F.P1.V1	F.P1.V2	F.P10.H2	F.P10.O1	F.P10.O2	F.P10.S	F.P10.V2	F.P11.H1	F.P11.H2	F.P11.O1	F.P11.O2	F.P11.V1	F.P11.V2	F.P12.H1	F.P12.H2	F.P12.O1	F.P12.O2	F.P12.S	F.P12.V1	F.P12.V2	F.P14.H1	F.P14.H1s	F.P14.H2	F.P14.O1	F.P14.O2	F.P14.V1	F.P14.V2	F.P15.H1	F.P15.H2	F.P15.O1	F.P15.O2	F.P15.V2	F.P16.H1	F.P16.H2	F.P16.O1	F.P16.O2	F.P16.S	F.P16.V1	F.P16.V2	F.P18.H1	F.P18.H2	F.P18.O1	F.P18.O2	F.P18.V1	F.P18.V2	F.P19.H1	F.P19.H2	F.P19.O1	F.P19.O2	F.P19.V1	F.P19.V2	F.P2.H1	F.P2.H2	F.P2.O1	F.P2.O2	F.P2.V2	F.P20.H2	F.P20.O1	F.P20.O2	F.P20.V2	F.P21.H1	F.P21.H2	F.P21.O1	F.P21.O2	F.P21.V1	F.P21.V2	F.P22.H1	F.P22.H2	F.P22.O1	F.P22.O2	F.P22.V1	F.P22.V2	F.P23.H1	F.P23.H2	F.P23.O1	F.P23.O2	F.P23.S	F.P23.V1	F.P23.V2	F.P24.H1	F.P24.H2	F.P24.O1	F.P24.O2	F.P24.V2	F.P25.H1	F.P25.H2	F.P25.O1	F.P25.V1	F.P25.V2	F.P26.H1	F.P26.H2	F.P26.O1	F.P26.O2	F.P26.V1	F.P26.V2	F.P27.H1	F.P27.H2	F.P27.O1	F.P27.O2	F.P27.S	F.P27.V1	F.P28.H1	F.P28.H2	F.P28.O1	F.P28.O2	F.P28.V1	F.P28.V2	F.P29.H1	F.P29.H2	F.P29.O1	F.P29.O2	F.P29.V1	F.P29.V2	F.P3.H1	F.P3.H2	F.P3.O1	F.P3.O2	F.P3.V1	F.P3.V2	F.P30.H1	F.P30.H2	F.P30.O1	F.P30.V1	F.P30.V2	F.P31.H1	F.P31.H2	F.P31.O1	F.P31.O2	F.P31.V1	F.P31.V2	F.P32.H1	F.P32.H2	F.P32.O2	F.P32.V1	F.P32.V2	F.P4.H1	F.P4.H2	F.P4.O1	F.P4.O2	F.P4.V1	F.P4.V2	F.P5.H1	F.P5.H2	F.P5.O1	F.P5.O2	F.P5.V1	F.P5.V2	F.P6.H1	F.P6.H2	F.P6.O1	F.P6.O2	F.P6.V1	F.P6.V2	F.P7.H1	F.P7.O1	F.P7.O2	F.P7.V1	F.P8.H1	F.P8.H2	F.P8.O2	F.P8.V1	F.P8.V2	F.P9.H2	F.P9.O1	F.P9.O2	F.P9.V1	F.P9.V2	FTra1.H1	FTra1.O1	FTra1.S1	FTra1.V1	FTra10.H1	FTra10.O1	FTra10.S1	FTra10.V1	FTra11.H1	FTra11.O1	FTra12.H1	FTra12.O1	FTra12.S1	FTra12.V1	FTra13.H1	FTra13.O1	FTra13.S1	FTra13.V1	FTra14.H1	FTra14.O1	FTra14.S1	FTra14.V1	FTra15.H1	FTra15.O1	FTra15.S1	FTra15.V1	FTra17.H1	FTra17.O1	FTra17.V1	FTra18.H1	FTra18.O1	FTra18.S1	FTra18.V1	FTra2.H1	FTra2.O1	FTra2.S1	FTra2.V1	FTra20.H1	FTra20.O1	FTra20.V1	FTra21.H1	FTra21.O1	FTra21.S1	FTra21.V1	FTra22.H1	FTra22.O1	FTra22.S1	FTra22.V1	FTra23.H1	FTra23.O1	FTra23.S1	FTra23.V1	FTra24.H1	FTra24.O1	FTra24.S1	FTra24.V1	FTra25.H1	FTra25.O1	FTra25.V1	FTra26.H1	FTra26.O1	FTra26.V1	FTra27.H1	FTra27.O1	FTra27.S1	FTra27.V1	FTra28.H1	FTra28.O1	FTra28.V1	FTra29.H1	FTra29.O1	FTra29.S1	FTra3.H1	FTra3.O1	FTra3.V1	FTra30.H1	FTra30.O1	FTra30.V1	FTra31.H1	FTra31.O1	FTra31.V1	FTra4.H1	FTra4.S1	FTra4.V1	FTra5.H1	FTra5.O1	FTra5.S1	FTra6.H1	FTra6.S1	FTra7.H1	FTra7.S1	FTra7.V1	FTra8.H1	FTra8.O1	FTra8.S1	FTra8.V1	FTra9.H1	FTra9.O1	FTra9.S1
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Conidiocarpus;s__Conidiocarpus_caucasicus;ASV__ASV_938_Conidiocarpus_caucasicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Microcyclospora;s__unknown_Microcyclospora;ASV__ASV_227_unknown_Microcyclospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca;s__Phaeotheca_salicorniae;ASV__ASV_125_Phaeotheca_salicorniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca;s__Phaeotheca_salicorniae;ASV__ASV_483_Phaeotheca_salicorniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_1061_Cladosporium_cladosporioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_12_Cladosporium_cladosporioides	0	0	0	0	0	0	0	0	0	52	0	17	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	4	0	0	70	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	3	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	46	0	0	0	0	0	0	1	0	0	0	36	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	32	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_13_Cladosporium_cladosporioides	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	2	0	0	0	0	21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	1	70	0	0	0	18	0	9	0	0	0	0	0	0	5	0	0	0	0	15	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	22	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	3	16	1	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	6	0	0	7	10	0	0	0	24	0	0	0	3	0	0	0	54	0	0	0	0	0	9	0	0	25	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	16	0	0	0	21	0	0	0	38
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_143_Cladosporium_cladosporioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_173_Cladosporium_cladosporioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_237_Cladosporium_cladosporioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_290_Cladosporium_cladosporioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
