OTUID,kingdom,phylum,class,order,family,genus,species,ASV
a78e53fe9ad0b94e50e9e7ae2d2100ce,Archaea,Aenigmarchaeota,Deep_Sea_Euryarchaeotic_Group(DSEG),Deep_Sea_Euryarchaeotic_Group(DSEG),Deep_Sea_Euryarchaeotic_Group(DSEG),Deep_Sea_Euryarchaeotic_Group(DSEG),unknown_Deep_Sea_Euryarchaeotic_Group(DSEG),1
539b7a1d43218a85e39e7c99396cedf8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosotenuis,unknown_Candidatus_Nitrosotenuis,2
4b8b88617ce6263596a02662a79314ac,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,unknown_Nitrosarchaeum,3
df0c928ff34c1809c7769784c385f6cd,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,unknown_Nitrosarchaeum,4
a818dacf8e995aac46ae7e08c04e08c8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,unknown_Nitrosarchaeum,5
06d3756423cfab698b19b5262f20c6f2,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,unknown_Nitrosarchaeum,6
f6ccc682828c38a88e25edcf58b780c9,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,unknown_Nitrosarchaeum,7
eda5feb95ad2678e00286496d31f81ac,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,unknown_Nitrosarchaeum,8
5834a0b98521bfbb0ed4af8602743fe5,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosarchaeum,unknown_Nitrosarchaeum,9
b413f76e87c82856df034d6109112e0d,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,unknown_Nitrosopumilaceae,unknown_Nitrosopumilaceae,10
f1abb6a8c1dc7735c8468dfcc7db3464,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,unknown_Nitrosopumilaceae,unknown_Nitrosopumilaceae,11
188dfc5850881c61a361a400cdb99df1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,unknown_Nitrosopumilaceae,unknown_Nitrosopumilaceae,12
