genus	species	bodysite	type	counts
Methanobacterium	Methanobacterium_lacus	H	mpre	5.26
Methanobacterium	Methanobacterium_beijingense	V	mpre	10
Methanobacterium	unknown_Methanobacterium	S	mpre	2.03
Methanobacterium	unknown_Methanobacterium	O	mpre	2.9
Methanobacterium	unknown_Methanobacterium	O	np	14.03
Methanobacterium	unknown_Methanobacterium	V	np	20
Methanobacterium	unknown_Methanobacterium	S	np	31.12
Methanobacterium	unknown_Methanobacterium	H	mpre	202.27
Methanobrevibacter	Methanobrevibacter_millerae	O	mpre	1.53
Methanobrevibacter	Methanobrevibacter_millerae	S	np	4.53
Methanobrevibacter	Methanobrevibacter_ruminantium	H	mpre	4.66
Methanobrevibacter	Methanobrevibacter_boviskoreani	H	mpost	8.8
Methanobrevibacter	Methanobrevibacter_wolinii	H	mpost	9.79
Methanobrevibacter	Methanobrevibacter_wolinii	H	np	10
Methanobrevibacter	Methanobrevibacter_millerae	S	mpre	10.34
Methanobrevibacter	Methanobrevibacter_arboriphilus	S	np	13.78
Methanobrevibacter	Methanobrevibacter_arboriphilus	S	mpre	14.14
Methanobrevibacter	Methanobrevibacter_boviskoreani	H	np	15.29
Methanobrevibacter	Methanobrevibacter_ruminantium	S	mpre	20.11
Methanobrevibacter	Methanobrevibacter_millerae	H	mpre	22.07
Methanobrevibacter	Methanobrevibacter_ruminantium	S	np	23.92
Methanobrevibacter	Methanobrevibacter_smithii	H	mpre	133.8
Methanobrevibacter	Methanobrevibacter_smithii	H	np	142.97
Methanobrevibacter	Methanobrevibacter_smithii	V	np	157.35
Methanobrevibacter	Methanobrevibacter_smithii	O	np	170.81
Methanobrevibacter	Methanobrevibacter_smithii	H	mpost	212.99
Methanobrevibacter	Methanobrevibacter_smithii	S	mpre	236.01
Methanobrevibacter	Methanobrevibacter_smithii	V	mpre	240.53
Methanobrevibacter	Methanobrevibacter_smithii	O	mpost	279.31
Methanobrevibacter	Methanobrevibacter_smithii	V	mpost	304.09
Methanobrevibacter	Methanobrevibacter_smithii	S	np	322.67
Methanobrevibacter	Methanobrevibacter_smithii	O	mpre	582.89
Methanobrevibacter	unknown_Methanobrevibacter	O	mpre	11.98
Methanobrevibacter	unknown_Methanobrevibacter	H	mpost	13.19
Methanobrevibacter	unknown_Methanobrevibacter	H	mpre	38.69
Methanobrevibacter	unknown_Methanobrevibacter	S	mpre	53.05
Methanobrevibacter	unknown_Methanobrevibacter	S	np	101.48
Methanocorpusculum	unknown_Methanocorpusculum	H	mpre	22.06
Methanosaeta	unknown_Methanosaeta	O	mpre	1.31
Methanosaeta	unknown_Methanosaeta	H	mpre	1.69
Methanosarcina	unknown_Methanosarcina	S	mpre	2.79
Methanosphaera	Methanosphaera_stadtmanae	S	mpre	1.11
Methanosphaera	unknown_Methanosphaera	V	mpost	2.34
Methanosphaera	unknown_Methanosphaera	H	np	10
Methanosphaera	unknown_Methanosphaera	H	mpost	17.38
Methanosphaera	unknown_Methanosphaera	S	np	10.55
Methanosphaera	unknown_Methanosphaera	S	mpre	27.1
Methanospirillum	Methanospirillum_psychrodurum	V	np	1.85
Methanothermobacter	unknown_Methanothermobacter	H	mpost	7.73
Methanothermobacter	unknown_Methanothermobacter	O	mpost	22.26
Natronococcus	unknown_Natronococcus	S	mpre	11.2
Nitrosarchaeum	unknown_Nitrosarchaeum	H	mpre	3.99
Nitrososcosmicus	unknown_Nitrososcosmicus	O	np	22.23
unknown_archaeon	unknown_archaeon	H	mpost	2.58
unknown_Candidatus_Methanomassiliicoccus	unknown_Candidatus_Methanomassiliicoccus	H	mpre	2.14
unknown_Candidatus_Methanomassiliicoccus	unknown_Candidatus_Methanomassiliicoccus	O	np	3.13
unknown_Candidatus_Methanomassiliicoccus	unknown_Candidatus_Methanomassiliicoccus	V	np	3.5
unknown_Candidatus_Methanomassiliicoccus	unknown_Candidatus_Methanomassiliicoccus	O	mpost	3.9
unknown_Candidatus_Methanomassiliicoccus	unknown_Candidatus_Methanomassiliicoccus	S	np	20.34
unknown_Candidatus_Methanoperedens	unknown_Candidatus_Methanoperedens	H	mpre	1.91
unknown_Candidatus_Methanoplasma	unknown_Candidatus_Methanoplasma	H	mpre	21.9
unknown_Candidatus_Nitrosotenuis	unknown_Candidatus_Nitrosotenuis	H	mpre	1.34
unknown_Halalkalicoccus	unknown_Halalkalicoccus	O	mpost	10
unknown_Halalkalicoccus	unknown_Halalkalicoccus	V	mpost	13.49
unknown_Halalkalicoccus	unknown_Halalkalicoccus	O	mpre	21.88
unknown_Halorientalis	unknown_Halorientalis	S	np	4.8
unknown_Methanobacteriaceae	unknown_Methanobacteriaceae	H	np	6.76
unknown_Methanomethylophilaceae	unknown_Methanomethylophilaceae	H	mpre	0.68
unknown_Methanomicrobiales	unknown_Methanomicrobiales	H	mpost	10.02
unknown_Nitrosopumilaceae	unknown_Nitrosopumilaceae	H	mpre	9.44
unknown_Nitrososphaeraceae	unknown_Nitrososphaeraceae	S	np	0.6
unknown_Nitrososphaeraceae	unknown_Nitrososphaeraceae	O	mpost	0.77
unknown_Nitrososphaeraceae	unknown_Nitrososphaeraceae	S	mpre	9.55
unknown_Nitrososphaeraceae	unknown_Nitrososphaeraceae	V	np	13.67
unknown_Nitrososphaeraceae	unknown_Nitrososphaeraceae	V	mpost	27.63
unknown_Nitrososphaeraceae	unknown_Nitrososphaeraceae	H	mpost	53.42
unknown_Nitrosotaleaceae	unknown_Nitrosotaleaceae	H	mpre	11.29
unknown_Woesearchaeales	unknown_Woesearchaeales	S	np	2.65
unknown_Woesearchaeales	unknown_Woesearchaeales	O	np	16.44
unknown_Woesearchaeales	unknown_Woesearchaeales	H	mpost	20.42
unknown_Woesearchaeales	unknown_Woesearchaeales	O	mpost	20.88
unknown_Woesearchaeales	unknown_Woesearchaeales	V	mpost	29.85
unknown_Woesearchaeales	unknown_Woesearchaeales	H	mpre	58.31
unknown_Woesearchaeales	unknown_Woesearchaeales	H	np	152.04
unknown_Woesearchaeales_SCGC_AAA011-D5	unknown_Woesearchaeales_SCGC_AAA011-D5	O	mpost	10
