Feature ID	domain	phylum	class	order	family	genus	species	ASV	
d88ad3a866ebfdf1ca2b2427f2650076	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Aenigmarchaeales	Aenigmarchaeales	unknown_Aenigmarchaeales	ASV_436_unknown_Aenigmarchaeales	k__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales;s__ASV_436_unknown_Aenigmarchaeales
82f7342c1f37b43c330519249c98630d	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Aenigmarchaeales	Aenigmarchaeales	unknown_Aenigmarchaeales	ASV_442_unknown_Aenigmarchaeales	k__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales;s__ASV_442_unknown_Aenigmarchaeales
455c16c7704d686ceb7d41b99f5d98b4	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Aenigmarchaeales	Aenigmarchaeales	unknown_Aenigmarchaeales	ASV_443_unknown_Aenigmarchaeales	k__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales;s__ASV_443_unknown_Aenigmarchaeales
cdb345ac6acc97273a616556cb01e57a	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	unknown_Bathyarchaeia	ASV_173_unknown_Bathyarchaeia	k__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia;s__ASV_173_unknown_Bathyarchaeia
dd0a2d4679490aaa82c0a92a09fbbdc1	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	unknown_Bathyarchaeia	ASV_609_unknown_Bathyarchaeia	k__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia;s__ASV_609_unknown_Bathyarchaeia
5232ea87146a9823f53321c8ddb2f618	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	unknown_Bathyarchaeia	ASV_631_unknown_Bathyarchaeia	k__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia;s__ASV_631_unknown_Bathyarchaeia
fbad2f9675a6f2dc4d4d710137b49e64	Archaea	Crenarchaeota	Nitrososphaeria	unknown_Nitrososphaeria_Group_1.1c	unknown_Nitrososphaeria_Group_1.1c	unknown_Nitrososphaeria_Group_1.1c	unknown_Nitrososphaeria_Group_1.1c	ASV_504_unknown_Nitrososphaeria_Group_1.1c	k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__unknown_Nitrososphaeria_Group_1.1c;f__unknown_Nitrososphaeria_Group_1.1c;g__unknown_Nitrososphaeria_Group_1.1c;s__ASV_504_unknown_Nitrososphaeria_Group_1.1c
b982768852a9fc236f0e5f36113858a3	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unknown_Woesearchaeales_GW2011	unknown_Woesearchaeales_AR15	unknown_Woesearchaeales	ASV_226_unknown_Woesearchaeales	k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales_GW2011;g__unknown_Woesearchaeales_AR15;s__ASV_226_unknown_Woesearchaeales
80872ac842cf99c9e10e0064522c173e	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unknown_Woesearchaeales_GW2012	unknown_Woesearchaeales_AR15	unknown_Woesearchaeales	ASV_269_unknown_Woesearchaeales	k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales_GW2012;g__unknown_Woesearchaeales_AR15;s__ASV_269_unknown_Woesearchaeales
ea26af38573d62e8e9e1a95fe4d039f5	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unknown_Woesearchaeales_GW2013	unknown_Woesearchaeales_AR15	unknown_Woesearchaeales	ASV_424_unknown_Woesearchaeales	k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales_GW2013;g__unknown_Woesearchaeales_AR15;s__ASV_424_unknown_Woesearchaeales
