featureid	rab.all	rab.win.mother-post	rab.win.mother-pre	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrososphaera;s__unknown_Candidatus_Nitrososphaera;ASV__ASV_15_unknown_Candidatus_Nitrososphaera	0.445650868872798	0.388181216565083	0.514761386694776	0.144981148193701	4.29437630464621	0.0270891788529435	0.484895833675084	0.532012986103677	0.965327088482599	0.512887097491867	0.966856324660418
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae;s__unknown_Nitrososphaeraceae;ASV__ASV_19_unknown_Nitrososphaeraceae	0.394608003911235	0.36614511441522	0.421265407849432	0.0136509540612222	4.29804949452087	0.00401780488597019	0.497395833392204	0.504110696277158	0.963109291739743	0.5044541280859	0.965359102050265
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__unknown_Methanobacterium;ASV__ASV_53_unknown_Methanobacterium	0.344738263694788	0.316043284421331	0.375860553139367	0.0214459293043818	4.28704551553999	0.00570319749057689	0.497657470120573	0.518660003307072	0.964695745063888	0.505826090568543	0.968943189495427
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_110_Methanobrevibacter_smithii	0.490556697098968	0.420532730341336	0.550667260829312	0.136905683944641	4.3159289538773	0.0271071522541639	0.48464341523519	0.489463607139782	0.959663839548967	0.490804567827404	0.963666393120478
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_118_Methanobrevibacter_smithii	0.471607268833946	0.518915507496843	0.422715501061648	-0.0212706471000255	4.25694730162441	-0.0041875798503214	0.496875000070645	0.527391353743731	0.96111868147595	0.533173693743608	0.971048214297876
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_123_Methanobrevibacter_smithii	0.468245531531407	0.419300612536556	0.513560440154927	0.0769724530085503	4.18747648887975	0.0162649550185301	0.489583333568911	0.469664381796533	0.956721473576313	0.490746183467538	0.96240635765617
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_72_Methanobrevibacter_smithii	0.615654160902121	0.33386712742873	0.920127984245402	0.881369610908245	4.76244795278588	0.164074343546328	0.423958335093002	0.350618777811648	0.938263639855156	0.363679730347997	0.938382973673786
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_79_Methanobrevibacter_smithii	0.529650309572501	0.36512317023809	0.713239673404528	0.538730388513919	4.47252191507528	0.103609861994854	0.446354167893486	0.443035862596295	0.951111248911057	0.42974626932518	0.954917229673035
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_81_Methanobrevibacter_smithii	0.67792179735255	0.478480779711893	0.935677943740138	0.649877905333643	4.5362994160804	0.129372134038282	0.444270834608972	0.379397254458457	0.949737859864663	0.383865155614182	0.954607009490243
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_82_Methanobrevibacter_smithii	0.569051605386083	0.39395853774986	0.749027568697405	0.536362950884787	4.59370840467874	0.0933889525255416	0.450000001141697	0.428254918801569	0.948811604912578	0.442219530657521	0.95029680475306
