featureid	rab.all	rab.win.mother-post	rab.win.mother-pre	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__unknown_Nitrosarchaeum;ASV__ASV_4_unknown_Nitrosarchaeum	0.509927366763992	0.38976722546794	0.669099407876404	0.209761077197252	4.32981145853368	0.0352450785539327	0.473711609132513	0.518970944728042	0.897630716243943	0.513167869165885	0.892894771732998
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae;s__unknown_Nitrososphaeraceae;ASV__ASV_17_unknown_Nitrososphaeraceae	0.417002677484677	0.507053206147861	0.327796454698963	-0.117812266828903	4.21707384521233	-0.0254272635317492	0.48697916696121	0.491417889212571	0.891402619072672	0.489315150941961	0.885814294027858
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae;s__unknown_Nitrososphaeraceae;ASV__ASV_18_unknown_Nitrososphaeraceae	0.409319645709352	0.406363809033171	0.418502232414427	-0.0854012424441386	4.21859746136136	-0.0161083989263544	0.489328474993828	0.537038178000938	0.916674995150673	0.531188867471	0.908607230475181
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae;s__unknown_Nitrososphaeraceae;ASV__ASV_21_unknown_Nitrososphaeraceae	0.492539387645075	0.540290966263274	0.440606137993799	-0.175007732857932	4.27292369978187	-0.0317670519688924	0.482561166453629	0.498836272113256	0.901216692871555	0.52078182227116	0.902974803087182
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_103_Methanobrevibacter_smithii	0.502035844853602	0.406893136547728	0.604154484873607	0.252938796397118	4.34414239370262	0.0521044202736077	0.470312500673478	0.518832187793243	0.903596277811987	0.527964631181406	0.910636055606201
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_82_Methanobrevibacter_smithii	0.537436804132026	0.62283013259577	0.446369695548344	-0.166475075659109	4.30360483296199	-0.0302828191842022	0.48464341523519	0.46682783236455	0.894432141784098	0.487041785831495	0.899280346077562
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_86_Methanobrevibacter_smithii	0.454308372515115	0.361377590302718	0.576743990418876	0.247060011788072	4.30523883699852	0.0515587017817792	0.474752733523181	0.475876462801809	0.888772290520202	0.497788454478201	0.890419515459556
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;ASV__ASV_97_Methanobrevibacter_smithii	0.56730057358764	0.62270574627866	0.499732749933523	-0.128313174867978	4.24098216887378	-0.0334579893829223	0.486458333639676	0.48686591190434	0.889281439558936	0.509717826007243	0.888077651500545
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__unknown_Methanosphaera;ASV__ASV_153_unknown_Methanosphaera	0.500625388262993	0.535384055019118	0.476521826774442	0.0119056356166674	4.3400256445468	0.00252053613209206	0.497916666713763	0.525508251789866	0.902876398524519	0.542239450363587	0.912528803810349
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__unknown_Methanosphaera;ASV__ASV_176_unknown_Methanosphaera	0.394483312841754	0.300900864942	0.472863775528573	0.055491881208936	4.05029255042842	0.0123645866294312	0.492451848166327	0.464821432259497	0.8870624469233	0.456905537180179	0.887447501799621
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15;s__unknown_Woesearchaeales_GW2011_GWC1_47_15;ASV__ASV_212_unknown_Woesearchaeales_GW2011_GWC1_47_15	0.448144901339794	0.518431704173021	0.355236324068487	-0.183662708961635	4.30729370829671	-0.0361295143601738	0.482291667067477	0.487574360110065	0.877700695118821	0.523314694767233	0.885062342084443
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15;s__unknown_Woesearchaeales_GW2011_GWC1_47_15;ASV__ASV_213_unknown_Woesearchaeales_GW2011_GWC1_47_15	0.501466382732612	0.320944424594976	0.652107433989057	0.323566683949208	4.43239076727366	0.0608970632485361	0.466145834102152	0.450582506859209	0.885455598173772	0.501496847414868	0.893958147073377
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15;s__unknown_Woesearchaeales_GW2011_GWC1_47_15;ASV__ASV_217_unknown_Woesearchaeales_GW2011_GWC1_47_15	0.425682894080269	0.475386110762048	0.373618808804324	-0.0758782514706686	4.30881553133225	-0.017662711028908	0.490369599384656	0.534025419367311	0.913395889091399	0.563077189605392	0.921212822516706
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15;s__unknown_Woesearchaeales_GW2011_GWC1_47_15;ASV__ASV_236_unknown_Woesearchaeales_GW2011_GWC1_47_15	0.480943008625471	0.346029182123867	0.626143214622901	0.200408278009972	4.19908785439629	0.0408626957386094	0.48464341523519	0.481847509082735	0.899398420363377	0.478856179129183	0.898448366873745
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales;s__unknown_Woesearchaeales;ASV__ASV_274_unknown_Woesearchaeales	0.490946537307497	0.420459602490383	0.561942769642191	0.216544808727081	4.29386911990298	0.0388779004217728	0.481520042062863	0.536678750559781	0.910133985900705	0.508081471558166	0.904679370176903
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales;s__unknown_Woesearchaeales;ASV__ASV_275_unknown_Woesearchaeales	0.485523239983637	0.358117980377372	0.599938874844652	0.27551432762091	4.2318281169434	0.0536103767662992	0.471875000637801	0.477097132702454	0.875143454800733	0.458871703068792	0.873577149474812
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales;s__unknown_Woesearchaeales;ASV__ASV_288_unknown_Woesearchaeales	0.491432269724036	0.458281255706608	0.537889738886367	0.21971374965954	4.36186947274702	0.0422491912674492	0.476314420109212	0.474012880725351	0.884876391742401	0.480784009431122	0.893184404342925
