featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	-0.372447833008638	-0.321718683009715	-0.416706446713248	-0.17405191770965	4.34111859800425	-0.0349027324942236	0.480603448745801	0.520643751586949	0.940923546670612	0.517716052941924	0.935968798331061
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	-0.319226761047054	-0.327725162108763	-0.298864986575681	-0.0204999503058199	4.28373306964312	-0.0041243088757169	0.498115239679365	0.529578865169148	0.94281620247352	0.519843649998933	0.948482839104429
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__unknown_Methanobacteriaceae	-0.425251293714199	-0.312134388565696	-0.507452857720373	-0.138784044995605	4.2580947785212	-0.024135496640967	0.487883683653227	0.479038057792707	0.946752475512231	0.506273119361236	0.942535292905754
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales	-0.356616337741522	-0.236718762815441	-0.477133352270985	-0.185787630371498	4.19296583808153	-0.0399506470470556	0.482498654166042	0.549515743511348	0.944762961668438	0.512694192497055	0.940522340603855
d__Archaea;p__unknown_Archaea;c__unknown_Archaea;o__unknown_Archaea;f__unknown_Archaea;g__unknown_Archaea	-0.374040911646135	-0.2949198765844	-0.411530979911037	-0.106508694783964	4.15754834027922	-0.0226735056013627	0.488146552011052	0.488655597207495	0.94656044161417	0.514510156223352	0.949645409740887
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum	-0.444712791738607	-0.401556708886551	-0.49493676829927	-0.184443051685693	4.30332643625227	-0.0335737990115714	0.479525862565097	0.520445467941732	0.942600359973729	0.529040657158051	0.935091507419426
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	-0.419216154405989	-0.479428274918713	-0.342342766556763	0.15188699755513	4.35378443452017	0.0266635332577188	0.484114163012171	0.527806108124527	0.94147808886662	0.507236435359528	0.938891184245322
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group	-0.346495974335364	-0.22823842517085	-0.452801608736861	-0.192076170102074	4.1701911972473	-0.0415434947317292	0.481681034926517	0.481823122091598	0.94533696048623	0.510595431032109	0.947080354300266
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	6.68240514917595	6.57630450591649	6.82173088071345	-0.01352561905991	3.23543852449604	-0.00334695046614862	0.495961227884358	0.19518224706156	0.923806324748186	0.817607918927356	0.978868431389896
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomycetaceae_F0332	0.738875378782208	0.752022511680844	0.727044092955913	-0.231629882075425	5.3004009401424	-0.0390227450190743	0.478729133525184	0.593464463766015	0.965902229295908	0.644226802573133	0.964614706798999
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia	0.690652070657913	0.567337521581569	0.820143944318563	0.256806364821881	5.65052791429941	0.0398801923287519	0.478987069474751	0.646258314784655	0.967907407744476	0.626281875199901	0.963468917702658
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__unknown_Actinomycetaceae	-0.469235278781998	-0.4018176165245	-0.548361560456548	-0.153793079819244	4.33996276084263	-0.034656286892478	0.482498654166042	0.513277569154753	0.942000053835179	0.543890854712132	0.936478391293629
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	-0.378291946537702	-0.408759394361482	-0.352254830525593	0.112297242212676	4.32528205832892	0.018288461809675	0.489762931282237	0.487036210356395	0.950748017128543	0.49248885648897	0.940136456626671
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Parascardovia	-0.36525271081958	-0.426204845650838	-0.311588798254479	0.0986901411257772	4.26988029296106	0.0205941307304678	0.491653204294383	0.505106016019761	0.950414717105011	0.493775833041002	0.945495314452453
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia	0.318732869671228	0.113429971432291	0.604580894149584	0.471420542336067	5.4521156788869	0.0866282205708082	0.466594828397952	0.580174734287846	0.9616517558732	0.56751396199916	0.95602101594487
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	4.06691052244142	4.07242994779095	4.06564733378715	-0.248904027203764	5.71213482769426	-0.0397588135259238	0.466343565706632	0.674003023579765	0.972322109505636	0.642880292539543	0.963465674020375
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__unknown_Microbacteriaceae	-0.370667736766229	-0.20271123759214	-0.538537453178264	-0.267889166249961	4.23124548055208	-0.0571022622262584	0.470905173120032	0.451992869623251	0.932201867153707	0.472771228003289	0.934145202894696
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus	-0.387539918604172	-0.385589021627152	-0.394190413566235	-0.0191132245821866	4.16886509565773	-0.00343433270615391	0.498115239679365	0.481774220738722	0.945473784877957	0.479327827083506	0.945172300285822
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	7.44661111671242	7.40658607630028	7.50528355025537	0.0922291664192523	1.68224833927775	0.0384121606961154	0.473599138571496	0.365532092343031	0.95274031911033	0.708767838942143	0.968679376597145
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium	-0.371502913209397	-0.421872410883463	-0.2846639097072	0.275884287490696	4.22007627133441	0.0560012474866487	0.472805601089917	0.498635574318384	0.946746702246095	0.528238658220736	0.948950517337406
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Pseudopropionibacterium	-0.39298330194871	-0.46530759268926	-0.33046054728344	0.129510572971611	4.36505057122497	0.029639877323245	0.486530172739885	0.517726662171935	0.951183371772212	0.530774914515761	0.947681957549352
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	3.53671439225288	3.46682156714844	3.64203430119182	-0.164722845365984	5.39335360779982	-0.0293757703416927	0.480344642371246	0.667271550759971	0.967898313039448	0.720662636969656	0.971036479368136
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	0.0634693110562274	0.132784417634381	-0.00598328145533955	-0.156831908946394	4.49910389614552	-0.0279324689359093	0.483297414197616	0.555088982644411	0.947317221823945	0.581016777513675	0.947716396420599
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Cryptobacterium	0.0576273191390628	0.0814711659275975	0.0392281618486336	-0.126030865217489	4.49839515134234	-0.0218905893606193	0.48680667775577	0.470876600547452	0.94276570045913	0.486271512038889	0.947720122587843
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	-0.269123826588171	-0.441894730575894	-0.0611377377333602	0.333388813942268	4.16946569375971	0.0727190896607682	0.463651050963831	0.421157084086955	0.915876458295718	0.42240117187071	0.914765891103209
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__unknown_Gaiellales;g__unknown_Gaiellales	-0.377505465128114	-0.377910382910947	-0.375693776837517	0.0095285540984209	4.30973868060538	0.00215686295737867	0.498653742628117	0.522944717829007	0.941183468372552	0.535514142595812	0.94492146982238
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacterales_67-14;g__unknown_Solirubrobacterales_67-14	-0.416127303053846	-0.316486441840249	-0.503839268812511	-0.100586886665051	4.42561853264894	-0.0218978745572263	0.489762931282237	0.509186399976123	0.941396309322707	0.503737190604557	0.941173250294822
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.447286962598597	-0.448555210078391	-0.4453888166366	0.0616544746067698	4.10297096825921	0.0128236799648473	0.491114701345641	0.513703853716438	0.945397608926548	0.500542123130983	0.943596117982949
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_Incertae_Sedis;g__Phocaeicola	-0.377299873742305	-0.480020653396792	-0.289754748866843	0.224136449463741	4.23906333305967	0.0525352029916154	0.474676724752115	0.510694375562942	0.951462127129121	0.460435146762208	0.943862452549957
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacteraceae_F0058	0.874411226192516	0.566628794979187	1.17174563977154	0.491035760963437	4.89126153364125	0.0917251156023911	0.446418956614106	0.527742962633225	0.948449314873729	0.485556723788721	0.948394420119331
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	5.97182204054994	5.83975586582093	6.14436280738561	0.252641149670391	3.73358984120014	0.0501845998179379	0.469036080449576	0.554084583017325	0.961869066317909	0.637009230930014	0.964914282945162
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	5.7108144059824	5.65062424830902	5.79610816948046	0.221975987286973	3.69329104572276	0.0503853837820327	0.468211207668691	0.458877959868149	0.952461202803009	0.643941253568327	0.965997359506688
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	7.06276982848257	7.14279384290796	6.96785103193086	-0.389593515171016	3.13499665881946	-0.0909638279806773	0.419493809213187	0.310708216148962	0.938866841706345	0.347438479549663	0.940846428722579
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unknown_Prevotellaceae	-0.425705790088913	-0.336557008965945	-0.511990395835834	-0.230332703165132	4.53656268523994	-0.0545466948512608	0.477652127627827	0.505955614172313	0.940140640844513	0.504956760597393	0.938674064361834
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group	-0.143063932195259	-0.24678455056975	-0.044584177804972	0.210031482204801	4.31397674718988	0.0405080216553158	0.477909483294069	0.507749829909556	0.953567127669517	0.504111496520235	0.948878653920425
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella	1.57491443156397	1.74259141699151	1.42445271487047	-0.193551487575689	5.25630650889321	-0.032816481589396	0.483575660063459	0.586994310666524	0.961330738200128	0.683620357400818	0.969244683810322
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphobaculum	-0.243044332223461	-0.389216280610944	-0.0557835842428966	0.342298692766731	4.31691181976626	0.0715144130480883	0.464439656037046	0.517619277173124	0.937409625668209	0.508315164484055	0.941286271132015
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas	-0.418171549674858	-0.311929695461217	-0.521584348230612	-0.183251679653252	4.27267413267826	-0.0402067626540151	0.478190630576503	0.498278592562245	0.94455035922322	0.510133533414057	0.94576732814454
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__unknown_Chitinophagaceae	-0.379129151204837	-0.31682536540557	-0.426722123266769	-0.100334627589884	4.35152117060431	-0.0170664522336995	0.488685345101445	0.538378010676884	0.948809274883462	0.538558877187794	0.946488987737818
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__unknown_Saprospiraceae	-0.30292983637245	-0.196931851763329	-0.403127893727143	-0.203566753493219	4.17033174276794	-0.0415709793332714	0.474959612884501	0.413987619263252	0.928064063572484	0.447826395852887	0.936534031399428
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__unknown_Chitinophagales;g__unknown_Chitinophagales	-0.239475046275174	-0.283364819862997	-0.18821471044284	0.191672068514885	4.24780784398163	0.036262082883752	0.479525862565097	0.490729002455766	0.94298906219183	0.503036560150169	0.939233120659058
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Arcicella	-0.415914933607534	-0.287653849722786	-0.551431069719004	-0.324221458905416	4.25616052057726	-0.0638080500695201	0.46688206865521	0.49793110646515	0.939770503959333	0.507183499534374	0.945853853620878
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Lacihabitans	-0.376604550709376	-0.440783886946133	-0.277297875047382	0.20915567000706	4.18974599660107	0.0418160774255971	0.479525862565097	0.510444757845653	0.953631209823206	0.54152068570707	0.948903840772741
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Pseudarcicella	-0.442436544102968	-0.570825122647614	-0.30256716019634	0.151146416602213	4.15214324536968	0.0299199049067754	0.482758621107246	0.497348880925434	0.953402739916537	0.448473360248318	0.943732581796452
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola	-0.377351124672349	-0.376750660060661	-0.379387295014186	0.105065910919581	4.20595343116597	0.0192058088878119	0.490037695448163	0.484983955910974	0.932508802252231	0.494652101957428	0.932302035778208
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	4.84021036794986	4.79377615116546	4.87655303430127	-0.0440304569042618	3.63248704048898	-0.0101570092844862	0.493807216089362	0.696208447825138	0.968415677853513	0.773099876494955	0.972610877169278
