featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrososphaera	0.0312680207039078	0.0390150088373229	0.00993556289263964	-0.0822006203691021	4.22515710232916	-0.0157148769212417	0.48922413819184	0.499524635504366	0.905735610704171	0.53742994933786	0.912207824062584
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae	-0.0315880606095762	0.053242506233973	-0.0852688474778871	-0.111602554850391	4.35487825289901	-0.0204452011399324	0.488146552011052	0.497254912110781	0.901819824854665	0.48228939216247	0.887272305515776
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0.0111786319176179	-0.0429533583810029	0.0576321073980823	0.0828145306665018	4.22552078101452	0.0179202672706327	0.490840517463035	0.502920938071786	0.923145505549295	0.522971445034501	0.912524747001623
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	1.16453304888009	3.38654015593108	0.000214205875316509	-3.66234682044462	5.05487309734788	-0.658690054900316	0.244073284251228	0.00504758013929822	0.2868842515071	0.0029008884577922	0.203764880298762
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.474940343138894	0.806762845233282	0.156607884462344	-0.958945937831836	4.65134726879335	-0.187214432569854	0.406250002350591	0.339713644081869	0.866580429335238	0.341164592606089	0.841767566896419
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeales_CG1-02-32-21;g__unknown_Micrarchaeales_CG1-02-32-21	-0.019685871521907	-0.0333684403827661	0.00879489285580348	0.000864895083823924	4.23501170522922	-8.21228624566376e-05	0.5	0.514935937718924	0.918165139082217	0.503368637253824	0.91221659624541
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15	0.0194389772711849	-0.0345513672600841	0.057445168783139	0.144590537218263	4.28368482054473	0.0283804986549278	0.483297414197616	0.514465867551968	0.919484975572241	0.492639872464455	0.918410223647748
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_SCGC_AAA011-D5;g__unknown_Woesearchaeales_SCGC_AAA011-D5	-0.0313466491026668	-0.00682536098213316	-0.0565483603893844	0.0179219182569987	4.27054565134993	0.00382686181937534	0.497306034547931	0.483572411638469	0.89861345251585	0.496277209201339	0.896526915926536
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales	-0.0352930435454244	-0.0165834012275976	-0.049710804351176	-0.0898705932914252	4.28741309493104	-0.0174505100428211	0.490037695448163	0.527839514458728	0.909751700834946	0.517964328126416	0.907912330700583
