featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.306446823246503	0.0387246264597225	0.542177871787342	0.522655799145893	6.64784758092137	0.0738695580005672	0.466171005282982	0.616474622634698	0.909770385268497	0.593904089518281	0.895903616513114
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	-0.758644705528573	-0.767874644634672	-0.756760043015881	0.101744930371868	4.27824266351628	0.0219097798444612	0.489583333814103	0.463717561031076	0.861232239701029	0.469389133021585	0.851947422691121
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	-0.804795149739255	-0.754663407999377	-0.863432085340036	0.00380839838993374	4.24164667828391	0.00119371406893789	0.499628252805229	0.482292360922715	0.852663251454773	0.519481523787363	0.865937525375987
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	7.29622354568261	7.54930764376183	7.10964064362821	-0.528964806024709	5.72575764507415	-0.094936592804477	0.3828996339601	0.793940974249186	0.954812769190859	0.176111410100711	0.747020167088424
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus	-0.665193128710547	-0.68523363725598	-0.649689948296561	-0.0667208085593956	4.53501473282527	-0.0113610000536158	0.494423792078463	0.515976980525998	0.874267793442037	0.500420085517576	0.85212600226384
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	-0.682261575015922	-0.794020159976961	-0.60194575771801	0.43142509618358	4.59317465996267	0.0733916221726336	0.458333335269021	0.503925470476994	0.860643923613693	0.495728106508593	0.848424272128422
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__unknown_Atopobiaceae	-0.75310865346052	-0.586448891821931	-0.910616534416425	-0.429703521698122	4.37703720637151	-0.0856193401713668	0.457589287685036	0.511289988884302	0.857661622756245	0.517089471458538	0.847207778718215
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	6.02552706755433	7.11107764417203	5.17942703085233	-1.82818823813224	6.23455685416332	-0.292375064233766	0.296654286316471	0.0764890527141695	0.65282140506681	0.0220953886907344	0.496944525108853
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales_Incertae_Sedis;g__unknown_Coriobacteriales_Incertae_Sedis	0.779056171218657	0.871035854065513	0.710300905505301	-0.135190964180151	6.33886528575113	-0.0201024703971102	0.489219331351865	0.655728015510402	0.921949790653825	0.696526090531145	0.927657045059839
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	0.879817579702688	0.80854920301514	0.951877942000706	-0.103719828220196	6.52180076896668	-0.015174172887079	0.491449814520376	0.702813745433519	0.93375860423133	0.720568660006954	0.937442502361767
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CHKCI002	-0.878548423102338	-0.657510633112878	-1.01621761101306	-0.447981635511886	4.14078093521121	-0.104093379815933	0.449814128729408	0.453744443269835	0.838983640936874	0.467852878514936	0.838560457823108
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	-0.565582010358724	-0.620099058585019	-0.496230809497683	0.161141754521548	4.84499558868303	0.0263782674299373	0.486607143475451	0.535273913869798	0.881640317755823	0.554800295365496	0.877358628655465
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	-0.424509296391565	-0.156221979217265	-0.609038515501812	-0.733469330788868	4.80617900517548	-0.136367640548208	0.437500002929136	0.409726658070306	0.841787546687983	0.456562724250671	0.839696052281001
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	-0.670713914908513	-0.44666713541221	-0.819147882023211	-0.573505849696287	4.78814236753459	-0.106321860428963	0.449814128729408	0.475248042226473	0.852280628275649	0.489352685684194	0.856398273920331
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia	-0.0309770764340724	0.593761617159275	-0.404133738634728	-1.26133657824265	6.05738883091559	-0.213461083053671	0.388392862561722	0.301954457704539	0.775402206327503	0.305111169370688	0.752707540156502
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	-0.470910183076213	-0.248958758157144	-0.633124063469326	-0.477262240688741	4.96015069283246	-0.0807705592484838	0.459077382853033	0.453745633165745	0.859695140322011	0.506695313930297	0.863590204974546
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__unknown_Eggerthellaceae	0.529413236676969	1.26288829259806	0.146219242318221	-1.21791946132583	6.29973588266443	-0.187314187169673	0.402529766579076	0.356962840934941	0.814668433732555	0.353154169019575	0.805907197459278
