featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum	0.264872117917809	0.210108273985505	0.352157393787109	0.141775463181006	4.36198439278404	0.0296592721939825	0.485191168909603	0.504452170089023	0.830933797994598	0.505338656458573	0.830449409590284
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrocosmicus	0.301148566166721	0.279431314252337	0.326382309395084	0.0094297721910479	4.39186028732017	0.00207166167743258	0.498383620728758	0.520976717252159	0.845319965556882	0.525840062532079	0.850800656072064
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae	0.328691312997221	0.464031290588814	0.182114309712487	-0.170594765710135	4.32901770523739	-0.0325590399929158	0.480603448745801	0.521277174010605	0.847239108233093	0.537811388364598	0.849656774930219
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__Candidatus_Nitrosotalea	0.296761561721161	0.314722242450902	0.273278068844421	-0.00329140248970372	4.26007030540303	-0.000886702619281966	0.499461206909586	0.507484258749642	0.834406171831486	0.543654272192922	0.847359641156764
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__unknown_Nitrosotaleaceae	0.346931805152306	0.283104098724009	0.426563923745118	0.264226336472882	4.34693600105367	0.0503699233401304	0.474959612884501	0.517316021817097	0.865334555699718	0.532098891559685	0.859608923947167
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0.47361310563209	0.315611883712395	0.679400668970468	0.537839552807667	4.35166912617172	0.111903964633796	0.441033927131631	0.45531903741883	0.810655645031356	0.451304012381187	0.793933169322952
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.739099532514304	0.712414330127555	0.765177575241076	0.0597966555609535	4.51585408135292	0.0100608802825884	0.494884221986858	0.526301383996052	0.865173596721761	0.525602338190633	0.860991089094334
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.320699699987588	0.349093824178055	0.302657860509268	-0.13917005319275	4.16978720723541	-0.028875208872249	0.488422186601958	0.565532602430275	0.871689930470687	0.556309247839721	0.87653201019955
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum	0.43832034494067	0.397825123685878	0.478873303402467	0.0546665810141302	4.22766135069688	0.010545971563189	0.494884221986858	0.498792384322325	0.834946557791781	0.492746204605749	0.828790980142408
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Rice_Cluster_II;g__Rice_Cluster_II	0.286330261756409	0.272997441986926	0.292405686350032	-0.0226626081089005	4.26982651806144	-0.00434536927405281	0.49703823378186	0.526163968563639	0.850982362663411	0.512992509863542	0.842332940617287
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15	0.680381073230922	0.595847725858141	0.732247277396745	0.0934837759282505	4.5454827264089	0.0188989447973723	0.490037695448163	0.586480006978327	0.88557394684691	0.605280364815963	0.89341542768738
