featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum	0.44097380874791	0.54456582303354	0.339361168828069	-0.145576632651706	4.32518696202049	-0.0288424738802616	0.483836207287987	0.509966892790602	0.891234452745042	0.542399196594399	0.894045857280195
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrocosmicus	0.367337858476857	0.357782124328769	0.369772961188221	0.0759029328740537	4.34281115323044	0.0149679308823098	0.489762931282237	0.510530861267738	0.878674831806271	0.484286870794452	0.867981421733963
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae	0.312601596112308	0.286611142778222	0.328001153794498	0.108815102730903	4.14387933553398	0.0208267198749391	0.48922413819184	0.53825986800055	0.892210656117844	0.539384766826477	0.887512177664908
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__Candidatus_Nitrosotalea	0.318135760774548	0.336541793183431	0.27356935118851	-0.131534055065234	4.09164335398766	-0.023098349889193	0.487883683653227	0.530109319510441	0.900557421310603	0.527746327953062	0.896855129068901
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__unknown_Nitrosotaleaceae	0.35444490809491	0.333483041478114	0.370395536193413	0.128656765852468	4.30825276700627	0.0257040616674981	0.483836207287987	0.5557458745855	0.895100470900146	0.53210726862797	0.892250605681468
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0.47743614454194	0.290284137996264	0.65047203210725	0.4808215560843	4.37261368350644	0.091542374561243	0.456112009684855	0.494031164096875	0.875784905716008	0.490588727396059	0.864847683711206
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.606754315651203	0.565881678204463	0.634151952186332	0.12250032809294	4.7451708522276	0.0260957874843043	0.48680667775577	0.562386369509631	0.899595156500526	0.559296284668715	0.889050947587606
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.342761521343099	0.408651730994042	0.270301169976319	-0.12520015130237	4.28845428016739	-0.0267618231607262	0.488146552011052	0.499854986280474	0.883585057415513	0.497829958288266	0.879682796922257
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum	0.404877164495784	0.345066349278893	0.472760077421323	0.177961310282296	4.33090734570387	0.0307705084532076	0.479806139422555	0.4819851926511	0.885274318022689	0.512213788290593	0.889313472095845
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Rice_Cluster_II;g__Rice_Cluster_II	0.333836697070709	0.351793550948904	0.320751177811528	0.0703294354538828	4.28663560778001	0.0162792133148107	0.494073276005466	0.495224635034302	0.881925045918274	0.487787115502555	0.880593988262666
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15	0.718356370901803	0.676431359191199	0.766187939837431	0.296536314306201	4.60452230690487	0.0523021857038702	0.475754310932749	0.540925031748074	0.905971786772483	0.563095567800199	0.909090200826615
