featureid	rab.all	rab.win.mother-post	rab.win.mother-pre	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.318800846396414	0.16025494863717	0.466651842086756	0.220581671578186	4.5587454751202	0.03835727570479	0.48197115438946	0.518166506145767	0.732310305102508	0.524472921892798	0.711531018898597
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteriaceae;g__Methanothermobacter	0.0172934744600992	-0.220943707473784	0.346031254364926	0.804964366228885	4.26501383500257	0.143906407303712	0.423076925448141	0.377123948127179	0.606103005658061	0.386395227689295	0.581995540223709
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales	0.0928689956306075	-0.340105783027047	0.535350495675011	0.801844571216858	4.27465077450905	0.157580240604355	0.410210212999242	0.364905149278449	0.595204818566362	0.344948648253094	0.553947502026929
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__unknown_Vicinamibacteraceae	0.0598788600649822	-0.353989135326819	0.533442445714736	0.806332769437568	4.1312749041654	0.164114152578609	0.402644233814735	0.354531442290938	0.575368069717722	0.33465321781805	0.525262339077717
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0.104607919492349	-0.320714297699872	0.651890648912461	0.992615165854207	4.50784677445662	0.186971745289603	0.403003006032762	0.362862328706184	0.600036187423114	0.330828149877475	0.541071724689744
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	1.12572725967001	2.26159007852674	0.321550155306813	-3.11435970447729	5.55137620722201	-0.478418310087304	0.315315321744049	0.045604932274786	0.18002509845292	0.0496224944538926	0.179317074591921
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum	0.18073689308199	-0.261322477984221	0.781620878489281	1.02709592583654	4.81182081008036	0.190277573901798	0.395195198490416	0.329484076959551	0.550895347215916	0.29177659515019	0.495370937618364
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	0.487387573093886	0.397855765510515	0.570779340470474	-0.176008952885641	5.11188229088522	-0.0384525363264059	0.484084084563003	0.574682375980172	0.781348165212207	0.606507147983007	0.785058621027275
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia	0.531471454975343	0.553607200422498	0.499621677396277	-0.164612709599772	4.69741184430879	-0.0321246093841246	0.481081081650601	0.501430038369879	0.713654666056295	0.52500293424218	0.718495366301591
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	0.769104885570527	0.973725829528352	0.596545695754302	-0.836669735185404	5.52690708272811	-0.148017863675124	0.434834836827553	0.340253365535968	0.584344466744025	0.43804019766246	0.641481072326094
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia	0.35821640680358	0.194946293174072	0.511314740623475	0.147922044964727	4.79138174576611	0.0307299225680208	0.487687688058022	0.523796269896934	0.742742702457486	0.541076584553438	0.739995376292485
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	1.59571953933501	3.49826716591397	0.807830296891439	-2.42704088031271	5.68491640359988	-0.374342964394444	0.341741747028656	0.104319459257316	0.296362090809632	0.0717417831719164	0.243824198823571
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Winkia	0.234070186927458	-0.244652289913998	0.869267529914832	1.10073949960383	4.8682270648217	0.192408172169243	0.404447118369405	0.373770976678005	0.600272816392659	0.308395274953567	0.513599064462888
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0.146467430456493	-0.229167273871929	0.62125353832235	0.746380483000762	4.94092589663593	0.136454159118663	0.425825828105681	0.469441592298131	0.697125878107443	0.401934353969985	0.595203570963401
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.93249640107182	1.34616585084181	0.550761914688042	-1.40891669611652	5.58850829662812	-0.218108631831142	0.407207210096065	0.310559435702773	0.564428445060856	0.314177182827023	0.536475312660232
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	1.65803392946105	1.29588698114732	2.00680135508597	0.598031615628741	8.59162653669953	0.0666181264413117	0.464543270303276	0.684724566755091	0.856732677467631	0.605316606025521	0.791202249617197
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	3.32989247655545	6.61739431510062	1.4684734747753	-4.34070946635401	6.05169766539011	-0.634987750867396	0.255408663523126	0.0066802733730264	0.053559542862608	0.00248451589990025	0.0279834962294815
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella	2.52094504075046	5.65174251016443	0.797489638114055	-4.32560371139849	5.07142725673414	-0.724526136212537	0.212612625513523	0.00221840080486775	0.0220325901298173	0.000499620715294599	0.00693411861063925
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium	0.0749518279470598	-0.220075538029261	0.469839310090958	0.484922436513185	4.60079336433985	0.0930514725671043	0.455855857193257	0.500289771454358	0.722506148595033	0.431230689893023	0.638563742005893
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Dermabacter	-0.0286378950477131	-0.374241457721141	0.353629508865998	0.7555637762109	4.40100051598106	0.148364596702918	0.415865387221304	0.463838184748646	0.68331408748136	0.380338085771046	0.592575951356301
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus	0.0930865814289046	-0.264628440018065	0.511190858267732	0.811347081183239	4.16348496060326	0.167920812277201	0.412612615322254	0.38437100664113	0.604901548088885	0.352427311144244	0.549738604756713
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paeniglutamicibacter	0.0400615774258499	-0.330840592379893	0.614819594058628	0.939788451725198	4.25326035296787	0.188521601537341	0.39903846470618	0.328518272281834	0.548646566386804	0.271043216368842	0.471454267310136
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.463071339821072	0.475347548040222	0.448969909177218	-0.401314650640376	5.24273709857167	-0.068271087352476	0.466346154863617	0.433819788446068	0.657635189405494	0.499704852027907	0.696428243078952
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__unknown_Micrococcaceae	-0.0353486706363251	-0.385415260243565	0.396633194182511	0.800368651412671	4.20860559610486	0.162825310166845	0.413813816483912	0.344059838322724	0.566677379923722	0.344974415418441	0.537799941054784
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__unknown_Micromonosporaceae	0.0493054410219012	-0.365688453759979	0.597270395362801	1.041637397369	4.33925702171162	0.209010501712924	0.389789793271897	0.328746371289758	0.541913871763673	0.279242116177907	0.474084758260637
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	0.121935621920969	-0.24100068303033	0.527762060167649	0.686876327723132	4.46162340136583	0.137037429260793	0.427027029268341	0.423713425525976	0.635553680042251	0.37665516703258	0.566853008693258
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionimicrobium	0.133082755852511	-0.331156616659941	0.651905005035687	1.08126792678625	4.14679603120263	0.214692156372625	0.387019234352481	0.281138317247274	0.504437596919994	0.238604290137746	0.439861303874002
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	4.83199626571527	6.28313847391539	1.68998588354378	-3.90040966588094	6.43571909412098	-0.487288862210173	0.303485583917925	0.0367809227946761	0.182286785942442	0.0151644084141286	0.104462358723563
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	0.187003842875974	-0.115091964090406	0.498852594544358	0.6406271272263	4.46872413094739	0.123354683500424	0.435435437409162	0.456823393157382	0.6716182833679	0.4397166906077	0.641734135628338
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.121212084988721	-0.179086821913439	0.445185831429728	0.419918128288304	4.449476454022	0.0806679979181838	0.455528847502932	0.481412735095524	0.694249388317921	0.461525651241994	0.667433588850445
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	0.0327267112947798	-0.306376648100942	0.441416263170884	0.570551675075956	4.4155309335149	0.117368706977137	0.440840842644419	0.403783146994101	0.618844442098583	0.378056085387239	0.582022420186229
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthellaceae_DNF00809	0.355140988400136	0.0199514199169473	0.793359225445528	0.626093159140764	4.7418541180566	0.114917063652325	0.438100963430385	0.464283153597304	0.685463409272492	0.446573198311167	0.650477440910154
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	0.194349115340457	-0.0437774863299021	0.49266688557074	0.347442281481756	4.32479777059578	0.0755206152590777	0.45913461662278	0.512482871184622	0.716998417075794	0.518628031347533	0.704797113678813
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__unknown_Coriobacteriales;g__unknown_Coriobacteriales	0.197991775286648	-0.0203699994282562	0.473512807185513	0.197721767388829	4.61056853460075	0.0423958889439516	0.478365385267726	0.534529493376608	0.744383240142279	0.513921001753238	0.71251172242278
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.182923850582698	-0.137012749425445	0.527672613693641	0.556779666705166	4.37760020184064	0.109312390407944	0.439903847989025	0.487462713653579	0.699031406730488	0.456409102779715	0.658234199723317
