featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.36139504654513	0.300062004821593	0.408702712411861	-0.00948688509460283	4.40146056689588	-0.0023244233124938	0.496767241457519	0.53874863704248	0.765021202857151	0.558825083481778	0.77407655475929
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteriaceae;g__Methanothermobacter	0.038756280862116	-0.251801539968472	0.359568045232743	0.578595974449744	4.19853580184404	0.112187166035771	0.442649435976269	0.439122983942556	0.689148147471175	0.421318692960889	0.651407234003487
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales	0.00626908030434148	-0.249904415486339	0.217421444314289	0.585116314023169	4.28595641444416	0.112910759352238	0.43726440649451	0.428911958275706	0.678723191026937	0.442219480368397	0.666740637451429
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__unknown_Vicinamibacteraceae	0.0140776092750832	-0.333942587679189	0.373511512364055	0.619763144914082	4.29219848645179	0.126266397764566	0.436187400598288	0.390349028113732	0.651847315517546	0.38839099595375	0.631671917138782
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0.136677924536283	-0.179826068031089	0.428844965727985	0.627515058539346	4.33229913504462	0.12068722967464	0.42995689828009	0.432365317022512	0.676592004572121	0.414921874697645	0.640527617687913
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	1.02686419154954	2.28973165730139	0.32370332821735	-3.02264679092231	5.31987713831042	-0.501625523351965	0.308023699571674	0.0321353416863737	0.167240299376774	0.0350424446488843	0.177942301637358
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum	0.0694573932373341	-0.288333766611805	0.41476579732094	0.653047593293226	4.53458611187826	0.129293803899242	0.432956382909899	0.479293998780108	0.713039257641687	0.413412160064677	0.647728880256744
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	0.390452715321989	0.435004649562883	0.351229085656283	-0.530028686054822	4.79803188188627	-0.0902707420008012	0.456357759684566	0.477956462373265	0.730609197549396	0.509414865040294	0.746479686398401
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia	0.400192476055172	0.535315877886434	0.264489929865711	-0.532582431224276	4.80062354258985	-0.104112614617639	0.450431035693809	0.450744237041781	0.699382813160324	0.466308187301682	0.70215602387871
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	0.819414847713687	1.0998712792897	0.590681091294706	-1.02362771692028	5.81327820633307	-0.179107505682011	0.420797415758447	0.335405881114491	0.609655358533617	0.39329739454965	0.649578380585417
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia	0.318071029404062	0.306547401220485	0.331829231231314	-0.229288867842965	4.78502985823961	-0.0386535989632154	0.479267636473868	0.507188997165951	0.751045407612094	0.519944581025875	0.751293194455597
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	1.58850164143844	3.50166210576599	0.854706916701812	-2.54175652309484	5.71031889057156	-0.396306852629246	0.338362073332123	0.0655569480016551	0.260309086743578	0.0487455998976327	0.22022124852374
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Winkia	0.347536164176785	-0.165253884320085	0.937354921719922	1.20409171745242	5.36285800737461	0.201933518063169	0.397629312929683	0.287784181694527	0.547518970611753	0.289494585495998	0.509534155216379
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0.233162872881359	-0.105941067361468	0.63219734860788	0.790315961143094	5.12384263166949	0.130762849193459	0.431340874065864	0.458043150564938	0.707428801893459	0.370489755818189	0.615110024630475
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.899889070546681	1.32178350338998	0.600179596346892	-1.19165170484006	6.21038836523805	-0.176046601669409	0.422952588116124	0.401255324985416	0.67247187150573	0.347732300051111	0.609146753177259
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	1.37161799038041	1.37972381670194	1.36647262135722	-0.131827976501558	8.93472374039148	-0.0144655783504988	0.49434571903811	0.660335321000948	0.867878172554742	0.648187456629167	0.844064660714292
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	5.47532949520065	6.69624501914083	1.9813559559123	-2.80761770295961	6.72178540631294	-0.42914083390882	0.308562202512926	0.0361936791890065	0.205980353838162	0.0174460750965288	0.141234021671223
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella	3.08349593161381	5.71759633954056	1.35325868568443	-3.60023839453283	5.28162505396104	-0.622175293700248	0.242864844204682	0.0109223356339736	0.0871037443896564	0.00144157778854407	0.0248573563846965
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__unknown_Corynebacteriaceae	-0.0203926424778809	-0.407673102418346	0.462791910958963	0.904117311044692	4.41646336011263	0.173841201309341	0.405492732578443	0.355757238279959	0.60386029978294	0.332458781063917	0.569923340594462
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium	0.177107866590724	-0.0611803445964032	0.407373360612834	0.481116882312172	4.62163700771745	0.0873768555783365	0.449111471355702	0.520772762209974	0.764204511713457	0.474454500185025	0.723268174778928
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Dermabacter	-0.0241410407155289	-0.260537848437886	0.262985698111087	0.537041780711384	4.4181064688149	0.0954660470971958	0.444803447769261	0.4627129283578	0.720636533507793	0.45305517659968	0.6837451067701
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus	-0.0249963306904952	-0.315644620508555	0.288856372153909	0.625240415415421	4.30030618530259	0.123261119138781	0.429186862273991	0.408052425174856	0.667112525399381	0.385434833429363	0.634862291727482
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.453304825129899	0.537424422010613	0.367507592402986	-0.521859804381509	5.11366606221818	-0.0995795545262474	0.456357759684566	0.414881703157933	0.676979790651913	0.510388574973066	0.736260640309114
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__unknown_Micrococcaceae	-0.003499066905575	-0.188247587025115	0.228852914356565	0.409946298734582	4.28362249745425	0.0875895165885375	0.454741380414263	0.457331831261834	0.697306523203962	0.428631045499495	0.670338831987811
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	0.126597220830126	-0.287944919401435	0.572206417209501	0.813558433089666	4.3939672666498	0.162441056731363	0.419181036490342	0.435576529286296	0.680048404794196	0.369717118694845	0.59901259829943
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	3.93977149546288	6.34276144674076	1.40611874618162	-4.153980089921	6.39104375629483	-0.577466651572045	0.289714599603896	0.013112628564767	0.109788665048222	0.00664245442645	0.0774378256408773
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	0.101947041649368	-0.131985157816692	0.326580687463008	0.404797700680893	4.58245505172865	0.0721161004103428	0.462574045066754	0.455703009357334	0.707893791820373	0.464271092461442	0.695391632561779
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.276474834955891	-0.0918568163203011	0.656794640824264	0.671140709233847	4.664432409357	0.126501847763585	0.436422415356417	0.420249766266408	0.69756611904252	0.418470591353931	0.661425123830474
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	0.00513111846797987	-0.269211944901502	0.28612353361112	0.446917633906563	4.2904698045411	0.0893875942745582	0.453957997891123	0.474501031287458	0.720727668777899	0.473895561612907	0.703804138450893
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthellaceae_DNF00809	0.27012322253283	0.198287757115283	0.343106374511439	0.0506018970222479	4.57886690916849	0.0120462107749396	0.495689655276695	0.553272459662884	0.781267145684699	0.558347828537183	0.773363012691896
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	0.245921974374038	-0.0179631885338036	0.532378412623301	0.478390157303751	4.24394904156371	0.096896288674345	0.445341950717533	0.461244139996896	0.710466415551527	0.459725849207236	0.695813850447842
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__unknown_Coriobacteriales;g__unknown_Coriobacteriales	0.171842295315656	0.0994514039069303	0.259779886776478	0.0327161913712741	4.69688624937182	0.00729244788736587	0.495422724935608	0.540574645363409	0.775989412644267	0.555408696293538	0.777039469127558
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.239137698651221	-0.0497293127749368	0.509609369253203	0.514371164816742	4.61312403452005	0.109031724195388	0.445341950717533	0.456967406956373	0.705333012669759	0.436713166684988	0.675221297342741
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	0.0409893429578441	-0.188567851674431	0.281452717323543	0.427212151191164	4.24141582924376	0.0888042062660311	0.458266021478708	0.479723261801801	0.735720640811356	0.485522236896671	0.718036286109132
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__unknown_Muribaculaceae	0.321815714201211	0.344470210114569	0.305263113581628	-0.211093891213975	4.66932506304018	-0.0369429957134197	0.474421109935849	0.560258747999336	0.780200854055879	0.558368560919156	0.775811473717389
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter	0.056381197447319	-0.267702116116414	0.365002266101943	0.576504831611147	4.40260475598478	0.102305649453683	0.447198277153828	0.469139319463091	0.713300821776052	0.437115772799162	0.670350205477189
