featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0.232752022038345	0.502069174696858	0.0442603048427772	-0.512280792181572	4.4712298965946	-0.10296250119297	0.451923078383513	0.484664203331775	0.851215588287604	0.464158050430885	0.835279883186011
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum	0.392608431594256	0.691259783551432	0.108669050931548	-0.582301911915028	4.58899642814949	-0.109329247126687	0.44411057862642	0.430821502218446	0.833267701971706	0.423520946745333	0.806509071993038
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	0.224771188109289	0.537585978964096	-0.0577625752175237	-0.556285268300729	4.20225745612645	-0.110377445696909	0.442642644389801	0.409422419123625	0.809474627575032	0.399914346915672	0.786150037944544
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	0.32736128532181	0.459783268936918	0.177099252398534	-0.176690638523454	4.53653420089211	-0.0346935874147701	0.484684685145497	0.509690287649425	0.881478025957752	0.531445313738338	0.881514505210332
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0.649778364902403	0.694948988887438	0.599846953079866	-0.00231935763676816	4.75659395216477	-0.000404513452271252	0.499699699708727	0.539841351111061	0.897580795355115	0.584883582219787	0.897517186391019
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Winkia	0.698880390196085	0.756744545831148	0.608634082485643	0.140950213167948	5.23375285212206	0.0190104567704072	0.491291291553155	0.562847097714306	0.898539116740104	0.583520374129454	0.898910074309666
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0.431210757532959	0.488178749198852	0.380748971655362	-0.133801555558223	4.71124296424131	-0.0295064902545106	0.483173077430078	0.557441943485714	0.89509324607316	0.557251587716577	0.880576557224935
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.290292262122616	0.401054411511164	0.156126624066166	-0.208489321103504	5.21371405880001	-0.0306511622953733	0.483774038950394	0.543445430297659	0.891052654891641	0.494977194183542	0.863101518280067
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	1.45298108905406	1.99533346444481	1.06350742137437	-0.895754521494076	8.46917348387757	-0.109895308675903	0.43363363566439	0.533144643209207	0.905013928388135	0.492708400542478	0.862926419157772
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	1.52106393176311	1.32892177622912	1.75930317086359	0.946204579252476	6.10870576823085	0.154159763568517	0.429687502158832	0.489838725906692	0.868270035883203	0.473268038275742	0.85192501050895
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella	0.876498465227799	0.695266130069858	1.01394947215161	0.529365816866051	4.82546860568933	0.0988077869329217	0.445913463185535	0.52549862383985	0.876667818874281	0.518500227950034	0.872058346206718
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__unknown_Corynebacteriaceae	0.203081082835387	0.350002544387091	0.0798468222304622	-0.141389545629668	4.4129371624105	-0.0311191414113067	0.486486486893001	0.503274816525031	0.86268022419074	0.510751518901054	0.852703746015563
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium	0.189667750313332	0.209363737776813	0.167059577734815	-0.0893306253179258	4.18516808007495	-0.0171959311020745	0.490985577194466	0.466393221057677	0.853523722186816	0.484064201161304	0.849260599219091
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paeniglutamicibacter	0.154414902675601	0.368473530631148	-0.049222895092444	-0.367640793804952	4.23391868328489	-0.0803777017797809	0.460060061268368	0.499509002527847	0.862887783715498	0.502104524803158	0.857100067641992
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__unknown_Micromonosporaceae	0.108308764979816	0.331825295741172	-0.0855355732820406	-0.433474151896405	4.21872038631796	-0.0907595973590611	0.456456457775382	0.45854497174534	0.853417846252728	0.476362252570478	0.844667146993099
