featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrososphaera;s__unknown_Candidatus_Nitrososphaera	0.0771318380444725	0.0341835464470481	0.116180638727118	-0.0110148447013838	4.21445607966075	-0.00198853765100304	0.49919224557687	0.530335978621621	0.930515664046089	0.535929278611814	0.934259473581342
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae;s__unknown_Nitrososphaeraceae	0.0530920459132771	0.0257739610766849	0.0913049301892679	-0.0812481976103268	4.2693998465268	-0.0161964176028298	0.488960689550691	0.482549263705036	0.918843498723795	0.505775649831901	0.928454285888972
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__unknown_Methanobacterium	-0.00174283732556724	-0.0305922408859605	0.0394836053872725	0.0944815406228265	4.15965865000666	0.0241125179471429	0.487345180704498	0.480026822982006	0.920930626146298	0.501771090472268	0.929345236179852
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	1.23039773091754	3.3502034371651	0.109767307113342	-3.64024855127691	5.05878078271668	-0.639752388530062	0.241918111959181	0.00585285109401176	0.317676576847314	0.00331278807812553	0.299518300123712
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae	0.0773680667835004	0.16794773105322	0.00496646114669286	-0.147854123559302	4.28051620271824	-0.0302441813891413	0.486268174807046	0.518769991257413	0.933048310682412	0.52117704236532	0.931561154267873
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__unknown_Methanosphaera	0.466377721312307	0.698875533693174	0.20959681888297	-0.757109898357394	4.7583354978567	-0.147081907438055	0.432956382909899	0.381599123415468	0.899936334086284	0.374676200620234	0.894089927652535
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeales_CG1-02-32-21;g__unknown_Micrarchaeales_CG1-02-32-21;s__unknown_Micrarchaeales_CG1-02-32-21	0.123691890337669	0.156248060463401	0.0915641595657002	-0.00611840025638255	4.13582468073497	-0.00140471820011478	0.499461206909586	0.520106526543866	0.930170917444097	0.538867395286151	0.93538586822795
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15;s__unknown_Woesearchaeales_GW2011_GWC1_47_15	0.068775434732995	0.0552699536873371	0.0734095355490014	0.000257766632242529	4.24957467232407	2.47140391406891e-05	0.5	0.467739179633134	0.923697854607719	0.468916057711444	0.921035863521751
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_SCGC_AAA011-D5;g__unknown_Woesearchaeales_SCGC_AAA011-D5;s__unknown_Woesearchaeales_SCGC_AAA011-D5	0.0510974313445187	-0.00230815652135163	0.0869065751590892	0.0571438838359306	4.25964152378319	0.0103187845795993	0.494884221986858	0.496421719847278	0.92929831077007	0.471519016776968	0.919431234782108
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales;s__unknown_Woesearchaeales	0.133687063956253	0.209651417052426	0.0733115079464115	-0.133342132917423	4.22876351833498	-0.0313046966673367	0.485452586559118	0.495693980482708	0.91807155590637	0.49926425083323	0.925124596558466
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__unknown_Methanomassiliicoccaceae;s__unknown_Methanomassiliicoccaceae	0.0390009788950767	0.0374827566737457	0.0399647688103189	0.0520676250296246	4.22469498581448	0.0108854755750958	0.495150862186285	0.485083073578317	0.92324671051527	0.512797310590992	0.927029032022012
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__unknown_Methanomethylophilaceae;s__unknown_Methanomethylophilaceae	0.06905766760348	0.0619600698322786	0.0759927065066233	-0.065525211939188	4.203866616593	-0.013693976235562	0.493268713140615	0.501171726613082	0.922291655684198	0.531291090523865	0.933051355224852
d__Archaea;p__unknown_Archaea;c__unknown_Archaea;o__unknown_Archaea;f__unknown_Archaea;g__unknown_Archaea;s__unknown_Archaea	0.0944948225825941	0.110724513950311	0.0770101783999637	-0.216602914714512	4.2205558754349	-0.0423726306609997	0.477652127627827	0.492858826833017	0.937483028867085	0.519406055173938	0.936215233866651
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum;s__unknown_Paludibaculum	0.0613745400760424	0.0758428109268472	0.0333727204880709	-0.110617475162623	4.12284928452014	-0.0196819771210659	0.490037695448163	0.475159544241314	0.919726186861949	0.496319338279808	0.924043884596596
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae_Subgroup_2;f__unknown_Acidobacteriae_Subgroup_2;g__unknown_Acidobacteriae_Subgroup_2;s__unknown_Acidobacteriae_Subgroup_2	0.0685703581599943	0.139914657680789	0.00531452237362817	-0.125011767990968	4.35148917430283	-0.0300808007194263	0.486268174807046	0.522998237418529	0.926089337441535	0.516837444164277	0.925100661779114
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Edaphobacter;s__unknown_Edaphobacter	0.0529526627928139	0.0874518840409229	0.0132484674641002	-0.0345028356431909	4.16704948613162	-0.00826762282808414	0.497306034547931	0.519460237959306	0.920840908815817	0.542193594431853	0.92461329541534
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Granulicella;s__unknown_Granulicella	0.0680965144827139	0.077800105031911	0.0573801692146416	-0.0403593822804797	4.3835753057545	-0.00508678847689088	0.496767241457519	0.488630036986512	0.921908336176989	0.490308089017475	0.927326949876051
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__unknown_Acidobacteriales;g__unknown_Acidobacteriales;s__unknown_Acidobacteriales	0.0886489366913246	0.0985042091736545	0.0768950099122607	-0.122977411112996	4.23488760878188	-0.0233278143472433	0.486530172739885	0.47006676299904	0.916233483572096	0.471389268513551	0.919454573929077
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__unknown_Bryobacter	0.136907760172041	0.101647538766658	0.185011221767293	0.0159307035886282	4.27371505578743	0.00324680046289559	0.498383620728758	0.520768414960739	0.920147601833842	0.535229485960821	0.924542237145835
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__unknown_Blastocatellaceae;s__unknown_Blastocatellaceae	0.0904208137303559	0.0943820744914223	0.0846283938584964	0.0276674723773649	4.06428822353177	0.00712364244370535	0.498383620728758	0.496885093208084	0.913843666216653	0.512350396550914	0.919101202327975
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagae_Subgroup_7;f__unknown_Holophagae_Subgroup_7;g__unknown_Holophagae_Subgroup_7;s__unknown_Holophagae_Subgroup_7	0.00502589616024984	-0.0350182805742367	0.0487393148913808	-0.0778605095311065	4.19807364634172	-0.0182325436493372	0.490576198396901	0.48238134600684	0.915524111265598	0.502985185117713	0.917910684650215
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__unknown_Vicinamibacterales;g__unknown_Vicinamibacterales;s__unknown_Vicinamibacterales	0.119620773483179	0.160843732708885	0.0709147574859683	-0.100709060984318	4.39836840515091	-0.0202809705608119	0.490840517463035	0.511506873541811	0.932032364918865	0.502492641834801	0.932825926655832
