featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__unknown_Nitrosarchaeum	0.412497888067922	0.413297443644836	0.406850142747041	0.0602007036907395	4.34595741648777	0.0113249786297147	0.491379310553437	0.542673503703284	0.850501012656797	0.54309275306777	0.845406122972779
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrocosmicus;s__unknown_Candidatus_Nitrocosmicus	0.316960668899739	0.301390205553068	0.344620154681595	0.198046687328646	4.29510333508063	0.0381589095350318	0.480344642371246	0.488239660292843	0.807544789423951	0.496857557348433	0.815528218939935
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae;s__unknown_Nitrososphaeraceae	0.415304901517164	0.454011809552711	0.362065563249926	-0.127059598362909	4.30514411726419	-0.0233249944247363	0.485729671858323	0.563147961237108	0.855576528773763	0.540399310606087	0.850670733472322
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__Candidatus_Nitrosotalea;s__unknown_Candidatus_Nitrosotalea	0.288908937613215	0.22876518638856	0.37164184279002	0.0671252727862424	4.10396707624876	0.0129323185615544	0.493534482915057	0.511327008374172	0.813304355910006	0.483592843413524	0.795589430070601
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__unknown_Nitrosotaleaceae;s__unknown_Nitrosotaleaceae	0.347858585537091	0.254834343757845	0.462626992500573	0.305724694959363	4.27597269986672	0.0624650312010065	0.470366380029753	0.447946242521217	0.784738991840875	0.463484819259738	0.794936283113343
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_lacus	0.455542218730732	0.222406171826311	0.67189583142577	0.485993957551726	4.32788449020769	0.096151782823303	0.450969828783836	0.43958430348699	0.78139042688928	0.409526354841676	0.751497764113394
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__unknown_Methanobacterium	0.335985639751557	0.28509145108698	0.394670109728096	0.15733105635633	4.27959858846084	0.0295524477027037	0.481421648268638	0.478599561188037	0.806887560452186	0.491777411840413	0.808705875774314
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	0.555489200731807	0.622368761791709	0.493220779149047	7.5433790517998e-05	4.4934381852177	-2.20710394447948e-05	0.5	0.511783346552759	0.831033847506228	0.486103779380691	0.810939820697006
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_wolinii	0.365715412619692	0.338418153491593	0.376525343940222	0.0457551386209492	4.13243097780518	0.00796149816704649	0.494884221986858	0.454726748938363	0.791503587329804	0.477102303250939	0.784832382258006
