featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__unknown_Nitrosarchaeum	0.42632138529499	0.470826075659271	0.375111317395985	-0.0604032001057098	4.40566883752933	-0.00982581663341062	0.495961227884358	0.565353988883177	0.910209000962508	0.564276557591109	0.902942440953264
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrocosmicus;s__unknown_Candidatus_Nitrocosmicus	0.305331974116732	0.286757601989635	0.339819010541233	0.0754709257427884	4.36862460876646	0.015201799959789	0.491379310553437	0.500393091375853	0.88885590469886	0.509088442465414	0.884394840197937
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__unknown_Nitrososphaeraceae;s__unknown_Nitrososphaeraceae	0.459341470339361	0.38959862808654	0.511539164846464	0.0590065613770134	4.14164210315811	0.0138638926248897	0.49434571903811	0.485949720575946	0.885322851523459	0.464022076065064	0.874837240077722
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__Candidatus_Nitrosotalea;s__unknown_Candidatus_Nitrosotalea	0.346601672457416	0.317910319452026	0.369888154266602	0.0506587850027049	4.19082993807389	0.0147152884905622	0.492456896734244	0.514173829990519	0.896560991094799	0.500715865451153	0.890336688573243
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosotaleales;f__Nitrosotaleaceae;g__unknown_Nitrosotaleaceae;s__unknown_Nitrosotaleaceae	0.39126367571085	0.323332510345313	0.463180749093072	0.229516501631297	4.20143772678781	0.0472850818638501	0.473060345481194	0.460907228104686	0.89245692489476	0.494242354674332	0.889881430572347
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_lacus	0.474377195991501	0.354673274481072	0.608275062909156	0.371587264615872	4.41639336085304	0.0731465738112377	0.464189553912379	0.500092502497526	0.898240490097908	0.488054576657625	0.8980864173936
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__unknown_Methanobacterium	0.368767903711084	0.382044248687326	0.358273369847521	0.0892383744046468	4.22689858917905	0.0171495477700705	0.491653204294383	0.50957139831799	0.895701909024657	0.515631956536831	0.895832219107746
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	0.555720700488497	0.59979952727199	0.516537339750609	-0.182464207257935	4.81362765405289	-0.0344176123277823	0.485191168909603	0.50670328254768	0.902372557893599	0.496587889498434	0.897265872100567
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_wolinii	0.410553559255279	0.378253014945708	0.440373063162256	0.0600705217155175	4.2029466113425	0.0109788725045811	0.493807216089362	0.502089518695528	0.898038540736308	0.536838986264892	0.901526082552876
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__unknown_Methanobacterium	0.342361152725505	0.324577550276463	0.362050421719633	0.0244892248610196	4.32558886590667	0.00614419256535161	0.49703823378186	0.48033092447531	0.891657813190873	0.518401735855498	0.894661440976993
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__unknown_Methanosphaera	0.365464236778124	0.459554678910456	0.214145599538311	-0.248430493586393	4.33532004097485	-0.0431219857631506	0.474676724752115	0.465165891130853	0.886379685219315	0.48483135984526	0.888918907222963
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__unknown_Methanocorpusculum	0.5026456629759	0.360163342715041	0.651107340801494	0.383491592089265	4.23649832582604	0.0725642883295373	0.459343027375679	0.494827575180474	0.885847728582879	0.529443657858735	0.885349577376283
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Rice_Cluster_II;g__Rice_Cluster_II;s__unknown_Rice_Cluster_II	0.364220734250207	0.383086484296506	0.33607976882469	-0.0211010911785907	4.20081845897552	-0.00340361201607684	0.497306034547931	0.496056185743047	0.893140542725449	0.500956189711018	0.881602286116066
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_GW2011_GWC1_47_15;g__unknown_Woesearchaeales_GW2011_GWC1_47_15;s__unknown_Woesearchaeales_GW2011_GWC1_47_15	0.751552553801859	0.708365710095193	0.809466817293094	0.278163254082118	4.46074312895149	0.0559591304876326	0.46982758693948	0.529571719183201	0.906799401309604	0.530676155400446	0.903930416784193
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales_SCGC_AAA011-D5;g__unknown_Woesearchaeales_SCGC_AAA011-D5;s__unknown_Woesearchaeales_SCGC_AAA011-D5	0.581282990195042	0.340922161759242	0.880678852054213	0.560173581436835	4.29910592983171	0.104697682586826	0.446418956614106	0.447114353831772	0.867028276051589	0.416886392009251	0.847747820741107
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales;s__unknown_Woesearchaeales	0.86571884511263	0.719734988846008	0.993840575112977	0.102802914757274	4.72385674719446	0.0194626228733791	0.489762931282237	0.564491001068657	0.912765148422437	0.55007212065871	0.911090905058908
d__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium;s__unknown_Abditibacterium	0.422355206365961	0.386579620593494	0.473989158249548	0.117706658004898	4.14730085192399	0.0232646105213265	0.487068965830272	0.486887260420415	0.899693055084636	0.489687762147693	0.895075915953028
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae_Subgroup_12;f__unknown_Acidobacteriae_Subgroup_12;g__unknown_Acidobacteriae_Subgroup_12;s__unknown_Acidobacteriae_Subgroup_12	0.515851714631365	0.364752632794703	0.682740262249125	0.478760233953494	4.390560497152	0.0962680677155301	0.446659484063863	0.465799024543657	0.887209335356627	0.470956663480871	0.878774768925969
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae_Subgroup_2;f__unknown_Acidobacteriae_Subgroup_2;g__unknown_Acidobacteriae_Subgroup_2;s__unknown_Acidobacteriae_Subgroup_2	0.418484889328959	0.412045806972811	0.42870057971343	0.0407465113901386	4.18926714220778	0.00915027542850874	0.496499730833109	0.507491353569247	0.892452830214271	0.498456089319429	0.892271152138101
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Granulicella;s__unknown_Granulicella	0.295477971735621	0.234148734205938	0.376230099121214	0.125293584375667	4.3049348940425	0.0260855224442479	0.484913793468739	0.49367335157183	0.897721701461824	0.497444767778624	0.892283293972979
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__unknown_Acidobacteriaceae_(Subgroup_1);s__unknown_Acidobacteriaceae_(Subgroup_1)	0.319670272816228	0.2498299773754	0.39411109924376	0.0992339025987254	4.30664290574409	0.0195206353181477	0.488146552011052	0.512945859021714	0.897153771807827	0.520624586022921	0.896661301905275
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__unknown_Acidobacteriales;g__unknown_Acidobacteriales;s__unknown_Acidobacteriales	0.334690677869559	0.37500266404935	0.278963180093482	-0.0730732602847777	4.28383994081336	-0.0149528809048887	0.493268713140615	0.495730151631943	0.89795699558013	0.489554228725254	0.888860468739982
