featureid	rab.all	rab.win.mother-post	rab.win.mother-pre	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	0.277754074939904	0.0689289491235261	0.480740216673818	0.2365860708183	4.41778508578464	0.0468733583949625	0.474759616146197	0.500325625408464	0.721896806100882	0.490616811612919	0.701190428873806
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__unknown_Methanobrevibacter	0.113951076265323	-0.172599067058053	0.428637019515961	0.685839237988398	4.32877720521586	0.124904171303241	0.430030032175345	0.410605853960364	0.635191483889002	0.408578016343905	0.608970833618645
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteriaceae;g__Methanothermobacter;s__unknown_Methanothermobacter	0.0684890007425469	-0.25583656854046	0.464256976892535	0.748145226935446	4.16140582981966	0.14417675917943	0.427884617601125	0.419084883820628	0.629937373909595	0.387347125277533	0.586015968100613
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__unknown_Woesearchaeales;g__unknown_Woesearchaeales;s__unknown_Woesearchaeales	0.0676383461408827	-0.287213217595107	0.4986371127617	0.747956271660486	4.31280783995666	0.147687156401387	0.424624626943104	0.407478145225184	0.636206010264166	0.377057592038511	0.580678969827088
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__unknown_Vicinamibacteraceae;s__unknown_Vicinamibacteraceae	0.0314198121552183	-0.251844566502288	0.36760225089323	0.66334912683084	4.2743358408782	0.115304758618136	0.425480771524465	0.40879899295254	0.634726267307217	0.383323879645027	0.584782206956509
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_massiliense	0.171729532255716	-0.302021458928457	0.716311438093584	0.942837477585845	4.46997356099101	0.180106248444563	0.400240387742247	0.354547397646325	0.581712914499807	0.322489825886794	0.52331771236039
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii	0.403820286358094	0.346582846605763	0.479704086706938	-0.131437104848337	4.99729457640124	-0.0245485151394674	0.486778846552031	0.509471824108592	0.725260561276525	0.562498072476726	0.74597365456916
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__unknown_Actinomyces	1.01395080498191	1.69516963803128	0.456589380358702	-2.0407631550403	5.36810397795585	-0.344001036272412	0.36237981217365	0.152135431602314	0.353458430298855	0.150277960515466	0.350987082203814
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum_urinale	0.0865632333192519	-0.378059548978706	0.644626909453214	1.07985078336598	4.27767635131963	0.226770909993312	0.390990994431337	0.3067640816076	0.513964052559365	0.267214261306311	0.456325639900861
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__unknown_Actinotignum	0.225677965747196	-0.171646343333214	0.787748184469025	1.04879140106507	4.74854896034946	0.193232516190231	0.395432695598714	0.341465357510076	0.563523604801703	0.308466364712504	0.515421976420789
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__unknown_Arcanobacterium	0.53919398701279	0.47992129269977	0.579487000824943	-0.144250980916451	4.97820254107591	-0.0269110569596711	0.484084084563003	0.500838770451484	0.725456455359631	0.518617157051535	0.726326522388751
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia_europaea	0.514542287305382	0.526061175137842	0.501547623611421	-0.311246237415241	4.78347144234507	-0.0537723095880178	0.471754808545103	0.475922995637246	0.705619701680086	0.522628907169366	0.718171230767648
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__unknown_Mobiluncus	0.860940719019061	1.10547034439332	0.633851035952625	-1.01354461698863	5.57669103710082	-0.171146046512971	0.422475963929113	0.326638639625771	0.567649457191872	0.399193915291558	0.616469165488214
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia_funkei	0.0925217763027506	-0.214520582483948	0.485315687991219	0.61247837090037	4.41312445294707	0.121171098408889	0.438100963430385	0.440715306558858	0.661299514619252	0.415589016811316	0.614023124439158
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia_odontolytica	0.370584974313703	0.2137924903379	0.527564076625831	0.199963616265584	4.58113282316374	0.0381706603732504	0.481681682233072	0.450658752430938	0.686225109246697	0.46041950033523	0.672164342326563
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__unknown_Varibaculum	1.61775084560022	3.60981368702782	0.775075528722115	-2.56968746763795	5.84342474052589	-0.407430767723009	0.333933939544843	0.0775479777044392	0.270718893920635	0.0630696432420278	0.237508834256387
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Winkia;s__Winkia_neuii	0.338954208119995	-0.129620210925515	0.919510215337187	1.0995005036268	4.93776503467273	0.192049372633304	0.394594597910451	0.349444982225132	0.597094698954145	0.295512503829479	0.521246880095489
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia_omnicolens	0.198470804361855	-0.217999935011113	0.631036233642709	0.736285492697005	4.77536721357955	0.13054299554908	0.427627629849702	0.470810073547506	0.689459109558496	0.371106758223272	0.588706958256948
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__unknown_Bifidobacterium	0.89404254034411	1.31421282837604	0.552595235290622	-1.41700525722302	5.75462671853772	-0.225653043055625	0.400000003131259	0.28139807595345	0.519856201322657	0.315147348823113	0.532245401770653
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__unknown_Gardnerella	1.76188933541954	1.47301412307158	2.11866115297304	0.582589681960526	8.71392587676076	0.0675250861797103	0.463341347263096	0.730226143772025	0.88187511458762	0.656062804296124	0.827314364318637
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_aurimucosum	0.488464514081465	0.526265277382176	0.451489568870611	-0.41299829749655	5.14902304151369	-0.0650034151408852	0.466066067090843	0.481905887833708	0.702033511401319	0.546436168521102	0.740575930633985
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_glucuronolyticum	0.0858703609235976	-0.26146890558305	0.464497177698573	0.683036204100665	4.37367215516416	0.132792601816415	0.436636638572433	0.409470068207747	0.635740823297739	0.385034243826377	0.586874365902703
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_kroppenstedtii	0.0185629240385845	-0.377964851716647	0.559894997393317	0.926823407641588	4.41130724259558	0.191119486810103	0.400841349260324	0.35198728992622	0.555929429501076	0.309301094443769	0.509123360261771
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_pyruviciproducens	0.336174179281843	0.0507278095263786	0.716833930806323	0.470458905968806	5.1287948289791	0.0855758675649249	0.46066066185057	0.537994482170031	0.753523146973133	0.50097111140555	0.7042703772334
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_riegelii	0.252628448183085	-0.0610098160662513	0.62431296574464	0.676489620713592	4.61513433647455	0.132059092998758	0.431831833919783	0.475291773262703	0.691716654933499	0.447422256727218	0.646798569224109
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_tuberculostearicum	0.901363417439728	1.04000372158666	0.774586813282278	-0.78879332199751	6.05206486423691	-0.123596395633543	0.44864865020873	0.451720752931992	0.683248205909675	0.504899705053538	0.707631840186459
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__unknown_Corynebacterium	2.4325191490696	5.87046034137703	1.267043651385	-3.75923304799228	6.06147209066448	-0.546250693867651	0.279879888087425	0.0200826121177822	0.12012120471608	0.00904687829680002	0.083616008462033
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella;s__unknown_Lawsonella	2.61061631638292	5.70896811916952	0.858214735152728	-4.28220151006435	5.06880982380235	-0.729955091877148	0.21681682934942	0.00374173575849881	0.0405661476859457	0.000502229329366338	0.0140237442075652
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium_mcbrellneri	0.0988561138148469	-0.192987619851553	0.443381025722513	0.617778196208543	4.39254902842718	0.12804470609652	0.438438440317469	0.431053703351705	0.65807916537942	0.411769318556816	0.61718637593734
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium_ravenspurgense	0.157988549970961	-0.153163822136583	0.527367707988864	0.706144598702545	4.31140665347143	0.12889603142098	0.424879810005353	0.429702683381847	0.648032238337412	0.397631769665624	0.590679950323818
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Dermabacter;s__unknown_Dermabacter	0.0510721599852593	-0.258119886671706	0.420354148758233	0.544138981728579	4.42911410278961	0.102921954675915	0.443843845553468	0.467363210419583	0.682815811237491	0.397843443962444	0.606225779229832
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;s__unknown_Micrococcus	0.0505648131405705	-0.247660019733711	0.426464239225999	0.802254848267854	4.163473070137	0.153401153252131	0.413813816483912	0.378179789302965	0.614140498313753	0.371895113649532	0.578966020606151
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paeniglutamicibacter;s__unknown_Paeniglutamicibacter	0.0685018259170587	-0.285725930012239	0.562392921331831	0.921197477094229	4.30896670606875	0.182277102284106	0.400600603711501	0.373260308202104	0.588513893942933	0.323556062702725	0.532429199702018
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_mucilaginosa	0.399707569443255	0.336032916814711	0.480108203823161	-0.00561655967330399	4.81124575431902	-0.000996091206777405	0.498498498543634	0.523427545947116	0.735267600537271	0.548226188476457	0.740819868570881
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__unknown_Rothia	0.476649360621933	0.4768762088043	0.475734697772374	-0.23577267854818	5.01861087880832	-0.0458934879066411	0.475961539186682	0.448617294778314	0.669220334962095	0.488145669555861	0.684001497656273
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__unknown_Micrococcaceae;s__unknown_Micrococcaceae	0.00515151841591432	-0.273744831166864	0.386916813079796	0.771920825463725	4.24110854675959	0.15347833689872	0.414062502665125	0.415677604573572	0.629128283441238	0.374002735203215	0.57759643499115
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__unknown_Micromonosporaceae;s__unknown_Micromonosporaceae	0.0450099566326569	-0.356652762180744	0.630997895088464	0.853224851468536	4.21102512175784	0.172352295545795	0.40324519533293	0.356205382838249	0.562530931255521	0.324528849261602	0.51106353085696
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__unknown_Cutibacterium	0.0671409828801011	-0.220442299848878	0.463572006034862	0.549501023627557	4.52439346718515	0.110912919641156	0.442042043807991	0.486598045646608	0.701424714221876	0.422366249351747	0.624896793446154
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionimicrobium;s__unknown_Propionimicrobium	0.025295290274201	-0.372047670614877	0.536863093044884	1.0994379200092	4.37096152926965	0.215218378027888	0.393629811045405	0.329018676685571	0.545129847936043	0.2897266400792	0.493163862959291
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium_minutum	0.308553684593628	0.210821599533476	0.402777022187575	0.137513635484556	4.37508073935846	0.030023870654454	0.486778846552031	0.475642590387769	0.695618843417701	0.501194294832617	0.695600835915912
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__unknown_Atopobium	4.7596891596668	6.25840611441465	1.8022338567834	-3.71625533729666	6.24817203011973	-0.50629862781549	0.298677891846793	0.035767681916706	0.197791423647502	0.0148792801142129	0.121422915230571
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__unknown_Olsenella	0.132835452082418	-0.148112451834026	0.406283430280711	0.530167742292894	4.39729230811724	0.108039922743753	0.445312501665816	0.429328795255351	0.652109888962407	0.42915932924058	0.636276387704926
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__unknown_Collinsella	0.0660915933967061	-0.18105757228669	0.358433236619327	0.483606951024979	4.52021626541357	0.0985511347133204	0.450120193823976	0.490609936213384	0.703519411098554	0.454678505391191	0.66012560106229
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__unknown_Eggerthella	0.0667321599412958	-0.23748435235792	0.471634267037509	0.534860446464894	4.28610373621933	0.101534933119769	0.440840842644419	0.466341285263515	0.677824323692592	0.455951783984929	0.644435645701249
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthellaceae_DNF00809;s__unknown_Eggerthellaceae_DNF00809	0.50557207238303	0.265355475085435	0.839386967568172	0.577245565233107	4.81497283388692	0.108896093539348	0.440840842644419	0.425240606899521	0.663030963570522	0.46633443511204	0.673928114888953
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia_exigua	0.247062523882629	0.0983033265860351	0.404989031936853	0.263148137672591	4.35180596966573	0.0449411927046506	0.472355770065307	0.469080432013407	0.694808039438598	0.488072891423841	0.682470192920331
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__unknown_Coriobacteriales;g__unknown_Coriobacteriales;s__unknown_Coriobacteriales	0.251040515409951	0.0520963002429706	0.486321275554636	0.42187996940721	4.69070279658254	0.079427568397629	0.460937501182853	0.543623337685495	0.748171269740118	0.530775313248172	0.723434265458949
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__unknown_Bacteroides	0.123752418785547	-0.0927005647319632	0.392581037788397	0.418841144329079	4.54367293235307	0.0778594923066695	0.462740385743021	0.508658941071607	0.727181473742498	0.474561197812922	0.680627569384129
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__unknown_Barnesiella	0.098211551440393	-0.172907111787121	0.429230524074418	0.591045816596113	4.27214268028589	0.12398192674343	0.436899040391376	0.389314869577564	0.62595284943261	0.403527859016449	0.610718650181728
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__unknown_Muribaculaceae;s__unknown_Muribaculaceae	0.380010312802824	0.370469073958719	0.39722618221578	-0.143673748748233	4.65303496336921	-0.0259985684703288	0.481681682233072	0.5618009548138	0.764780275488946	0.572396748904403	0.760869764696536
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__unknown_Paludibacter	0.0355261369757471	-0.252638564265922	0.448132453435623	0.68735125573574	4.40211146538743	0.125699296324652	0.430630632756805	0.469555372451465	0.678132635398761	0.429664964376991	0.628416489421096
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_asaccharolytica	1.2018850673061	2.39069914936603	0.38846709084943	-2.40795131197158	4.96689439370111	-0.436074013351906	0.317908660164399	0.0699172169203733	0.226623376238132	0.0479803273310559	0.183398675537566
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_bennonis	0.0783650710527297	-0.299254648847476	0.568666577761308	1.07834370374204	4.31798646224718	0.222741754889945	0.391826926492388	0.328943434090135	0.54034124111291	0.303447861353225	0.495783944706873
