#SampleID	SourceSink	Env
Tra1-O1	source	oral
Tra2-O1	source	oral
Tra3-O1	source	oral
Tra4-O1	source	oral
Tra5-O1	source	oral
Tra6-O1	source	oral
Tra7-O1	source	oral
Tra8-O1	source	oral
Tra9-O1	source	oral
Tra10-O1	source	oral
Tra11-O1	source	oral
Tra12-O1	source	oral
Tra13-O1	source	oral
Tra14-O1	source	oral
Tra15-O1	source	oral
Tra17-O1	source	oral
Tra18-O1	source	oral
Tra20-O1	source	oral
Tra21-O1	source	oral
Tra22-O1	source	oral
Tra23-O1	source	oral
Tra24-O1	source	oral
Tra25-O1	source	oral
Tra26-O1	source	oral
Tra27-O1	source	oral
Tra28-O1	source	oral
Tra29-O1	source	oral
Tra30-O1	source	oral
Tra31-O1	source	oral
Tra1-H1	source	urine
Tra2-H1	source	urine
Tra3-H1	source	urine
Tra4-H1	source	urine
Tra5-H1	source	urine
Tra6-H1	source	urine
Tra7-H1	source	urine
Tra8-H1	source	urine
Tra9-H1	source	urine
Tra10-H1	source	urine
Tra11-H1	source	urine
Tra12-H1	source	urine
Tra13-H1	source	urine
Tra14-H1	source	urine
Tra15-H1	source	urine
Tra17-H1	source	urine
Tra18-H1	source	urine
Tra20-H1	source	urine
Tra21-H1	source	urine
Tra22-H1	source	urine
Tra23-H1	source	urine
Tra24-H1	source	urine
Tra25-H1	source	urine
Tra26-H1	source	urine
Tra27-H1	source	urine
Tra28-H1	source	urine
Tra29-H1	source	urine
Tra30-H1	source	urine
Tra31-H1	source	urine
Tra1-V1	sink	vaginal
Tra2-V1	sink	vaginal
Tra3-V1	sink	vaginal
Tra4-V1	sink	vaginal
Tra5-V1	sink	vaginal
Tra6-V1	sink	vaginal
Tra7-V1	sink	vaginal
Tra8-V1	sink	vaginal
Tra9-V1	sink	vaginal
Tra10-V1	sink	vaginal
Tra11-V1	sink	vaginal
Tra12-V1	sink	vaginal
Tra13-V1	sink	vaginal
Tra14-V1	sink	vaginal
Tra15-V1	sink	vaginal
Tra17-V1	sink	vaginal
Tra18-V1	sink	vaginal
Tra20-V1	sink	vaginal
Tra21-V1	sink	vaginal
Tra22-V1	sink	vaginal
Tra23-V1	sink	vaginal
Tra24-V1	sink	vaginal
Tra25-V1	sink	vaginal
Tra26-V1	sink	vaginal
Tra27-V1	sink	vaginal
Tra28-V1	sink	vaginal
Tra29-V1	sink	vaginal
Tra30-V1	sink	vaginal
Tra31-V1	sink	vaginal
