#SampleID	SourceSink	Env
P1-O2	source	oral
P2-O2	source	oral
P3-O2	source	oral
P4-O2	source	oral
P5-O2	source	oral
P6-O2	source	oral
P7-O2	source	oral
P8-O2	source	oral
P9-O2	source	oral
P10-O2	source	oral
P11-O2	source	oral
P12-O2	source	oral
P14-O2	source	oral
P15-O2	source	oral
P16-O2	source	oral
P18-O2	source	oral
P19-O2	source	oral
P20-O2	source	oral
P21-O2	source	oral
P22-O2	source	oral
P23-O2	source	oral
P24-O2	source	oral
P25-O2	source	oral
P26-O2	source	oral
P27-O2	source	oral
P28-O2	source	oral
P29-O2	source	oral
P30-O2	source	oral
P31-O2	source	oral
P32-O2	source	oral
P1-H2	sink	urine
P2-H2	sink	urine
P3-H2	sink	urine
P4-H2	sink	urine
P5-H2	sink	urine
P6-H2	sink	urine
P7-H2	sink	urine
P8-H2	sink	urine
P9-H2	sink	urine
P10-H2	sink	urine
P11-H2	sink	urine
P12-H2	sink	urine
P14-H2	sink	urine
P15-H2	sink	urine
P16-H2	sink	urine
P18-H2	sink	urine
P19-H2	sink	urine
P20-H2	sink	urine
P21-H2	sink	urine
P22-H2	sink	urine
P23-H2	sink	urine
P24-H2	sink	urine
P25-H2	sink	urine
P26-H2	sink	urine
P27-H2	sink	urine
P28-H2	sink	urine
P29-H2	sink	urine
P30-H2	sink	urine
P31-H2	sink	urine
P32-H2	sink	urine
P1-V2	source	vaginal
P2-V2	source	vaginal
P3-V2	source	vaginal
P4-V2	source	vaginal
P5-V2	source	vaginal
P6-V2	source	vaginal
P7-V2	source	vaginal
P8-V2	source	vaginal
P9-V2	source	vaginal
P10-V2	source	vaginal
P11-V2	source	vaginal
P12-V2	source	vaginal
P14-V2	source	vaginal
P15-V2	source	vaginal
P16-V2	source	vaginal
P18-V2	source	vaginal
P19-V2	source	vaginal
P20-V2	source	vaginal
P21-V2	source	vaginal
P22-V2	source	vaginal
P23-V2	source	vaginal
P24-V2	source	vaginal
P25-V2	source	vaginal
P26-V2	source	vaginal
P27-V2	source	vaginal
P28-V2	source	vaginal
P29-V2	source	vaginal
P30-V2	source	vaginal
P31-V2	source	vaginal
P32-V2	source	vaginal
