#SampleID	SourceSink	Env
P1-O1	source	oral
P2-O1	source	oral
P3-O1	source	oral
P4-O1	source	oral
P5-O1	source	oral
P6-O1	source	oral
P7-O1	source	oral
P8-O1	source	oral
P9-O1	source	oral
P10-O1	source	oral
P11-O1	source	oral
P12-O1	source	oral
P14-O1	source	oral
P15-O1	source	oral
P16-O1	source	oral
P18-O1	source	oral
P19-O1	source	oral
P20-O1	source	oral
P21-O1	source	oral
P22-O1	source	oral
P23-O1	source	oral
P24-O1	source	oral
P25-O1	source	oral
P26-O1	source	oral
P27-O1	source	oral
P28-O1	source	oral
P29-O1	source	oral
P30-O1	source	oral
P31-O1	source	oral
P32-O1	source	oral
P1-H1	sink	urine
P2-H1	sink	urine
P3-H1	sink	urine
P4-H1	sink	urine
P5-H1	sink	urine
P6-H1	sink	urine
P7-H1	sink	urine
P8-H1	sink	urine
P9-H1	sink	urine
P10-H1	sink	urine
P11-H1	sink	urine
P12-H1	sink	urine
P14-H1	sink	urine
P14-H1s	sink	urine
P15-H1	sink	urine
P16-H1	sink	urine
P18-H1	sink	urine
P19-H1	sink	urine
P21-H1	sink	urine
P22-H1	sink	urine
P23-H1	sink	urine
P24-H1	sink	urine
P25-H1	sink	urine
P26-H1	sink	urine
P27-H1	sink	urine
P28-H1	sink	urine
P29-H1	sink	urine
P30-H1	sink	urine
P31-H1	sink	urine
P32-H1	sink	urine
P1-V1	source	vaginal
P2-V1	source	vaginal
P3-V1	source	vaginal
P4-V1	source	vaginal
P5-V1	source	vaginal
P6-V1	source	vaginal
P7-V1	source	vaginal
P8-V1	source	vaginal
P9-V1	source	vaginal
P10-V1	source	vaginal
P11-V1	source	vaginal
P12-V1	source	vaginal
P14-V1	source	vaginal
P16-V1	source	vaginal
P18-V1	source	vaginal
P19-V1	source	vaginal
P21-V1	source	vaginal
P22-V1	source	vaginal
P23-V1	source	vaginal
P24-V1	source	vaginal
P25-V1	source	vaginal
P26-V1	source	vaginal
P27-V1	source	vaginal
P28-V1	source	vaginal
P29-V1	source	vaginal
P30-V1	source	vaginal
P31-V1	source	vaginal
P32-V1	source	vaginal
