#SampleID	SourceSink	Env
Tra1-O1	source	oral
Tra2-O1	source	oral
Tra3-O1	source	oral
Tra4-O1	source	oral
Tra5-O1	source	oral
Tra6-O1	source	oral
Tra7-O1	source	oral
Tra8-O1	source	oral
Tra9-O1	source	oral
Tra10-O1	source	oral
Tra11-O1	source	oral
Tra12-O1	source	oral
Tra13-O1	source	oral
Tra14-O1	source	oral
Tra15-O1	source	oral
Tra17-O1	source	oral
Tra18-O1	source	oral
Tra20-O1	source	oral
Tra21-O1	source	oral
Tra22-O1	source	oral
Tra23-O1	source	oral
Tra24-O1	source	oral
Tra25-O1	source	oral
Tra26-O1	source	oral
Tra27-O1	source	oral
Tra28-O1	source	oral
Tra29-O1	source	oral
Tra30-O1	source	oral
Tra31-O1	source	oral
Tra1-H1	sink	urine
Tra2-H1	sink	urine
Tra3-H1	sink	urine
Tra4-H1	sink	urine
Tra5-H1	sink	urine
Tra6-H1	sink	urine
Tra7-H1	sink	urine
Tra8-H1	sink	urine
Tra9-H1	sink	urine
Tra10-H1	sink	urine
Tra11-H1	sink	urine
Tra12-H1	sink	urine
Tra13-H1	sink	urine
Tra14-H1	sink	urine
Tra15-H1	sink	urine
Tra17-H1	sink	urine
Tra18-H1	sink	urine
Tra20-H1	sink	urine
Tra21-H1	sink	urine
Tra22-H1	sink	urine
Tra23-H1	sink	urine
Tra24-H1	sink	urine
Tra25-H1	sink	urine
Tra26-H1	sink	urine
Tra27-H1	sink	urine
Tra28-H1	sink	urine
Tra29-H1	sink	urine
Tra30-H1	sink	urine
Tra31-H1	sink	urine
Tra1-V1	source	vaginal
Tra2-V1	source	vaginal
Tra3-V1	source	vaginal
Tra4-V1	source	vaginal
Tra5-V1	source	vaginal
Tra6-V1	source	vaginal
Tra7-V1	source	vaginal
Tra8-V1	source	vaginal
Tra9-V1	source	vaginal
Tra10-V1	source	vaginal
Tra11-V1	source	vaginal
Tra12-V1	source	vaginal
Tra13-V1	source	vaginal
Tra14-V1	source	vaginal
Tra15-V1	source	vaginal
Tra17-V1	source	vaginal
Tra18-V1	source	vaginal
Tra20-V1	source	vaginal
Tra21-V1	source	vaginal
Tra22-V1	source	vaginal
Tra23-V1	source	vaginal
Tra24-V1	source	vaginal
Tra25-V1	source	vaginal
Tra26-V1	source	vaginal
Tra27-V1	source	vaginal
Tra28-V1	source	vaginal
Tra29-V1	source	vaginal
Tra30-V1	source	vaginal
Tra31-V1	source	vaginal
