#SampleID	SourceSink	Env
P1-O1	sink	oral
P2-O1	sink	oral
P3-O1	sink	oral
P4-O1	sink	oral
P5-O1	sink	oral
P6-O1	sink	oral
P7-O1	sink	oral
P8-O1	sink	oral
P9-O1	sink	oral
P10-O1	sink	oral
P11-O1	sink	oral
P12-O1	sink	oral
P14-O1	sink	oral
P15-O1	sink	oral
P16-O1	sink	oral
P18-O1	sink	oral
P19-O1	sink	oral
P20-O1	sink	oral
P21-O1	sink	oral
P22-O1	sink	oral
P23-O1	sink	oral
P24-O1	sink	oral
P25-O1	sink	oral
P26-O1	sink	oral
P27-O1	sink	oral
P28-O1	sink	oral
P29-O1	sink	oral
P30-O1	sink	oral
P31-O1	sink	oral
P32-O1	sink	oral
P1-H1	source	urine
P2-H1	source	urine
P3-H1	source	urine
P4-H1	source	urine
P5-H1	source	urine
P6-H1	source	urine
P7-H1	source	urine
P8-H1	source	urine
P9-H1	source	urine
P10-H1	source	urine
P11-H1	source	urine
P12-H1	source	urine
P14-H1	source	urine
P14-H1s	source	urine
P15-H1	source	urine
P16-H1	source	urine
P18-H1	source	urine
P19-H1	source	urine
P21-H1	source	urine
P22-H1	source	urine
P23-H1	source	urine
P24-H1	source	urine
P25-H1	source	urine
P26-H1	source	urine
P27-H1	source	urine
P28-H1	source	urine
P29-H1	source	urine
P30-H1	source	urine
P31-H1	source	urine
P32-H1	source	urine
P1-V1	source	vaginal
P2-V1	source	vaginal
P3-V1	source	vaginal
P4-V1	source	vaginal
P5-V1	source	vaginal
P6-V1	source	vaginal
P7-V1	source	vaginal
P8-V1	source	vaginal
P9-V1	source	vaginal
P10-V1	source	vaginal
P11-V1	source	vaginal
P12-V1	source	vaginal
P14-V1	source	vaginal
P16-V1	source	vaginal
P18-V1	source	vaginal
P19-V1	source	vaginal
P21-V1	source	vaginal
P22-V1	source	vaginal
P23-V1	source	vaginal
P24-V1	source	vaginal
P25-V1	source	vaginal
P26-V1	source	vaginal
P27-V1	source	vaginal
P28-V1	source	vaginal
P29-V1	source	vaginal
P30-V1	source	vaginal
P31-V1	source	vaginal
P32-V1	source	vaginal
