sampleID	read_count	g_[Agitococcus]_lubricus_group	g_[Eubacterium]_coprostanoligenes_group	g_[Eubacterium]_eligens_group	g_[Eubacterium]_hallii_group	g_[Eubacterium]_nodatum_group	g_[Ruminococcus]_torques_group	g_Acinetobacter	g_Actinobaculum	g_Actinomyces	g_Actinotignum	g_Aerococcus	g_Aeromonas	g_Akkermansia	g_Alcanivorax	g_Alistipes	g_Alloprevotella	g_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	g_Alloscardovia	g_Anaerococcus	g_Anaeroglobus	g_Anaerovoracaceae_Family_XIII_AD3011_group	g_Anaerovoracaceae_S5-A14a	g_Arcanobacterium	g_Asteroleplasma	Atopobium_vaginae	g_Babeliales	g_Bacillus	g_Bacteroides	g_Barnesiella	g_Bdellovibrio	g_Bergeyella	g_Bifidobacterium	g_Bilophila	g_Brevibacterium	g_Brevundimonas	g_Butyrivibrio	g_Campylobacter	g_Candidatus_Azambacteria	g_Candidatus_Falkowbacteria	g_Candidatus_Nomurabacteria	g_Candidatus_Peribacteria	g_Candidatus_Zambryskibacteria	g_Capnocytophaga	g_Catonella	g_Cephaloticoccus	g_Chitinophaga	g_Christensenellaceae_R-7_group	g_Chryseobacterium	g_Chthoniobacter	g_Cloacibacterium	g_Clostridia_UCG-014	g_Collinsella	g_Corynebacterium	g_Cutibacterium	g_Dermabacter	g_Dialister	g_Dyadobacter	g_Edaphobaculum	g_Eggerthella	g_Eggerthellaceae_DNF00809	g_Emticicia	g_Enhydrobacter	g_Enterococcus	g_Escherichia-Shigella	g_Ezakiella	g_Facklamia	g_Faecalibacterium	g_Fastidiosipila	g_Fenollaria	g_Filifactor	g_Finegoldia	g_Flavobacterium	g_Fluviicola	g_Fusobacterium	g_Gallicola	Gardnerella_vaginalis	g_Gemella	g_Gemmata	g_Gemmatimonas	g_Gleimia	g_Globicatella	g_Granulicatella	g_Haemophilus	g_Helcococcus	g_Howardella	g_Jonquetella	g_Kingella	g_Lachnoanaerobaculum	g_Lachnospira	g_Lachnospiraceae_FE2018_group	g_Lachnospiraceae_ND3007_group	Lactobacillus_rhamnosus	Lactobacillus_paraplantarum	Lactobacillus_amylovorus	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii_subsp._delbrueckii	Lactobacillus_gasseri	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_mucosae	Lactobacillus_reuteri	unknown_Lactobacillus	g_Lacunisphaera	g_Lautropia	g_Lawsonella	g_Lentimicrobium	g_Leptotrichia	g_Megasphaera	g_Methanobrevibacter	g_Methanothermobacter	g_Methylobacterium-Methylorubrum	g_Micrococcus	g_Microscillaceae_OLB12	g_Mobiluncus	g_Mogibacterium	g_Moryella	g_Mucilaginibacter	g_Murdochiella	g_Mycoplasma	g_Negativicoccus	g_Neisseria	g_Nosocomiicoccus	g_Novosphingobium	g_Oligella	g_Olsenella	g_Oribacterium	g_Oscillospiraceae_UCG-002	g_Paeniglutamicibacter	g_Paludibacter	g_Parabacteroides	g_Paraprevotella	g_Parasutterella	g_Parcubacteria	g_Parvimonas	g_Peptococcus	g_Peptoniphilus	g_Peptostreptococcus	g_Porphyromonas	Prevotella_timonensis	g_Prolixibacteraceae_WCHB1-32	g_Propionimicrobium	g_Pseudarcicella	g_Pseudomonas	g_Pseudoxanthomonas	g_Pyramidobacter	g_Rhodanobacter	g_Rikenellaceae_RC9_gut_group	g_Roseomonas	g_Rothia	g_Rubinisphaeraceae_SH-PL14	g_Ruminococcaceae_CAG-352	g_Ruminococcaceae_Incertae_Sedis	g_Ruminococcus	g_Saccharimonadaceae_TM7a	g_Salinispira	g_SAR324_clade(Marine_group_B)	g_Schaalia	g_Sediminibacterium	g_Selenomonas	g_Slackia	g_Solobacterium	g_Sphingomonas	g_Staphylococcus	g_Stomatobaculum	g_Streptococcus	g_Subdoligranulum	g_Sutterella	g_Tepidimonas	g_Treponema	g_Undibacterium	g_unknown_Absconditabacteriales_(SR1)	g_unknown_Aerococcaceae	g_unknown_Anaerolineae_A4b	g_unknown_Anaerolineae_RBG-13-54-9	g_unknown_Babeliales	g_unknown_Bacilli	g_unknown_Bacilli_RF39	g_unknown_Bacteria	g_unknown_Bacteroidia	g_unknown_Berkelbacteria	g_unknown_Burkholderiales	g_unknown_Chitinophagaceae	g_unknown_Chitinophagales	g_unknown_Clostridia	g_unknown_Clostridiaceae	g_unknown_Comamonadaceae	g_unknown_Coriobacteriales	g_unknown_Corynebacteriaceae	g_unknown_Crocinitomicaceae	g_unknown_Enterobacterales	g_unknown_Gammaproteobacteria	g_unknown_Gracilibacteria	g_unknown_Lachnospiraceae	g_unknown_Lactobacillales	g_unknown_Micrococcaceae	g_unknown_Micromonosporaceae	g_unknown_Muribaculaceae	g_unknown_Neisseriaceae	g_unknown_Oscillospirales_UCG-010	g_unknown_Parcubacteria	g_unknown_Pasteurellaceae	g_unknown_Pedosphaeraceae	g_unknown_Peptostreptococcaceae	g_unknown_Planctomycetales	g_unknown_Polyangia_Blfdi19	g_unknown_Polyangia_mle1-27	g_unknown_Polyangiales_BIrii41	g_unknown_Rhodospirillales	g_unknown_Ruminococcaceae	g_unknown_Sphingobacteriaceae	g_unknown_Sphingobacteriales	g_unknown_Sphingobacteriales_env.OPS_17	g_unknown_Sphingobacteriales_NS11-12_marine_group	g_unknown_Veillonellaceae	g_unknown_Verrucomicrobiaceae	g_unknown_Vicinamibacteraceae	g_unknown_Woesearchaeales	g_Ureaplasma	g_Varibaculum	g_Veillonella	g_W5053	g_Winkia	I-A_sim	I-B_sim	II_sim	III-A_sim	III-B_sim	IV-A_sim	IV-B_sim	IV-C0_sim	IV-C1_sim	IV-C2_sim	IV-C3_sim	IV-C4_sim	V_sim	subCST	score	CST
P10-V1	7181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6695	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	20	0,997532554	0,929958146	0,006379215	0,023633473	0,123762216	0,003580861	0,014790732	0,046302207	0,007167885	0,027249019	0,002631118	0,011555648	0,035412447	I-A	0,997532554	I
P10-V2	5929	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	22	0	0	0	0	0	0	0	628	0	143	4050	0	0	101	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	16	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0,080828883	0,134865633	0,069491807	0,90229928	0,957624016	0,065330409	0,143724764	0,116253011	0,038827945	0,018103745	0,005313978	0,142313853	0,270160169	III-B	0,957624016	III
P11-V1	6198	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6070	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,999006616	0,901464432	0,004260787	0,0016104	0,097876101	0,001262398	0,00975344	0,040422389	0,006203723	0,026291257	0,002487248	0,006521712	0,025985558	I-A	0,999006616	I
P11-V2	4029	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	150	0	0	61	0	0	0	59	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	37	19	447	0	0	103	0	0	0	0	0	0	0	0	0	0	76	0	0	0	272	0	22	151	0	0	0	8	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9	0	0	257	193	81	211	0	0	0	0	0	0	0	0	0	0	0	0	0	25	7	0	0	0	0	79	0	32	0	66	0	556	0	0	0	0	0	0	66	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	122	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	39	196	0	0	0,000570495	0,01014467	0,017587362	0,033532633	0,055547313	0,034245955	0,071910005	0,386468546	0,231508335	0,01547657	0,066157637	0,074750156	0,026089721	IV-C0	0,386468546	IV-C
P12-V1	5380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5094	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,99832397	0,917684749	0,005888765	0,001778899	0,101572084	0,006202294	0,01902884	0,042472473	0,006713087	0,026862445	0,002564233	0,007574926	0,027937281	I-A	0,99832397	I
P12-V2	5832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	202	0	0	0	0	0	0	70	0	125	0	0	0	0	0	269	0	0	109	0	934	0	0	0	63	0	0	0	68	0	37	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0	33	0	0	55	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	285	187	462	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	17	175	0	0	0	173	0	47	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	192	0	76	0	0,060445499	0,086099449	0,03661176	0,002994172	0,057311335	0,197001917	0,421779894	0,375969426	0,056447874	0,027977427	0,015422889	0,033782913	0,038553751	IV-B	0,421779894	IV-B
P14-V1	6086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	5821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0,002479377	0,043478633	0,057059164	0,99574006	0,800397431	0,052576128	0,113118437	0,075107192	0,017760091	0,011870454	0,001116261	0,121111357	0,236607674	III-A	0,99574006	III
P14-V2	3867	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	34	0	0	0	47	93	0	0	0	70	0	83	0	0	236	0	87	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	239	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	145	258	624	193	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000362481	0,005492471	0,014969341	0,001222295	0,012388056	0,056749893	0,093328621	0,296254979	0,073634698	0,005561272	0,018393266	0,017980712	0,009829716	IV-C0	0,296254979	IV-C
P15-V2	4879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	56	0	154	0	0	0	0	0	0	0	0	0	0	0	49	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	260	0	0	0	0	0	0	0	0	0	0	0	154	150	0	158	0	0	129	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	184	0	13	38	0	0	0	0	0	0	62	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	477	68	311	445	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0,000357066	0,004794578	0,010259201	0,003461913	0,009656584	0,025806953	0,037094481	0,275262414	0,008525197	0,001254455	0,006683774	0,007039559	0,007680161	IV-C0	0,275262414	IV-C
P16-V1	7333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	6180	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,020325879	0,035133431	0,916388416	0,003251623	0,007788395	0,000432349	0,003174717	0,022237545	0,012141402	0,015382708	0,058624232	0,007338634	0,026782457	II	0,916388416	II
