featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_12_Cladosporium_cladosporioides	0.963245306215686	1.28492497763676	0.741043787786355	-0.638292916151427	5.14884598684212	-0.107015160236445	0.445064139757086	0.442690709163013	0.891399643058681	0.457550289576201	0.906736126434394
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_13_Cladosporium_cladosporioides	0.798616376664413	1.0053946240348	0.605588297815485	-0.482103745431624	4.60473048133347	-0.0951308654643062	0.446737313164476	0.475795897169902	0.896330849757733	0.484279912288136	0.907607927812321
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_143_Cladosporium_cladosporioides	0.610161361315668	0.603807528190361	0.616904083320677	0.0115372371894171	4.28455856519934	0.00248401439000796	0.498325892900587	0.53699170621225	0.925430570174646	0.544709716379519	0.922728548065157
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_237_Cladosporium_cladosporioides	0.584825183096708	0.701240661446383	0.46816062478404	-0.277173303403078	4.32194323032541	-0.0479782277999736	0.468488567468153	0.498896017778344	0.902653608875711	0.516883086614877	0.901206050539671
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_564_Cladosporium_cladosporioides	0.584785680023178	0.680983214004791	0.456375913843577	-0.190430254414717	4.0987072492212	-0.040829065804558	0.474888393510445	0.499899974741699	0.899674082547381	0.506188976278729	0.903936226428456
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_634_Cladosporium_cladosporioides	0.57009937194973	0.52665565235303	0.604251315886095	0.0580984329215601	4.25147538707174	0.0105326124857377	0.494143893068718	0.518157546665103	0.922967084205561	0.514411495044846	0.92527687870269
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_haroldporteri;ASV__ASV_337_Ramularia_haroldporteri	0.545482468305663	0.723293031138211	0.398588167459469	-0.295529066127142	4.30830936504537	-0.0513888939040706	0.465142220651422	0.513722612138226	0.917525349843331	0.493481114515867	0.919434774384847
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_unterseheri;ASV__ASV_136_Ramularia_unterseheri	0.654620180316176	0.858872746045726	0.495811298750675	-0.376968739824087	4.29531916678031	-0.073732179196273	0.466257669590306	0.453001055088551	0.889648738525597	0.485928806783707	0.902451485912242
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_pullulans;ASV__ASV_15_Aureobasidium_pullulans	0.633815948531747	0.674336961181368	0.594869853652451	-0.042228011940769	4.50796255433645	-0.00777208047990978	0.494977678701773	0.469529560624879	0.895333423164225	0.493772326481263	0.908489917907013
