featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_12_Cladosporium_cladosporioides	0.897939410990756	0.922865344460017	0.868202173502781	-0.211082699677598	5.45731630116981	-0.0369929508223669	0.479166667403806	0.589897896318557	0.928701073882364	0.574223608527442	0.940105534886832
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_13_Cladosporium_cladosporioides	0.639867338908419	0.502390693094807	0.817672522977963	0.344780073462611	4.48688079397567	0.0698118964680034	0.459635418101748	0.510010940610807	0.895037688485968	0.521252895950733	0.908336768983942
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_173_Cladosporium_cladosporioides	0.601243964504557	0.549360863160139	0.666387112508493	0.156573844900239	4.52383083404699	0.0360551597590963	0.479817709047361	0.468814198033851	0.889386102381495	0.504451133263885	0.903589403422845
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_332_Cladosporium_cladosporioides	0.675232091750003	0.706899825519862	0.637055864859033	-0.0560340603675069	4.2127034582867	-0.012334659480477	0.493819128389829	0.534217989792588	0.899309514003885	0.53940850312011	0.918790054833395
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_451_Cladosporium_cladosporioides	0.51399457805322	0.484706400907743	0.545853847961374	0.097581564098463	4.31505350768234	0.0206787835318643	0.489264801940345	0.534155901719098	0.898967946849345	0.55019049826934	0.908193947922598
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_555_Cladosporium_cladosporioides	0.55258227922752	0.683149396887269	0.343093663968627	-0.25235638141777	4.29870211187641	-0.0476571174041401	0.474609375899148	0.466042022874858	0.871913739396842	0.467599947221571	0.889261383370424
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_745_Cladosporium_cladosporioides	0.5870523745744	0.472146290750524	0.716069468565165	0.198879475113144	4.23249261015759	0.0419237700721176	0.476903058721504	0.4844093639639	0.870934941499404	0.485824633603168	0.892855327407482
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides;ASV__ASV_985_Cladosporium_cladosporioides	0.608284812057954	0.725846099612537	0.499697140180274	-0.244666649290347	4.22504356721777	-0.0550923468961703	0.466493169697381	0.48318551474856	0.879722871908393	0.507292370992336	0.89536229776112
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum;ASV__ASV_228_Cladosporium_sphaerospermum	0.604316431343214	0.681982977659065	0.552447480457949	-0.224835033839419	4.30085804844217	-0.0425258102186434	0.477553676785593	0.516993634826467	0.87886005136292	0.507470153012766	0.891797146024938
