featureid	rab.all	rab.win.mother-post	rab.win.mother-pre	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca	0.0494834642813782	0.176388486617717	-0.069035971233653	-0.331932299282534	4.5007621608334	-0.0625639989257874	0.465856482438829	0.463982378708903	0.798519861577589	0.480861749855685	0.814210538572725
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	1.41730569508515	0.859834804500914	2.24092954282411	1.59682877701337	6.04039219658468	0.245968669248638	0.38866397087684	0.251614963991811	0.729361476094844	0.225747175778348	0.715397231260097
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium	0.154940581164348	0.123032628202977	0.175817666486982	-0.00895425119210991	4.24625180169789	-0.00129054867957246	0.498554077541753	0.455778428234418	0.784314775162234	0.471599738486303	0.799398402290292
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	0.146422830492719	0.0368108657509056	0.268512081374907	0.31681697458238	4.4241669264306	0.0576291132150545	0.464120371376888	0.450145104869124	0.8091760330919	0.457756641663984	0.812555187660651
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.168385122835001	0.240936015455619	0.090232451282219	-0.100996205822226	4.43508832609463	-0.0204950554695144	0.488721804825828	0.499348165013533	0.811939424542836	0.519369560739356	0.824892537489694
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.397635941143237	0.258383548206688	0.554906579409453	0.319234575680047	4.55527107480582	0.0565986927911461	0.473379630374667	0.492697546333817	0.817208859548757	0.495555950421309	0.830209518757737
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Pseudopithomyces	0.176655197034427	0.181034731950995	0.17202520209386	-0.0347746776673858	4.2524201377644	-0.00665098541122442	0.497397339575156	0.524864246249697	0.832902033757214	0.514632278761737	0.842391493120494
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__unknown_Didymosphaeriaceae	0.154755107018074	0.243323513549258	0.0716810412361104	-0.227044290592843	4.28451941593232	-0.0490419142335753	0.473105842278768	0.506632249809226	0.829051659124396	0.521557811372424	0.832133658699413
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	0.212724387575386	0.202849395873354	0.229896161764453	0.0769357592451581	4.22403139267763	0.01422996199061	0.489878542792382	0.525355374247905	0.827284298224265	0.520230250663249	0.830337038492001
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unknown_Phaeosphaeriaceae	0.189116516584931	0.223387508905307	0.148464877078973	-0.0511332247106848	4.56506557587732	-0.0112973668217608	0.493634259436944	0.561739078407503	0.850357625470917	0.54949848611586	0.845949213032404
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pyrenophora	0.175201009655942	0.0748048695790313	0.282605228295073	0.148251720831785	4.21999872281101	0.0320220142396931	0.484375000436491	0.49356418147514	0.809190165488933	0.518144206773599	0.834630144447588
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.126691097761599	0.130843132634384	0.11829837759086	0.0337228502004718	4.75996632642608	0.0046913166492742	0.495949074187135	0.55537607054705	0.844028104119388	0.537324104112884	0.839587783893451
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Thyridariaceae;g__unknown_Thyridariaceae	0.140045318772071	0.261272315543512	0.0305512530135426	-0.357513763803203	4.37850056748366	-0.0679487228317354	0.463851938549102	0.528677170954931	0.829710594235618	0.551128947460609	0.842680523190417
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unknown_Pleosporales;g__unknown_Pleosporales	0.223806881187789	0.288694605509556	0.16280586590134	-0.085101924841573	4.45078536892934	-0.0151119203349314	0.491613649742229	0.490655083724639	0.832439263240409	0.518005439681315	0.83497762270955
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__unknown_Venturiales;g__unknown_Venturiales	0.18586409759633	0.162942386401284	0.209072028072391	0.195088725581907	4.32466615964055	0.0356993666410661	0.483217593061487	0.493002446872654	0.82345277273953	0.517622861918862	0.837542820739443
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara	0.579142273816498	0.648661033185914	0.503273128827754	-0.232387089658948	5.38489237860283	-0.0306793973293105	0.480624639060293	0.560178666438839	0.852088463246128	0.568863044402607	0.851667938075452
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium	0.327336172788523	0.489612709718269	0.18029534343115	-0.436278296201698	4.9000013718383	-0.0788148489645291	0.460648149253231	0.50742499634845	0.835509126123045	0.514002096868321	0.838382718108853
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Xenopolyscytalum	0.170104011036291	0.259547195765104	0.0994412110409844	-0.115912560478536	4.25560446431824	-0.0281217974181476	0.488721804825828	0.483171359820534	0.81760310701103	0.485509633961752	0.818648526274493
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella	0.165790404540608	0.0928725288957368	0.25138514082898	0.278279669450094	4.54956297667045	0.0525966282274514	0.465008676515206	0.507839736013181	0.832520373433992	0.510980157678814	0.829988097756435
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria	0.182459973470281	0.120488826527981	0.261040113482212	0.129707145888388	4.44682952655661	0.0285418594590791	0.483516483976476	0.51159745777969	0.831306805227332	0.522314637539938	0.834209619968467
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis	0.154202103362688	0.209441513429781	0.113314994256353	-0.236470959133529	4.29528074117859	-0.0473112027634414	0.473379630374667	0.469398407727639	0.812315769902239	0.487759356259101	0.817399483267224
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unknown_Helotiales;g__unknown_Helotiales	0.239094689028928	0.303080618470856	0.18550036942421	-0.0778020967095592	4.4076012258271	-0.0134455894919738	0.493927125675385	0.554249149940723	0.846749558860036	0.543975332621	0.845482727312779
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unknown_Leotiomycetes;f__unknown_Leotiomycetes;g__unknown_Leotiomycetes	0.109134090153119	0.0594519927107218	0.17558830766626	0.0954071969818324	4.38691654047841	0.0163920338134616	0.490162037311703	0.523315748264338	0.836902478089278	0.527323827034417	0.841444815167913
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida	2.74163809147207	4.37090821599054	1.88705380129575	-1.19149167082649	7.14351771575224	-0.161037251854147	0.427993061621777	0.347338477987773	0.777302552447602	0.342243919041943	0.784676438349484
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__unknown_Saccharomycetales;g__unknown_Saccharomycetales	1.23453579063804	1.98843105263394	0.565536715975218	-1.66301239892964	5.75028635981122	-0.261718369956569	0.368055559513503	0.164626749840602	0.640599631983389	0.159172436870701	0.637597100805994
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta	0.358276738706995	0.229561294449743	0.481789393146341	0.319865793809489	4.86370991535431	0.0616071667345147	0.471064815625056	0.498238763578054	0.825254055525064	0.470649322921634	0.829853463196719
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.293104710214446	0.322203819924757	0.237315303154316	-0.0359044617557567	4.81187434983476	-0.00663678080510279	0.496527777874686	0.606737607550924	0.874909931649311	0.563474394560756	0.865367234796049
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella	0.264222825604932	0.253331649749374	0.271754285928977	0.0343437881186057	4.35263546259479	0.0063911306935451	0.494791666812038	0.512999481651861	0.824362605958169	0.502005178933434	0.826583978330987
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__unknown_Sordariaceae	0.161703689240063	0.0632382341836619	0.245204433403839	0.142884342105914	4.13052614594771	0.0304759680601781	0.480902778311525	0.507338526591604	0.822748409166377	0.50889567793079	0.824176428221506
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Phialemoniopsis	-0.00132784952176657	-0.00429920097115755	0.0065028388906434	0.0489461772932995	4.23405739203964	0.00926034730827411	0.493927125675385	0.529525610878374	0.827411526961333	0.5045512184425	0.836936230720744
k__Fungi;p__Ascomycota;c__unknown_Ascomycota;o__unknown_Ascomycota;f__unknown_Ascomycota;g__unknown_Ascomycota	0.455934624192794	0.517930695546065	0.364256775366214	-0.234456343042037	4.90062778256817	-0.036106256811109	0.479467901093849	0.503627554825085	0.844674509811655	0.491860801735777	0.82635987530609
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Bullera	0.321707445353023	0.251179960025069	0.419128454736136	0.277698386388906	4.47490118180873	0.0484964549499362	0.46990740825029	0.52455825026626	0.83946772692387	0.527483093606361	0.834888770723139
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	0.398648401956595	0.484420296727416	0.340501862602816	-0.308173693925894	4.50307084956022	-0.0624262564198176	0.473105842278768	0.494459251071267	0.825030276546492	0.524686877047234	0.848858546294251
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella	0.14732082041704	0.293937687607137	0.00552775461965549	-0.217229984956103	4.37190603101041	-0.0465588224005158	0.477732794144219	0.518669177163924	0.821386136274688	0.513694784731256	0.825416570559227
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.268991924519131	0.276427470848843	0.267441528693691	0.0207834984924982	4.57478961769632	0.00451537578298662	0.497685185249789	0.540161730399049	0.85115126546211	0.557137807365037	0.858972922927395
k__Fungi;p__Basidiomycota;c__unknown_Basidiomycota;o__unknown_Basidiomycota;f__unknown_Basidiomycota;g__unknown_Basidiomycota	0.181405860522509	0.225673863001226	0.123875630724573	-0.101016813304911	4.22616162458475	-0.023269100970139	0.48958333362417	0.459597033204092	0.797952525605751	0.462873172036816	0.805660116405032
