featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Microcyclospora	0.202486687813106	0.141084721416433	0.28215380028061	0.185355665223715	4.13429442647677	0.0417538148943541	0.480480481068135	0.536709003081304	0.840102919206907	0.534028495141572	0.83946667134161
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca	0.129491823761001	0.144503248242691	0.121489070398562	-0.0863032053763084	4.55057198907425	-0.0176452860432298	0.488581731113057	0.458113747327942	0.826301942216037	0.471525890999014	0.82944393085637
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	1.01020844042133	0.890346692992221	1.10860696553446	0.150722318363132	5.53161638697932	0.0231276774986609	0.485885886310496	0.572620269517543	0.858424941347189	0.560736082787999	0.859443045524876
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Rachicladosporium	0.244142884743156	0.145620264616256	0.335898249544919	0.192599381136533	4.13733107671806	0.0427904311658287	0.478078078738322	0.468600229624042	0.819014823157971	0.493022069461351	0.830238131233635
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Microcyclosporella	0.235306323103356	0.150312160219292	0.316039355871288	0.127944911394195	4.23297421133521	0.0292897639497421	0.487980769592712	0.55966029875169	0.847118696045382	0.554121792377515	0.844582114848474
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerelloides	0.204325865246274	0.102788542427456	0.315729140083439	0.339281365719492	4.27074020375662	0.0666053466268412	0.465745193343494	0.523834867722945	0.842023365903821	0.532417882444416	0.851819758877766
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unknown_Mycosphaerellaceae	0.20433526273102	0.0966018506871755	0.334235024376821	0.227662633209803	4.20050662274573	0.0461407613228763	0.468750000944196	0.471357765708169	0.806872310750499	0.455960060267328	0.803333453724576
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unknown_Teratosphaeriaceae	0.216260238058563	0.121705062668227	0.355020956198702	0.165607202571809	4.13644970207301	0.0327087840559565	0.482282282815548	0.511758500095598	0.824045839777987	0.492445624622919	0.798744651420289
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unknown_Capnodiales;g__unknown_Capnodiales	0.154868315093043	0.129788226977143	0.177859933503879	0.0721957201853161	4.14992926353438	0.0164196060460672	0.491891892135686	0.531764306154753	0.837880568153601	0.526253517643262	0.830459460228789
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	0.298820747351346	0.101135248481768	0.529620370056913	0.496118180747157	4.29944241429893	0.0940005505692149	0.455528847502932	0.430921120774061	0.785967537777199	0.425486889187457	0.785566685294527
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.166983689479533	0.135838385853162	0.200999543537073	0.0319058506674064	4.35293678002792	0.00589161140288161	0.496394230877757	0.508024593926584	0.827243735700809	0.541349298265072	0.848614377350248
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.415018234340243	0.290623043138015	0.537772246461503	0.277485955534381	4.70201628664762	0.0524094482852804	0.46966967058477	0.486678288794948	0.826042406741848	0.515985043793476	0.845572347456107
