featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Conidiocarpus	0.0468394722404692	-0.0549091925651961	0.0718209440152364	0.134169645224136	4.15482110564441	0.0279728175765181	0.481250015280225	0.509427773215166	0.821777528155989	0.575123811876529	0.867882461452903
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	4.95052140508262	4.72222577447638	5.13209376160369	0.411561494716868	2.69354291754874	0.126413766811663	0.439252386313525	0.607457102731502	0.877549482579272	0.675702580933559	0.934588748056112
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	0.233659314029238	-0.084445614015892	0.304836132339886	0.39338689992611	4.27841134217929	0.0792038103095472	0.453125038485087	0.47702134899697	0.815886563021642	0.505432429888952	0.853206594078986
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	1.2886211026207	2.37178243825224	1.09260517726482	-2.18023412839468	5.64144341692973	-0.329449665788636	0.343750140917474	0.441287230984046	0.812745618074248	0.444492871259176	0.852889716356176
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.87887362956801	0.0316049136136094	1.11923747487924	1.4780734837091	4.45974493244598	0.274292110695772	0.370716622950809	0.446838356616297	0.78145643034623	0.473104590156221	0.81626532150513
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__unknown_Didymellaceae	0.0822019268222292	-0.0721746811044044	0.102283587584603	0.140677580615952	4.05469017441048	0.0289079069162578	0.490625007632052	0.490416760409452	0.802365859351279	0.522234083850932	0.857584287764954
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Paraphaeosphaeria	0.128295044909736	0.945272533307327	-0.0598161269821853	-0.871672745481539	4.21971020986908	-0.152929354986765	0.409375076255655	0.422363400106001	0.75304648792345	0.434217073687182	0.809817732522634
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	0.040219838161895	0.243764629906703	-0.00597150873007024	-0.35340995821921	4.2120328521477	-0.0722966262987397	0.462500030690104	0.469473320726191	0.784102522766474	0.480152750329381	0.836494759181022
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Loratospora	0.0762485388208374	0.854127087572894	-0.0963381974206685	-0.712168099952517	4.61458426319669	-0.136373608236929	0.423676075659681	0.443093142152097	0.763152566433274	0.482781032373424	0.838084305007683
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma	0.233822323645569	0.685863313083907	0.130876212489741	-0.546353424809141	4.24433591234603	-0.121211058393575	0.433021862011067	0.445637966160696	0.786161345771088	0.505826510446076	0.859166957858415
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma	0.0856976673874872	0.104187604976768	0.0751980616226424	0.366317138928398	4.62927477778382	0.075948919494153	0.450000041100971	0.486130132462664	0.806497116638915	0.510708698004894	0.855746852414447
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	-0.000314027424543895	-0.0858748733273256	0.0431478918073829	0.0957690512503246	3.9092410912158	0.0137493619195822	0.490625007632052	0.444978170198411	0.780119126031303	0.530113636363636	0.854277792651567
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unknown_Phaeosphaeriaceae	0.0121563462724517	-0.22706399411646	0.0536816561511735	0.162140663692695	4.33594481427241	0.0318930425759409	0.490625007632052	0.459442426617525	0.802104827162044	0.501053430265387	0.85340491178172
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Comoclathris	0.010127773308878	-0.071471782442563	0.0535864479682067	0.0423649690256171	4.07671303248243	0.00534442780771775	0.496875002543222	0.459609556752322	0.799034293023414	0.493058888575193	0.862635110254426
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unknown_Pleosporales;g__unknown_Pleosporales	0.0896668535590273	0.118606215828907	0.0815546318218177	-0.152237104918259	4.17033207504025	-0.0312628208250454	0.485981319757566	0.523921316322301	0.825613507836431	0.567900668172407	0.877767989908408
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	0.389601292823535	0.0420808911332138	0.46854821589118	0.522314566833284	4.68884099698752	0.104650833710048	0.448598172855738	0.526388402718383	0.837536056073288	0.557803089121024	0.87380654445673
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces	0.106877909969219	0.281602852409443	0.0503617168699222	0.00392360180699614	4.47796368796897	-1.65825120120866e-05	0.5	0.458871099563849	0.780824972249119	0.504877188029362	0.844997536855939
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unknown_Onygenales;g__unknown_Onygenales	0.0712102193294921	0.92388178404239	-0.0710060922603475	-1.22357018383882	4.17905893031001	-0.246563882871467	0.376947146432037	0.423009827393821	0.725108288187765	0.472920783926219	0.813580708264555
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora	0.0976765498638157	0.0752162596237715	0.102161009760749	-0.0994491429736497	4.07382833181002	-0.0358187187903143	0.479750795219393	0.487329573366804	0.808837299469491	0.522296430924148	0.865877886505456
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium	0.224607538888315	0.0832971442741473	0.292219415580889	0.312391983178634	3.95172845194532	0.0696122158995322	0.456250035878411	0.495933941094984	0.806183513575697	0.512147092038396	0.842536261017118
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara	0.0238293910536909	0.150612428379945	-0.0344686566390955	-0.381369673117832	3.82391465691321	-0.0743440574161949	0.46417448395161	0.472224965149925	0.802153059519255	0.492099567099567	0.854140249405601
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leptodontidium	0.0350877897472595	0.00424020996955488	0.0371281447327991	-0.140165475709456	4.37030746776665	-0.0352029220845622	0.479750795219393	0.492664677380724	0.794139778176987	0.539017210144927	0.861671824200875
