featureid	rab.all	rab.win.mother-post	rab.win.mother-pre	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0.866641262413805	0.80694746851388	0.905739121277879	0.0886962022347779	5.78706494688738	0.0134641998949178	0.489124372842	0.582178425042845	0.883855268244374	0.580829694724757	0.884063160581188
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	0.171376824513814	0.249783201829686	0.120545142676806	-0.193969667326735	4.22192754402581	-0.0432838119758123	0.478236607708696	0.548338635870957	0.853037982041593	0.539795910557608	0.853973668780572
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	0.214677183931692	0.10825133235903	0.319772766303823	0.287458325692237	4.34900079801846	0.0566328356816111	0.469866072213407	0.519719575842356	0.854902215196031	0.540308333220636	0.855058069142648
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.0176227639298085	0.0474140297511223	-0.0155140470376391	-0.106777730234346	4.547569547299	-0.0213192542425957	0.488566648372374	0.513773463196687	0.850740535631141	0.511213700506195	0.850867075447194
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.141966911151147	0.300793272589488	-0.0239698005830808	-0.431755256103741	4.57056815257068	-0.0864414816856069	0.456776353610726	0.442504539332772	0.81999759427956	0.463592457275121	0.825919193882457
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__unknown_Didymellaceae	0.0781126493711097	0.0861278295806152	0.0662252893443451	-0.190836457950495	4.49299285426759	-0.0320404895940782	0.481026786207357	0.491866436064021	0.853251753253693	0.529498654271505	0.852968168456667
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__unknown_Didymosphaeriaceae	0.0969112505595158	0.117554844410531	0.0773376674812054	0.0134088205260721	4.27710701027627	0.00394782514231978	0.49860568882588	0.492276112250852	0.839897700716772	0.508167106887831	0.835842546152109
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma	0.16027777098963	0.162321214350777	0.156855568247419	-0.0530699592518622	4.79662918145978	-0.00908976953746155	0.493028444129437	0.549386640662991	0.855225327118752	0.548291321925908	0.849009606331035
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	0.138645089335266	0.205911997860785	0.0630316184710686	-0.079712955060379	4.40461019013424	-0.0153190250314686	0.491071428803202	0.511051787883949	0.854580420895634	0.514524079315056	0.859006186641851
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.130451183572819	0.0219875680237136	0.232700177961521	0.275468630517451	4.11218688014733	0.0576830531133046	0.46569994512086	0.483813472831336	0.843187104608398	0.50179498920694	0.858415800875813
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unknown_Pleosporales;g__unknown_Pleosporales	0.184320963607923	0.271654196741021	0.0857638574540611	-0.179873500477643	4.16816784678523	-0.0388012409039158	0.47879464340842	0.496745797276753	0.827245248190723	0.527401829627305	0.840403399017576
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__unknown_Venturiales;g__unknown_Venturiales	0.0931083957290095	0.111189224634855	0.0843807263038538	-0.000298979861352411	4.1500120862062	-0.000163784552913878	0.499721137765176	0.489749416421916	0.816707770704959	0.503690438997681	0.834426062202951
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Ramalinaceae;g__Lecania	0.0743420124900345	0.0289228593413746	0.113172810099434	0.0653047045861364	4.07399029583355	0.0121663414150848	0.494701617538361	0.489531192796269	0.831459238592383	0.50903861408867	0.829020894548789
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas	0.119571313178219	-0.0228246927737272	0.248671310206382	0.327298403876286	4.10298504572332	0.070126064024494	0.468750000814127	0.568798869152142	0.852320333383484	0.547747186985739	0.850761360524398
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium	0.278384177922772	0.489507018913859	0.0740521915147583	-0.480329004597075	4.68470561330406	-0.0827520268307526	0.456776353610726	0.41806343147632	0.805537339601085	0.439130817437567	0.814765017535462
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara	0.115094125921774	0.0246206114594738	0.227681244028183	0.347277630708159	4.41622559078013	0.0671695278753364	0.461238149365548	0.514582654051727	0.842666380185836	0.546052496565258	0.873017246202063
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Spirosphaera	0.0936086011629618	0.155843177675293	0.0493193948309809	-0.144597385340553	4.60187536840939	-0.0306576784039148	0.48437500040587	0.471646847785689	0.834151155587702	0.491704462907271	0.839773582542246
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella	0.117993036541665	0.169127546511549	0.0581896025290281	-0.216155331577722	4.52616748957893	-0.0416542914914689	0.472656250711708	0.512851321603217	0.840493103979907	0.518952511177572	0.849762808712566
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria	0.0928722841865746	0.150192256175915	0.0249747029195451	-0.104753120856766	4.20473397188329	-0.023697537873422	0.486893474963509	0.473294703761676	0.836761571527272	0.477880068451348	0.8445804254539
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unknown_Helotiales;g__unknown_Helotiales	0.146264316388604	0.201491164846156	0.11116462193127	-0.121410287678684	4.460384488725	-0.02247065985624	0.486893474963509	0.482272505641464	0.83191890011813	0.489853082929881	0.829910094734775
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Teberdinia	0.12350440154193	0.0207859278050977	0.216480215892103	0.250057349375242	4.38739013207162	0.0479332376443199	0.465959822316038	0.478804759806643	0.828008911847357	0.465265144625187	0.833711426772024
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unknown_Leotiomycetes;f__unknown_Leotiomycetes;g__unknown_Leotiomycetes	0.0984202796255493	0.0329497963414704	0.177102062342647	0.162701908136927	4.24828918354086	0.034118530510539	0.481873954737063	0.481172899574025	0.8355691736169	0.504732842999388	0.855673886263998
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia	0.266455818429561	0.152378300225832	0.374372098335672	0.300616323611346	4.68654688268785	0.0556238866038515	0.471834914285107	0.493479592175742	0.838059599755544	0.505997010304495	0.847884911252572
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida	1.71565660119354	2.34570045121339	1.1661737619839	-1.06166343751482	5.52897476801828	-0.174071704665104	0.417410716489048	0.376912768487929	0.794638846908344	0.31171564881234	0.764373828802838
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__unknown_Saccharomycetales;g__unknown_Saccharomycetales	7.38205281247482	7.12762930906516	7.59226964077206	0.564861659237212	3.65085401393667	0.116390962483811	0.420200894982081	0.671598947005343	0.908670637169906	0.367432606806563	0.820520022959024
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta	0.0668032920610084	-0.0378260625635694	0.183094199670641	0.21104675013436	4.40547271535624	0.0419475129822924	0.477678572008976	0.444089897134911	0.815505795164711	0.473826225864883	0.818873635535731
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.0468494600142	0.00501358730719392	0.097710358195843	0.268833116526022	4.34797182195086	0.0529403100579575	0.469866072213407	0.491460050592701	0.830358672333642	0.472663648618907	0.835532382622216
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora	0.0789705267254961	-0.0778485066470775	0.225723615002138	0.341310479766639	4.28722152716393	0.0706495350355165	0.461795873834937	0.491370895141398	0.821689191778822	0.490750589758819	0.835595993633413
k__Fungi;p__Ascomycota;c__unknown_Ascomycota;o__unknown_Ascomycota;f__unknown_Ascomycota;g__unknown_Ascomycota	0.517191766643153	0.560284031055626	0.448912242133253	0.0308506482614455	4.56280485708609	0.00610530399780555	0.496651785801177	0.52629857835169	0.848470927882753	0.547522977218798	0.851743072025307
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	0.0779929558620749	-0.0339118554700013	0.20815102760669	0.236951435623377	4.38899603035177	0.0518374496527165	0.475181261102259	0.46624743579003	0.838240906661678	0.490997283507069	0.828969100417438
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.0889231855370332	0.000147650877457828	0.167146904994773	0.190108147136835	4.23841689676473	0.0410452969683849	0.47629671004135	0.501657013123956	0.837900794949656	0.523993054676457	0.84970257583582
k__Fungi;p__Chytridiomycota;c__unknown_Chytridiomycota;o__unknown_Chytridiomycota;f__unknown_Chytridiomycota;g__unknown_Chytridiomycota	0.0660995405035631	-0.0857139321981695	0.204158457747636	0.337962440900603	4.51737252339114	0.063857949543081	0.466517858015643	0.450042647853203	0.803889230846741	0.487868609260419	0.812945715494493
k__Fungi;p__unknown_Fungi;c__unknown_Fungi;o__unknown_Fungi;f__unknown_Fungi;g__unknown_Fungi	5.0446764060415	5.99523658330675	4.29113679665022	-0.755413070501717	5.17364514806932	-0.136589779944061	0.441406251541698	0.462039123020505	0.850340563408326	0.434387304905361	0.861180889732845

