featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0.886254642123324	1.15156497879017	0.654007779753343	-0.665168649869281	5.60530914328086	-0.115798509172851	0.445064139757086	0.439580027322594	0.776771849571858	0.478447703873864	0.805366621219286
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	0.255651445035261	0.437912519963278	0.0562461141835442	-0.442189805035238	4.1752678878606	-0.0909337880797048	0.452566965527795	0.494729888829955	0.78147442612092	0.497210598316368	0.791825752580781
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	0.29518926561687	0.405055439865117	0.201713047175354	-0.11938991610067	4.5268307115355	-0.0217234923784385	0.490797546250891	0.502969393511941	0.814395545041748	0.493081026909466	0.818919257032904
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.325978961744374	0.349454484079276	0.300747511516814	-0.0697175469510123	4.54075364139924	-0.0165587711316606	0.491355270720525	0.533431856376773	0.821217429866643	0.563518850689617	0.835978957793935
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.338883985840942	0.388122337948182	0.28011522316639	-0.248271156020149	4.853827422483	-0.0443148935426406	0.473772322111066	0.557459241155015	0.828405867475405	0.546432061726831	0.8223574623177
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta	0.212555061996808	0.207817122288075	0.217742748934127	0.168477489908381	4.35930247654031	0.0319190214100449	0.483258929006352	0.463285445659016	0.785189253882798	0.470412792174011	0.776416582521295
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__unknown_Didymellaceae	0.233661996906108	0.371334177302953	0.0883080473714966	-0.338550906576305	4.37681548646741	-0.0650434884564216	0.46569994512086	0.477447760003085	0.79796481517669	0.518093629876334	0.813475013502026
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__unknown_Didymosphaeriaceae	0.259635546407369	0.411003470030848	0.122461017017956	-0.33323838442789	4.28732580809914	-0.069603424487752	0.459821429620852	0.486571027955699	0.78794018562415	0.503451714133543	0.788761795611154
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma	0.266549696188711	0.22680083657355	0.291956465402378	0.220858792897859	4.36548522469119	0.0429914650658008	0.47656250060955	0.496542873416347	0.803758618208149	0.48338157718704	0.811700824425773
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma	0.423950365732906	0.389446248800736	0.449517829482679	-0.106909339045189	4.5133573270407	-0.0200048657107924	0.488839286004054	0.499518727811277	0.80185158603973	0.485035043917856	0.816143534602384
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	0.229217810151188	0.40115237459679	0.086882563060434	-0.283208078224705	4.37226356225585	-0.0492154899190925	0.470161740876604	0.528935953323583	0.81709072368722	0.510677653213822	0.819230803043489
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unknown_Pleosporales;g__unknown_Pleosporales	0.324486727130012	0.513193668102819	0.153214569702646	-0.389758852331656	4.35221833226842	-0.0740402525285059	0.456473215423874	0.507729353732236	0.805743263948447	0.531678375642355	0.805245392504615
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__unknown_Venturiales;g__unknown_Venturiales	0.197429081441368	0.337840114224485	0.082073086989026	-0.381873047612769	4.07843507552378	-0.0660918133603479	0.46149553671945	0.522371725063049	0.821198323173461	0.528760081258293	0.820992557084538
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Chaetomellaceae;g__Pilidium	0.187813577635636	0.246963138675886	0.154571515307699	-0.152118144019333	4.13294777654311	-0.028797357868194	0.482431679206655	0.495000938285913	0.792116664293593	0.485904133163668	0.801251079903362
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas	0.597905008999504	0.246532584234342	0.997267418041453	0.891031129706193	4.46974449398528	0.176516041439764	0.410485222698351	0.366119725686723	0.699469092746118	0.338884233068645	0.669796067746899
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Helicodendron	0.26168329293749	0.235442358014169	0.289693192881865	0.114567096561289	4.19317946758026	0.0252753447524141	0.489682097311628	0.510833376107245	0.818873146096897	0.525444989697651	0.820298612695802
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium	0.409921517919361	0.677686689831922	0.20723111295109	-0.604218934223687	4.76161193075172	-0.111916219439719	0.446179588695335	0.436475621870924	0.767952321737366	0.451927633881406	0.786031288142797
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unknown_Helotiaceae	0.251980018752911	0.312557729479331	0.211779550310681	-0.10342505295809	4.27204268277051	-0.0222794325676377	0.48800892390275	0.492451293028987	0.796118515197834	0.497263567589127	0.809843135553562
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara	0.793041234810441	0.299113310028662	1.42936002924005	1.55537282211976	4.82006729117287	0.285849852284545	0.372209824976524	0.201997485108137	0.551688271184939	0.180024567344591	0.522268255593774
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium	0.362788939871865	0.121450099638994	0.564160845352873	0.445837805200081	4.28982728957692	0.0905453395500762	0.450641384448755	0.47960362591914	0.762400748888001	0.479721578519138	0.761228694842373
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Spirosphaera	0.142991375942199	0.335271290139175	-0.0356291564527469	-0.363011468825457	4.39537757440928	-0.0663219156825326	0.464026771712565	0.447280668415356	0.767967065660475	0.44318715266727	0.764679239523084
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__unknown_Helotiales	0.205946764859239	0.207293008256994	0.204556084454133	-0.0657573425963038	4.30206463883098	-0.0131824525097168	0.495259342008004	0.509334357937572	0.81311891079065	0.524741430337637	0.823872762912044
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Arbusculina	0.276329840956054	0.249817549974907	0.313460768715885	0.0749241277983184	4.09786853239867	0.0145676004017332	0.491629464502993	0.503740226308831	0.805608696859682	0.514872238495129	0.816246402129148
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella	0.230640029736059	0.272291662816746	0.187277048466764	-0.0391561502686022	4.15654442525049	-0.00809812210518304	0.496374790947294	0.528341604253663	0.794667988639242	0.53181551441929	0.798759293430218
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella	0.401139188040134	0.393322838488031	0.405343284749323	0.0227302281904174	4.865902651591	0.00517440992453908	0.49860568882588	0.558308664686357	0.821648342183244	0.531203242613779	0.814414202429313
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnum	0.147933792002624	0.158713074211906	0.143793817282509	0.159898338545477	4.26376927736069	0.0311308750149746	0.482989403676251	0.557506648477634	0.829700094528239	0.56939937493695	0.839354688717235
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Gorgomyces	0.166221751665572	0.141119759812242	0.188678783336495	0.0620697218074491	4.17981261852368	0.0120320465486816	0.493303571602377	0.509733128075404	0.7843967519667	0.491397244688186	0.791186734768192
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria	0.249288512517142	0.279907027059084	0.202771501480258	0.0527150152471405	4.21564616399944	0.0117850043022531	0.493586168599077	0.523597573306983	0.818258464229612	0.545257342644324	0.821113614518825
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Pezoloma	0.390389176010705	0.270281953225278	0.483720377610439	0.299980316264633	4.14986182905481	0.0565810978315229	0.466815394059758	0.489061711659478	0.795900929316481	0.501536538480607	0.79993341220282
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis	0.210731434186547	0.210731434186547	0.210268658112599	-0.0245217121803991	4.16688328099511	-0.00524025743462694	0.496374790947294	0.461420585582612	0.784736114984098	0.484950060940233	0.801705079528499
