featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0.850315253616935	1.07808560295843	0.673195314209999	-0.475744442644655	5.27027130170014	-0.084922915614431	0.463169643818116	0.53798354542165	0.818834146393847	0.548143017221931	0.82404284903019
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	0.342821119248955	0.54956211679775	0.163928751575622	-0.405657187805315	4.65260379437592	-0.0776710795774335	0.456776353610726	0.521685406172082	0.803696038630887	0.498433896024405	0.777738182206083
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.274849042898696	0.2890046594108	0.259594605768882	-0.0237235211472453	4.32722597244365	-0.005304214980379	0.496651785801177	0.492802368449383	0.792671115159269	0.494423703296826	0.799091643254182
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.238015990475069	0.317466356139729	0.157379652329387	-0.0860964982174011	4.55426820822752	-0.0162099650695667	0.491355270720525	0.481524651157866	0.781907036516497	0.481790257868925	0.788142122337389
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta	0.191956627798486	0.165084020632185	0.213444874648069	0.0672395811229398	4.36046603362698	0.011661792014393	0.492745535902581	0.513062396828744	0.800344633441008	0.50769499347949	0.810572756278973
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma	0.260652103190547	0.263514775373448	0.260475144150555	0.0535272840675729	4.41267201535559	0.0150374076901614	0.494143893068718	0.521789827341348	0.801906793501832	0.505806963447544	0.807987551010442
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma	0.358635433385749	0.425241233463074	0.281692369129034	-0.158960058816143	4.36621513043075	-0.0323690097896911	0.482989403676251	0.510599648430069	0.795841493335641	0.505568140183534	0.809930571845106
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	0.2046619490196	0.32286105042612	0.0861340110990492	-0.249021120729341	4.4379370749711	-0.0493029280431165	0.472392638754619	0.432385106621391	0.755629186614035	0.456332809418299	0.778279599053519
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.216527294820485	0.29407572571821	0.140247013142918	-0.264706451759657	4.19413164729861	-0.0549653194895421	0.470161740876604	0.522656527107818	0.790758210896141	0.499813618613133	0.789858776063397
