featureid	rab.all	rab.win.mother-post	rab.win.mother-pre	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0.900225108280012	1.17324106160218	0.656586048486834	-0.699333076851488	5.51993916011326	-0.106906199193439	0.447220488930776	0.427176953067279	0.73285383853957	0.446235523471799	0.766545286436927
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	0.201472559866376	0.0869956113190229	0.308014898238437	0.265053223639407	4.13001351600318	0.0511199983769204	0.470331044066052	0.450160679182068	0.760327591930013	0.435948680426677	0.755561833850561
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unknown_Capnodiales;g__unknown_Capnodiales	0.190967317651084	0.0596665964418417	0.313094668411876	0.274395683191905	4.13168540730961	0.0578645486530965	0.465000001144933	0.495560623131466	0.78813492985378	0.478834642689015	0.785141552002533
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	0.210020311348921	0.237855243266783	0.189776199003003	-0.142589777250142	4.18166868617506	-0.0242778380401498	0.485000000488721	0.541181532634868	0.799940319480536	0.560111039362919	0.820312017753274
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.192476549171854	0.0679242805953271	0.349120304252865	0.236599803641049	4.19436297890348	0.0490464734327829	0.476875000754381	0.453821418437663	0.77214692996146	0.471449137003746	0.785132191859109
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophaeosphaeria	0.110717203385661	0.0648950493671325	0.143198004064332	0.0704890346054561	4.4226957710188	0.0102656001162369	0.492500000244195	0.549184797093123	0.809539985146592	0.544205987691015	0.817658658217984
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.146922812483152	-0.00087993104663564	0.344737115708084	0.31897350188133	4.30119698692509	0.0567768962153464	0.462835728885182	0.474464055317686	0.777539727934833	0.501188129257681	0.793630124844502
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unknown_Pleosporales;g__unknown_Pleosporales	0.299214520420647	0.423061083288746	0.147773239855921	-0.390223642366923	4.46716052455906	-0.0772112357762809	0.465625001124292	0.443644120339284	0.757053377861571	0.494999326619537	0.773954915275769
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales;f__Acarosporaceae;g__unknown_Acarosporaceae	0.133458039891869	-0.0086014948925115	0.297660040657024	0.335109433673765	4.23001667104638	0.0600371437198599	0.466875001083041	0.480033273837955	0.761639259437193	0.496480294947944	0.779212124226129
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora	0.174991038420746	0.0598909557388732	0.30339070419936	0.335582225478721	4.13410630983918	0.0689319493259328	0.462500001227608	0.49166000246387	0.768858889467824	0.494984802206557	0.780404079658402
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas	0.271912023660183	0.157864050448757	0.442951941688841	0.318081629624397	4.36748694889279	0.0630121546834237	0.464084948081888	0.450359107442018	0.762621725569798	0.488779776814799	0.794082481872027
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara	0.0963110470578723	0.0385149592158793	0.177270249317074	0.112162145424478	4.08305574516634	0.025898586932988	0.485625000468323	0.527985318403309	0.800809775545674	0.534341252696516	0.812899145365326
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium	0.27969512220374	0.25215189586812	0.308867238628555	0.189329272163369	4.20890748412217	0.0385919385855391	0.480949407241125	0.534905386119542	0.810880197751341	0.548763152092054	0.819881692830881
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella	0.232140090747841	0.157161020541172	0.309447472429237	0.291474168529949	3.83768571407302	0.0644958125520733	0.470331044066052	0.470192160479408	0.763589798835922	0.461587359243756	0.768337046697919
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha	0.251068044669944	0.310170609774116	0.154123495623289	-0.179808055095448	4.49507498926219	-0.0378193263255353	0.478125000713442	0.494671598030883	0.777367591659927	0.502607343776395	0.789536088449812
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Alatospora	0.175141907462104	0.0172653580898547	0.334830253741322	0.46285868542014	4.1877680944663	0.103551077945955	0.44597126973483	0.473283678306616	0.750136038459044	0.488479453340615	0.77031485487253
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria	0.14606763881743	0.0895894658912981	0.205173670407842	-0.0335091165381263	4.16845760260764	-0.00710187642150691	0.496564647207259	0.502907591646935	0.802405543843534	0.531038303731305	0.819565830120216
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unknown_Helotiales;g__unknown_Helotiales	0.207882380628821	0.0846468853856361	0.305008269791872	0.387980321156755	4.2281694727252	0.071613557361039	0.462500001227608	0.481975337933182	0.773917917297015	0.509305610947272	0.794348331106885
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Phacidiales;f__Phacidiaceae;g__Phacidium	0.171398181188171	0.138643583610972	0.200579607420016	-0.0131533169128062	4.5110566059187	-0.00297990324656806	0.498438476003298	0.482042055228049	0.788694237049361	0.488928721225563	0.798510724172343
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unknown_Leotiomycetes;f__unknown_Leotiomycetes;g__unknown_Leotiomycetes	0.205372317438093	0.155682864328355	0.277758469551807	0.15014090852699	4.07129607120425	0.0292734068490313	0.480625000631645	0.540187605578987	0.800435886989583	0.534991177173989	0.808225304842272
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Hymenula	0.292194788235485	0.12256070120623	0.478161145170356	0.378061527907604	4.53168234929868	0.0745735957487646	0.458125001372747	0.451347057160089	0.740288213774728	0.461392434052793	0.764767922986711
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Yarrowia	0.275790461454393	0.224858604680664	0.311070099443566	0.148487661132435	4.50569183167386	0.0291959557349262	0.482198626438321	0.538537340840014	0.801700172049102	0.517906674533722	0.8028124307389
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia	0.100859087021659	-0.0505419956772402	0.274974817768523	0.303953919337848	4.4616994921608	0.0569760914108821	0.470625000959529	0.471893912086084	0.762199962515642	0.480171661015571	0.782950702459824
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida	0.977720122961706	1.0954170610324	0.860675662486204	-0.290168011280966	5.9096208964319	-0.0452465497432697	0.477500000733908	0.597824296252191	0.856521178058313	0.595719069770024	0.860027665818419
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__unknown_Saccharomycetales;g__unknown_Saccharomycetales	2.54082526284753	5.11084659069491	0.768422897777331	-4.50247542073967	4.81423835273829	-0.863348952506361	0.17875001780903	0.000465008323922684	0.00760249629341755	0.000154486019834957	0.00270964251101573
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.219721937505613	0.170424181952477	0.278494858743354	0.0706335527368473	4.34446273515344	0.0130808281086299	0.49031855122056	0.525971809431029	0.798414819333556	0.522662461986839	0.814491899823314
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae;g__Cornuvesica	0.227077664231452	0.324833859150329	0.111794782507471	-0.32231013194218	4.71465603772374	-0.056814279626181	0.464084948081888	0.43569873543524	0.751170616897128	0.443508201776173	0.782371040717222
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Phialemoniopsis	0.192361106065636	0.218812047705946	0.163611087261746	0.0506652831506242	4.24406513572315	0.0111790666741797	0.495315428009904	0.553895396915516	0.817301437704111	0.546797647758246	0.820878466681361
k__Fungi;p__Ascomycota;c__unknown_Ascomycota;o__unknown_Ascomycota;f__unknown_Ascomycota;g__unknown_Ascomycota	0.564693582844634	0.87050548938736	0.25539500738434	-0.894124138694409	5.32807365996752	-0.158096784585905	0.426875002432398	0.37348718937298	0.687153599114394	0.425377060315002	0.729029964255446
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Bullera	0.167756902768506	0.0273124401317117	0.303512324915916	0.361557754422848	4.22579113531924	0.0749132032191127	0.461875001248306	0.46155014541243	0.772835330583549	0.503475508490361	0.805377528830115
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Bulleribasidium	0.110563152317235	0.134634399717737	0.0758470414001264	-0.0255187308231455	4.36095516303316	-0.00506863270228264	0.498438476003298	0.537919732561728	0.806666606844526	0.515919427842841	0.820459980838829
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	0.204594758361202	0.229101008392234	0.185799425612475	-0.00630285429461441	4.36290472014791	-0.00104065804444374	0.499375000020345	0.510853085188243	0.787047199092151	0.55211981349671	0.809244950058492
k__Fungi;p__Chytridiomycota;c__unknown_Chytridiomycota;o__unknown_Chytridiomycota;f__unknown_Chytridiomycota;g__unknown_Chytridiomycota	0.260866102281093	0.0628452700319722	0.457367747685143	0.430873170513513	4.3956492641098	0.0862985828289402	0.45471580410779	0.436122668164358	0.750872838710407	0.453088973532861	0.761236117131252
k__Fungi;p__unknown_Fungi;c__unknown_Fungi;o__unknown_Fungi;f__unknown_Fungi;g__unknown_Fungi	8.10744179060908	6.48959166289614	8.80350068536432	2.21977579663381	2.77566549663789	0.664009628596444	0.170000019032922	0.000341408140604156	0.00614049637610433	3.87749124887728e-05	0.000794922180416753

