featureid	rab.all	rab.win.mother-post	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	1.01710259936286	1.04826550967654	0.984173501804247	-0.259345807908073	6.25563963335429	-0.0392586539335355	0.478854912913794	0.622065578050083	0.869756393334848	0.624779560651434	0.879971769672182
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	0.224277767646919	0.0969300092928513	0.383420803855665	0.240346155885786	4.30318186420935	0.0457400230576762	0.473307292612182	0.514204662791748	0.775742011474798	0.502810414434799	0.792381825844389
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Pseudotaeniolina	0.106808631674523	0.0315012396362579	0.244174368287513	0.276683378352809	4.12334644843649	0.0547800060401974	0.469401042751524	0.50493284324838	0.790768257364856	0.508619121824055	0.823608655835565
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	0.429044912136402	0.17889256748892	0.714701958511051	0.71315068932921	5.21460097966244	0.127804305730716	0.434244794030099	0.381674146240124	0.701528819848251	0.451121990502493	0.757305237677153
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.169845355023188	0.134596885704904	0.245635522193528	0.146560280658353	4.24906943684908	0.0346863867690621	0.481119792334492	0.485566467993835	0.782838821259892	0.513149615316931	0.816723147419112
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.101898196095952	0.133105341621988	0.0614757220027933	-0.115407279880338	4.2553243146715	-0.0244132917386377	0.488614183876147	0.502061225990368	0.805440822815605	0.524247581809277	0.831477973201966
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophaeosphaeria	0.212524124790642	0.28705639167282	0.118992142812009	-0.238878440918516	4.15227476713529	-0.0481059429899917	0.474951204529289	0.509794357043054	0.785028549033498	0.529991913993392	0.808335080645467
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unknown_Phaeosphaeriaceae	0.142060683157698	0.0373764622398332	0.292031411203025	0.285825269574397	4.26359154908048	0.0677677816836652	0.470703126038368	0.477547616308047	0.788444086941463	0.480048513831366	0.803683134393801
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.219275844572732	0.111525012866062	0.330100881219443	0.335217308439696	4.23015351630276	0.0672125073007754	0.466145834534613	0.452665040514877	0.767671588661658	0.481110555074404	0.785545404761378
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unknown_Pleosporales;g__unknown_Pleosporales	0.204268371009261	0.341270653621668	0.0863075125981521	-0.313766608040654	4.42531683719767	-0.0580656768276848	0.475260417542645	0.478748766846097	0.788600302959231	0.490986369027995	0.81381456848467
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas	0.190941395569657	0.193988199384211	0.188139905477562	-0.0481196235752606	4.22852328537873	-0.00922087190264352	0.494791666850652	0.513409229448895	0.819197364943345	0.508851501243556	0.828770449696114
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara	0.273279544793472	0.281507582967804	0.255660134862248	0.0778022563518692	4.074275188007	0.0168937215034365	0.490885416988712	0.522492117820382	0.799760872116628	0.509514181406382	0.813658060847858
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium	0.174069574676725	0.208790960304425	0.117829695583431	-0.132913591348315	4.12007488243563	-0.0274260914196534	0.484375000552434	0.535187514646128	0.805784633811309	0.513668821010233	0.824653914582819
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella	0.201599692516124	0.0740321847807994	0.389552460780123	0.357531402649141	4.46082284863265	0.0788986624943121	0.454782044549025	0.458367259789072	0.766813017071083	0.47552826888883	0.789486093838722
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha	0.243998093768398	0.405818964341029	0.0897678321485138	-0.30667346486004	4.43680813975307	-0.059295625987991	0.465191933569564	0.46178840411616	0.757214001145174	0.474493930364339	0.77469939210494
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria	0.125292953987957	0.18612729416269	0.0311874175909166	-0.121367020973798	4.33256213733992	-0.0235195624239264	0.489915420004548	0.453026407826298	0.756902087578148	0.473213584341647	0.775240886361245
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Monilinia	0.231946449857752	0.139359845394245	0.345895300095388	0.298527734261848	4.42452853251813	0.0585128200072338	0.466145834534613	0.461489169006065	0.776451316766561	0.4672456673666	0.809997207005365
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unknown_Helotiales;g__unknown_Helotiales	0.216269883701161	0.142122167991236	0.278286420261383	0.257048861393603	4.17492598940405	0.0523108792149623	0.467143787761307	0.529481049308389	0.809293186905681	0.511206944909687	0.828479790435561
