featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0.739184470409516	0.632193084254246	0.85872726979383	0.483134886348514	5.3798283395919	0.0853941567683606	0.46093750138821	0.547041100610379	0.799199922374478	0.547115057856367	0.819749396187651
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia	0.304432847886522	0.263033614808594	0.333345986841966	0.0487430844191659	4.19795386434504	0.00850460827771532	0.495120364518276	0.502628374643074	0.788279416863912	0.519641024470524	0.815449107652154
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Pseudotaeniolina	0.167930984043954	0.221888544654438	0.0734170548712445	-0.15955240108772	4.22327200081227	-0.0247068286165417	0.484710475491051	0.513460803953751	0.785492104308481	0.531431164801609	0.810602248491437
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unknown_Capnodiales;g__unknown_Capnodiales	0.171539847268135	0.337816172697442	0.0153943632895981	-0.268597894451339	4.05022902157627	-0.0557599687511384	0.472656250968713	0.469885936071855	0.74713404820382	0.469356465679785	0.776900859250135
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	0.353127887678925	0.145814603878288	0.562744357418185	0.634700819016607	4.91098170704514	0.11419981227737	0.440755210455733	0.369807968404251	0.689636064330323	0.448556555037669	0.757144828412944
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.162752546491328	0.0773721138961445	0.26524879680989	0.259837818658403	4.16690883022139	0.0597587450517737	0.472999350337155	0.508931954492207	0.785671866270352	0.545505588706369	0.812493948774006
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum	0.211399516493437	0.378017714174953	-0.000539801357192893	-0.299062661078562	4.06251956242775	-0.063929331399772	0.461288225186427	0.471996596162575	0.747783901191277	0.486881305583153	0.762655436226965
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unknown_Phaeosphaeriaceae	0.104129887561185	0.000875441753001027	0.210037159468446	0.160270363928118	4.22537436618542	0.0288715235484526	0.484059857426887	0.475465774140178	0.757348048642816	0.48899756624833	0.781375569048342
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.325617005155167	0.29268839567576	0.356808201290171	0.0530730096130467	4.36001000526318	0.0106671482376361	0.494140625206989	0.488583692623067	0.774460614517278	0.497426056945942	0.787680268233779
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales;f__Acarosporaceae;g__unknown_Acarosporaceae	0.199554053797462	0.324197393965637	0.0665741444431953	-0.294130140638216	4.24479005721401	-0.0550939236497371	0.464843751247933	0.516524823214896	0.77839810788078	0.523645831027739	0.797849557706925
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora	0.256950073173549	0.277808062604555	0.223021392469088	-0.20207794801802	4.23080541805819	-0.0419044927837217	0.476562500829665	0.492143605807628	0.775882851186048	0.497183285165991	0.785996184780234
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas	0.301500386475659	0.459402810964216	0.123551291793276	-0.277788621666469	4.16854037426136	-0.0574047789406359	0.47364996840119	0.485508078853483	0.766357670073941	0.478870877981262	0.763266435441786
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara	0.203595142091947	0.102213098082103	0.293395236852944	0.197497668268096	4.14310742563421	0.0399387517507253	0.47786458411672	0.51280814567582	0.781870568066035	0.524087778828295	0.785336203305348
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium	0.243780688728952	0.403973712682708	0.123060407623589	-0.296158665838161	4.36015020198827	-0.0591117414157742	0.468445023889196	0.519153217869397	0.789135829151585	0.525852105623959	0.804800656482321
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella	0.28454040674547	0.276684634483621	0.3121019987855	0.0360085030868351	4.30810806459469	0.00711041039502935	0.494469746454051	0.497465852871896	0.784614908132339	0.547291665328523	0.823262529215693
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Alatospora	0.159998011887275	0.289955960023873	0.0269974769542225	-0.360072216881339	4.22655018753317	-0.0760065502605227	0.46193884325025	0.524805008776405	0.798470440164962	0.525747627834934	0.823078289108256
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Monilinia	0.153086447878645	0.197530498094989	0.110010691861545	0.0616733297106684	4.49386765158089	0.013132918807773	0.49283854191967	0.467783926454703	0.767225270919317	0.453078899775148	0.78894286454904
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unknown_Helotiales;g__unknown_Helotiales	0.217523813098015	0.198628482096734	0.222998988158977	-0.0140024969767403	4.48710015795237	-0.00254228485099422	0.498046875068988	0.558377153191977	0.823261140716911	0.563187629160492	0.824383685668929
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Thelebolaceae;g__Thelebolus	0.250298437524147	0.232890488600467	0.262518311278663	0.171835163074868	4.45883838086651	0.0358246473974533	0.483723958908833	0.461154324193728	0.766032644880022	0.448750578648876	0.783962987034825
k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Hymenula	0.213939787839067	0.40056719457855	0.0350629996798641	-0.564304878731809	4.537976958507	-0.104448188254096	0.453480808421736	0.435048333978948	0.738146021739202	0.463857957829914	0.766879095075938
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Yarrowia	0.204262904556295	0.26846098395582	0.139727529115906	-0.232316930160848	4.36421369366463	-0.0416515440387194	0.475601822593352	0.461440822056981	0.756848149622558	0.482189993665421	0.769050033521126
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia	0.153937247897364	0.363799311126489	-0.0667413554397607	-0.43496935344535	4.48416760869288	-0.0841699012913886	0.454131426485372	0.495827216812854	0.752038272318819	0.477598513422493	0.768804094977668
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida	2.61788573097587	0.920653509991338	4.56461637965014	3.64627761051575	5.56087093573197	0.615205188096822	0.237630221121924	0.0057689845817013	0.0623530262123957	0.00315447172088772	0.0417661970105936
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Diutina	0.15998552557947	0.117452447540334	0.209809515177236	0.0504416061274844	4.51957978719963	0.00986775947919323	0.494791666850652	0.503700145732024	0.795743735380224	0.529967728008677	0.812047983173819
