featureid	rab.all	rab.win.mother-pre	rab.win.non-pregnant	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.877581042166849	1.07922203890807	0.722818216887236	-0.393802976007036	5.35230286987948	-0.0687535081919861	0.462911322773736	0.559527004096113	0.847660941874886	0.550029052772256	0.849668767176448
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_domesticum	0.333764235532503	0.432910798658654	0.231706532075913	-0.224137661995555	4.38628046971414	-0.0503962278625739	0.474623536632721	0.453583000936044	0.789652629090393	0.466202601264574	0.790908609930759
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_pullulans	0.387142275308978	0.642787999929223	0.209421815653968	-0.350920673008408	4.66651636511354	-0.0656032335588552	0.464026771712565	0.510920040663222	0.830613790699488	0.482839650911177	0.802646959733093
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_pratorum	0.264817695525529	0.224485229239828	0.322456174518506	0.217989076772398	4.30502989300717	0.0443209637579974	0.475446429210142	0.523314686589708	0.829306727036587	0.545967627980557	0.840237533656908
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_nigrum	0.28449283211654	0.270340901284962	0.316676409190868	0.0629823787006889	4.34937115417733	0.0120890095719478	0.494977678701773	0.516937853045365	0.81957420605943	0.507581570797584	0.818155089012981
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_desmazieri	0.287692187011002	0.456848209223678	0.102276965844535	-0.229758708487832	4.24179522631365	-0.0428984578368	0.477678572008976	0.496327529927374	0.827737771054182	0.506028390331505	0.822438439207678
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__unknown_Neosetophoma	0.262821410406445	0.309813996278419	0.217721254381664	0.04145667035709	4.32743260705806	0.00855815804751449	0.495259342008004	0.51192439556392	0.821907635522393	0.508320746261373	0.82039149957549
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__Paraphoma_fimeti	0.305163029486911	0.448774604616792	0.197231087152968	-0.359853209185107	4.3336605293521	-0.0674752465208782	0.465959822316038	0.491552743522608	0.808867446624915	0.487749351391227	0.805020810309259
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__unknown_Paraphoma	0.355498470493405	0.412843274597897	0.318949247147567	-0.168177232520305	4.2471500145336	-0.0376120675965153	0.480200781328307	0.504512470993039	0.821577322874056	0.528347783865807	0.828304046654645
