featureid	rab.all	rab.win.mother-post	rab.win.mother-pre	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.700620182844641	0.836296964940187	0.552257835429837	-0.228257651998383	5.00215746585552	-0.0407473557040344	0.477201749649681	0.517148051467895	0.800826861342208	0.527084892476515	0.812512310478739
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum	0.408314828757201	0.442753150020628	0.360661707295161	-0.152082041355648	4.98618207559793	-0.0266279989596056	0.483750000529531	0.517439981949165	0.81190271038867	0.519500108857327	0.817354886783936
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__Ramularia_stellenboschensis	0.173369839426182	0.00967307383441707	0.329648536815649	0.345089056798623	3.99907794860854	0.0723620563038516	0.46033729049191	0.483835077806743	0.784935274879097	0.494265533992364	0.793345285805234
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unknown_Capnodiales;g__unknown_Capnodiales;s__unknown_Capnodiales	0.250526675988871	0.0757138664561605	0.441278438438714	0.301608544105366	4.09864626282804	0.0655766106842671	0.461875001248306	0.500912763530912	0.792473431151308	0.519410712659394	0.783854804757667
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_pullulans	0.205110942540077	0.199840857869256	0.209400874742716	-0.00810309001592957	4.16983483518599	-0.00196162775344219	0.499063085601978	0.54230827649533	0.824805507432037	0.551181316067165	0.835185853249861
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_nigrum	0.273029497913929	0.203639474966187	0.367513324120155	0.198625701510546	4.27253647493939	0.0414859243016791	0.477201749649681	0.510277947386073	0.817387605083303	0.520012169777338	0.829253664246321
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Setophaeosphaeria;s__Setophaeosphaeria_badalingensis	0.212296415708184	0.218410916053204	0.200292401163187	-0.0807291643772361	4.15531803791902	-0.0163064449230049	0.490625000305283	0.506730540195787	0.812619332200261	0.51921496217607	0.827340550939635
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_flanaganii	0.200069280218996	0.0494841493567781	0.36050764770197	0.424347621163006	4.29800066898404	0.0872636557081899	0.461250001269015	0.487157187912114	0.77711508100914	0.484937099110713	0.78302470460095
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unknown_Pleosporales;g__unknown_Pleosporales;s__unknown_Pleosporales	0.285967292064927	0.373603001309762	0.212098084945835	-0.133564101135589	4.48071413885484	-0.0251864915192639	0.485000000488721	0.502689859028071	0.796397896304658	0.505264117528505	0.812960791186302
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Acarosporales;f__Acarosporaceae;g__unknown_Acarosporaceae;s__unknown_Acarosporaceae	0.218967036077852	0.178216614908061	0.252379067706161	0.117648805873487	4.10189569940181	0.0259751786464612	0.484375000509123	0.499346138393401	0.793855830363984	0.526181440652371	0.809629147657134
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora;s__Articulospora_proliferata	0.253138702943327	0.123767016624732	0.413645084651942	0.305650593151882	4.15209047759097	0.0715250503730463	0.462211119286846	0.461908386208466	0.79024069606598	0.481078602959602	0.800524327665838
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas;s__Crocicreas_epicalamia	0.202015839218374	0.205367562889283	0.202015839218374	-0.00883888120486542	4.21852426244952	-0.00234230801745848	0.498438476003298	0.503102942810627	0.810052033792783	0.526975148264867	0.83024617829747
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas;s__unknown_Crocicreas	0.240972043265386	0.00843602728907911	0.534054554567718	0.460874328451903	4.30510959592977	0.0914558011533247	0.44625000177013	0.453992620227444	0.763558179038706	0.449119416275394	0.771391221674557
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara;s__unknown_Chalara	0.280204550721924	0.219806149103898	0.354218057969895	0.102415529074165	4.02348739163397	0.0243097699718896	0.485946284030035	0.530264947085035	0.828703945974543	0.487659879193626	0.821520046116962
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Rhexocercosporidium;s__Rhexocercosporidium_panacis	0.37795108022344	0.259421722287812	0.56413154785092	0.254345045549321	4.21788148026443	0.063740957692231	0.468125001041832	0.470948363825335	0.778649854539106	0.480253270178062	0.806891336481582
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Gyoerffyella;s__unknown_Gyoerffyella	0.158033284910665	0.0372963173928476	0.290257827947281	0.327231026031361	4.21432523433698	0.063723674905815	0.467207996073843	0.494987548319463	0.774884391024605	0.506360842914103	0.81070417703986
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__unknown_Hyaloscypha	0.261635992586333	0.316360589461434	0.186883480992512	-0.120530130778915	4.31362544246845	-0.0214478070920398	0.488125000386774	0.510468724419195	0.802307571045493	0.524410988851807	0.815603025133074
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Alatospora;s__Alatospora_acuminata	0.280295547967742	0.185428667985372	0.402588358614883	0.314911615488875	4.21628026857228	0.068507559318251	0.464709557680257	0.533761873396908	0.824655795298717	0.514230183059316	0.821259657846838
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria;s__unknown_Neobulgaria	0.278964190899793	0.321780309653497	0.216025494904067	-0.0563116210695918	4.23012932455828	-0.00811517178907145	0.495625000142426	0.494867074516092	0.792850428563869	0.497174806546205	0.807234728467006
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unknown_Helotiales;g__unknown_Helotiales;s__unknown_Helotiales	0.296455169424835	0.122297782823689	0.466381420597494	0.441435476089639	4.12774500744119	0.0950607744553418	0.452841975313332	0.449787328195381	0.758097913621636	0.447868535492075	0.77373180719341
