ID	kingdom	phylum	class	order	family	genus	species	ASV
212becdb45f6941104cbc3bc6c1c4b52	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans	ASV_1_Candida_albicans
10cf16f649cb65dd40ce7a1e7f76a6e8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_zeae	ASV_1003_Gibberella_zeae
23c063a8fe4bb07e1b876ed73b621454	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	unknown_Helotiaceae	unknown_Helotiaceae	ASV_1004_unknown_Helotiaceae
31c553a94eb2e7ffc5be3a75db225b14	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophaeosphaeria	Setophaeosphaeria_badalingensis	ASV_1005_Setophaeosphaeria_badalingensis
1815970cde8fef95f03785750ea04e86	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown_Pleosporales	unknown_Pleosporales	unknown_Pleosporales	ASV_101_unknown_Pleosporales
52078e3dd76212ce48d8ea0f29361431	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	unknown_Hymenoscyphus	ASV_1019_unknown_Hymenoscyphus
e7d2acb1d1fe25d5304aff2c58320e68	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Verrucocladosporium	Verrucocladosporium_dirinae	ASV_1020_Verrucocladosporium_dirinae
8a4d24238197dce72901474439cd6a4d	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	unknown_Chalara	ASV_1021_unknown_Chalara
85a4758e989dbcf647cfa07b989a0b49	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	unknown_Coniochaeta	ASV_1024_unknown_Coniochaeta
5bfa7dec69614aaca27a4a34199f3223	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	unknown_Ramularia	ASV_1026_unknown_Ramularia
c67cdb57ab3aedfa3fc2eb971e7184c9	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium_pullulans	ASV_1028_Aureobasidium_pullulans
09789dbaab795f67a0345144d009592c	Fungi	Ascomycota	Leotiomycetes	Helotiales	unknown_Helotiales	unknown_Helotiales	unknown_Helotiales	ASV_103_unknown_Helotiales
1ef4ac70f9993b210b4a7d2fcc8cef5b	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans	ASV_1032_Candida_albicans
13f4b7832580a0b2efc0019cb40ad833	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	ASV_1033_Fusarium_oxysporum
f522078e07511a23aee67450f353bae0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria_sporulosa	ASV_1036_Paraphaeosphaeria_sporulosa
6c0ecc139d94d829d17ba8508d2d8bf9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella_acuum	ASV_104_Cistella_acuum
cbada35dc9c2d45a2542190dbffc53cc	Fungi	Ascomycota	Leotiomycetes	Helotiales	unknown_Helotiales	unknown_Helotiales	unknown_Helotiales	ASV_1043_unknown_Helotiales
a700e956b157790665cb2c8deeefedb7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown_Pleosporales	unknown_Pleosporales	unknown_Pleosporales	ASV_1044_unknown_Pleosporales
4d52178a56beaeedc8ef02768829f427	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum_nigrum	ASV_1045_Epicoccum_nigrum
596139ee150f82670621d68bacc24e15	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	unknown_Tetracladium	ASV_1048_unknown_Tetracladium
85e041f7986170edddc33fdd5e757cf1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans	ASV_1054_Candida_albicans
16272f2f84ddabe16ef2aa18d4480ec0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis	ASV_1056_Candida_tropicalis
1b6f9c74c8c5a3eaac8c77f0461c2215	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_cladosporioides	ASV_1061_Cladosporium_cladosporioides
b8ba2529e67d31bfdb61c0607bfb9206	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Monilinia	Monilinia_polystroma	ASV_1066_Monilinia_polystroma
41c20a6e807eac43bebc830bcb53a74d	Fungi	Ascomycota	Leotiomycetes	Helotiales	unknown_Helotiales	unknown_Helotiales	unknown_Helotiales	ASV_1067_unknown_Helotiales
5a359c544c87c1fe74578978fe660192	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Teberdinia	unknown_Teberdinia	ASV_107_unknown_Teberdinia
c154d76390d6eb1133f93a9b768e3fc7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown_Pleosporales	unknown_Pleosporales	unknown_Pleosporales	ASV_1071_unknown_Pleosporales
ba673451830b7bef2e494ef5e586bd6b	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_pseudoaffinis	ASV_1075_Chalara_pseudoaffinis
6941391765d74cc631b6fa769fc2e01e	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum_nigrum	ASV_1077_Epicoccum_nigrum
77598a7d1ec370ebd35b0d3b08cdca4d	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	unknown_Lasiosphaeriaceae	unknown_Lasiosphaeriaceae	ASV_108_unknown_Lasiosphaeriaceae
1ccce42c556c4fec2eec2296fdcb9ea0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sake	ASV_11_Candida_sake
c5ba29aca492f52ee5be174a19c648e1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_piceae-abietis	ASV_112_Chalara_piceae-abietis
adc8fb9188d7e585ccfddabd2a75d43e	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_pseudoaffinis	ASV_113_Chalara_pseudoaffinis
8de17dc44ea89efc865e39f1960d3575	Fungi	Ascomycota	Leotiomycetes	Helotiales	Chaetomellaceae	Pilidium	Pilidium_pseudoconcavum	ASV_114_Pilidium_pseudoconcavum
c9165b886c1e8ac6a1ad5f2c2c6ab42e	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Rhexocercosporidium	Rhexocercosporidium_panacis	ASV_116_Rhexocercosporidium_panacis
41c48498c3c36536e80a7f9138306114	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_cladosporioides	ASV_12_Cladosporium_cladosporioides
2a6e183c82ec4e7110fc1f451383da30	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	unknown_Tetracladium	ASV_120_unknown_Tetracladium
d42fdf72bf9a0589cb34a5eea295755a	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Phaeotheca	Phaeotheca_salicorniae	ASV_125_Phaeotheca_salicorniae
4f19a3e43752573f1fb554f74a881a30	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_piceae-abietis	ASV_126_Chalara_piceae-abietis
574d2aab6dd6bc89870d4caaeb3d92f4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	unknown_Dipodascaceae	unknown_Dipodascaceae	ASV_128_unknown_Dipodascaceae
0e556d288fed546a942042bee562053c	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_cladosporioides	ASV_13_Cladosporium_cladosporioides
15fbb765eec5b95324b7a0eeb364ca1d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_fimeti	ASV_133_Paraphoma_fimeti
840841e3ceb2f1a6f8bd49092c1ce7c9	Fungi	Ascomycota	Dothideomycetes	Venturiales	unknown_Venturiales	unknown_Venturiales	unknown_Venturiales	ASV_134_unknown_Venturiales
0c3ba71f66ec85bb28c3e49c99a3d897	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	Ramularia_unterseheri	ASV_136_Ramularia_unterseheri
8cc4500a1bcf93275dc967797e750e93	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	unknown_Tetracladium	ASV_137_unknown_Tetracladium
e4f16081fa3fcc3ce4a8426670251213	Fungi	Ascomycota	Leotiomycetes	Helotiales	unknown_Helotiales	unknown_Helotiales	unknown_Helotiales	ASV_139_unknown_Helotiales
6108aa07e5a4bb5b01856c84e1fd2e26	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	unknown_Chalara	ASV_141_unknown_Chalara
63225e072e21618b215d2116d21b7e38	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_piceae-abietis	ASV_142_Chalara_piceae-abietis
eed54810f6759b242d4673e5cbcd2e63	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_cladosporioides	ASV_143_Cladosporium_cladosporioides
d7529cd35877b401987a3df0b13b268d	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Rhexocercosporidium	Rhexocercosporidium_panacis	ASV_145_Rhexocercosporidium_panacis
d62d18b6c0c4eda7c2cd215f391c6ab3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Gyoerffyella	Gyoerffyella_entomobryoides	ASV_146_Gyoerffyella_entomobryoides
2444ffe796f7a9482a5e3ccc403c43f8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	unknown_Didymellaceae	unknown_Didymellaceae	ASV_148_unknown_Didymellaceae
3e1f4b9af2e19c853d3c24dcfdb6b5d8	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	unknown_Saccharomycetales	unknown_Saccharomycetales	unknown_Saccharomycetales	ASV_149_unknown_Saccharomycetales
42d80a6257294380ccc493df84a4ac83	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium_pullulans	ASV_15_Aureobasidium_pullulans
a1574c9d13563c9806c5b3405c637272	Fungi	Ascomycota	Leotiomycetes	Helotiales	unknown_Helotiales	unknown_Helotiales	unknown_Helotiales	ASV_150_unknown_Helotiales
919c94e1fed751669ca81f4cffe8244e	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Gorgomyces	Gorgomyces_honrubiae	ASV_155_Gorgomyces_honrubiae
3e25edb2eea96b1cbb09683417cc295b	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Phialemoniopsis	Phialemoniopsis_curvata	ASV_157_Phialemoniopsis_curvata
62f5da7a255bbadf02ed20b3ce4369fc	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum	ASV_159_Cladosporium_sphaerospermum
0762c78873b610c8174eff165fbab550	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis	ASV_16_Candida_tropicalis
36aeeca4f0ba124f9a860e7790c10182	Fungi	Ascomycota	Leotiomycetes	Helotiales	unknown_Helotiales	unknown_Helotiales	unknown_Helotiales	ASV_161_unknown_Helotiales
4e7dd421a8670a030f0b74cf057a2e28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	unknown_Phaeosphaeria	ASV_163_unknown_Phaeosphaeria
cb696abd9cb6408712d4164053224920	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Rhexocercosporidium	Rhexocercosporidium_panacis	ASV_164_Rhexocercosporidium_panacis
ed20a2c29247bb2f026d59f0815ce4e0	Fungi	Ascomycota	unknown_Ascomycota	unknown_Ascomycota	unknown_Ascomycota	unknown_Ascomycota	unknown_Ascomycota	ASV_168_unknown_Ascomycota
6d5b2286be9631871f28f17d399c4747	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	unknown_Chalara	ASV_169_unknown_Chalara
db15911ec98c5903f570b099ec2e342b	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis_californica	ASV_17_Botrytis_californica
a4625ce6427b42d5f5e7b11396bea593	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	unknown_Didymosphaeriaceae	unknown_Didymosphaeriaceae	ASV_172_unknown_Didymosphaeriaceae
da0f639aca51d72d25172e94ae594276	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_cladosporioides	ASV_173_Cladosporium_cladosporioides
08c2388c5f45962e2dc8e149606c2480	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans	ASV_176_Candida_albicans
0e78e84f50d8ceb6f63782729c1540ce	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Spirosphaera	Spirosphaera_cupreorufescens	ASV_177_Spirosphaera_cupreorufescens
989f7be1f1412f883c9c15f9bdb268f4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown_Pleosporales	unknown_Pleosporales	unknown_Pleosporales	ASV_182_unknown_Pleosporales
ab78bf3b8ca9a12a73842074d460cb82	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	unknown_Phaeosphaeriaceae	unknown_Phaeosphaeriaceae	ASV_184_unknown_Phaeosphaeriaceae
58837201b52f7a6e123b2635d391b956	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	unknown_Crocicreas	ASV_185_unknown_Crocicreas
0e403eb0875b61b73883e6fd746b2bf5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sake	ASV_188_Candida_sake
ebf63c101a47c02a46f229391c18da38	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	unknown_Coniochaeta	ASV_189_unknown_Coniochaeta
cca27562d0e28eb6d17b7b0cfec89a52	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_chlamydosporum	ASV_19_Fusarium_chlamydosporum
51bdb79bc4fed8e14fab7c7f2faeaf50	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_leptospora	ASV_192_Pyrenochaetopsis_leptospora
548f3095a0ed30a552b18b2e3a4d6408	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	unknown_Crocicreas	ASV_196_unknown_Crocicreas
9c1435a2f15538d30bc7794b57a9424c	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	unknown_Clavispora	ASV_197_unknown_Clavispora
a7346288e46f024abf9887af9da9a3ea	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans	ASV_2_Candida_albicans
a9a1cd5825404289b3272ae2606a3752	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown_Pleosporales	unknown_Pleosporales	unknown_Pleosporales	ASV_20_unknown_Pleosporales
529149f92a5f5c681988c8ada116ffe2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	Chalara_piceae-abietis	ASV_201_Chalara_piceae-abietis
53d26772edbe42887076768a3f62490e	Fungi	Ascomycota	Leotiomycetes	Helotiales	unknown_Helotiales	unknown_Helotiales	unknown_Helotiales	ASV_205_unknown_Helotiales
1651f6a3a8761a33cc1e048c51bda710	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_zeae	ASV_207_Gibberella_zeae
8df4a78ef62b3a037d28403e7366807a	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans	ASV_208_Candida_albicans
f732563eb316b631077c7bba85cbf9e5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans	ASV_211_Candida_albicans
feeed514ee21dfab6db51903f12abf08	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unknown_Pleosporales	unknown_Pleosporales	unknown_Pleosporales	ASV_218_unknown_Pleosporales
a8fabfff9abf9fa5dc7bac41f439fa53	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum_nigrum	ASV_219_Epicoccum_nigrum
6768f240776fb6304318e2651f84f69b	Fungi	Ascomycota	unknown_Ascomycota	unknown_Ascomycota	unknown_Ascomycota	unknown_Ascomycota	unknown_Ascomycota	ASV_22_unknown_Ascomycota
